
[00:00:00.000 --> 00:00:04.280]  為什麼你又來呢?
[00:00:04.280 --> 00:00:05.320]  其實我是香港人來的
[00:00:05.320 --> 00:00:06.680]  我拿著香港護照的
[00:00:06.680 --> 00:00:08.680]  這段時間呢
[00:00:08.680 --> 00:00:11.180]  (你不可以說)
[00:00:11.180 --> 00:00:13.040]  多謝多謝多謝
[00:00:13.040 --> 00:00:14.440]  我第一次在港島的時候被人這樣說
[00:00:14.440 --> 00:00:15.720]  多謝多謝
[00:00:15.720 --> 00:00:17.040]  可以
[00:00:17.040 --> 00:00:19.880]  (你不可以說)
[00:00:19.880 --> 00:00:21.280]  多謝多謝
[00:00:21.280 --> 00:00:24.640]  可以兼顧我的自我形象
[00:00:24.640 --> 00:00:28.720]  這段時間我剛剛放下教會工作
[00:00:28.720 --> 00:00:30.720]  其實正式來說
[00:00:30.720 --> 00:00:33.520]  我4月1號開始就離開了
[00:00:33.520 --> 00:00:34.920]  侍奉了前前後後
[00:00:34.920 --> 00:00:36.520]  加起來30年的教會
[00:00:36.520 --> 00:00:39.920]  最初是想著退休的階段
[00:00:39.920 --> 00:00:43.320]  其實上帝給我的託付就是準備去寫書
[00:00:43.320 --> 00:00:45.320]  在過去的半年裡面
[00:00:45.320 --> 00:00:46.520]  上帝又另外帶領
[00:00:46.520 --> 00:00:49.720]  真的是侍奉神的人
[00:00:49.720 --> 00:00:53.320]  上帝一定會每一步都會拖大的
[00:00:53.320 --> 00:00:55.320]  所以我接下來
[00:00:55.320 --> 00:00:56.720]  今年8月有另外一個使命
[00:00:56.720 --> 00:00:58.720]  或者我遲一點再和大家分享
[00:00:58.720 --> 00:01:00.720]  這段時間我想把握
[00:01:00.720 --> 00:01:02.720]  在我進入另外一個工場之前
[00:01:02.720 --> 00:01:04.720]  我可以更加努力
[00:01:04.720 --> 00:01:07.320]  把握機會去完成我應該完成的工作
[00:01:07.320 --> 00:01:09.320]  我正在寫一套系統神學書
[00:01:09.320 --> 00:01:10.720]  只是寫第二本
[00:01:10.720 --> 00:01:12.120]  正在寫《救恩論》
[00:01:12.120 --> 00:01:13.720]  這段時間裡面
[00:01:13.720 --> 00:01:16.520]  由現在到5月底都有機會在溫哥華這個地方
[00:01:16.520 --> 00:01:19.320]  所以多謝羅卜師給我機會
[00:01:19.320 --> 00:01:20.920]  趁這個機會和大家分享
[00:01:20.920 --> 00:01:21.720]  我說不行了
[00:01:21.720 --> 00:01:23.320]  星期天我已經答應所有的教會了
[00:01:23.320 --> 00:01:24.320]  他說不要緊
[00:01:24.320 --> 00:01:26.320]  星期六晚都好
[00:01:26.320 --> 00:01:28.320]  多謝你
[00:01:28.320 --> 00:01:30.320]  顧念我沒空
[00:01:30.320 --> 00:01:32.320]  所以和大家分享
[00:01:32.320 --> 00:01:34.320]  我知道今晚星期五晚
[00:01:34.320 --> 00:01:36.320]  外面下著大雨
[00:01:36.320 --> 00:01:39.320]  大家都能夠很趕很趕來
[00:01:39.320 --> 00:01:41.320]  我相信有些人在工作
[00:01:41.320 --> 00:01:43.320]  或者家庭裡面馬上趕來的
[00:01:43.320 --> 00:01:45.320]  我為你們學習的心了感謝神
[00:01:45.320 --> 00:01:47.320]  今晚我想
[00:01:47.320 --> 00:01:49.320]  因為晚上我們比較多時間
