
[00:00:00.000 --> 00:00:15.200]  在十多年前我曾經和一班弟兄姊妹去到中國大陸一個比較開發的地方
[00:00:15.200 --> 00:00:21.000]  來做一些對教會的探訪工作
[00:00:21.000 --> 00:00:39.000]  在那裏有一件事令我很深刻,那裏的弟兄姊妹沒有師哥集,教堂只不過是一個水泥框架
[00:00:39.000 --> 00:00:48.000]  所有弟兄姊妹都是自己擔一張膠椅或蹲在地上聚會
[00:00:48.000 --> 00:00:54.000]  我們去到探訪的時候,很多弟兄姊妹都很不習慣
[00:00:54.000 --> 00:01:01.000]  他們說沒有地方坐,那怎麼崇拜?要蹲很久
[00:01:01.000 --> 00:01:08.000]  我說我們就很好,我們已經有張膠椅,他們預備多兩張給我們坐
[00:01:08.000 --> 00:01:13.000]  最特別的地方就是當崇拜的時候
[00:01:13.000 --> 00:01:20.000]  他們的過程是很多弟兄姊妹都很不習慣的
[00:01:20.000 --> 00:01:27.000]  我相信他們有一個程序的,但是在這個過程當中
[00:01:27.000 --> 00:01:32.000]  當他們讀完經之後突然間就說要唱詩歌
[00:01:32.000 --> 00:01:39.000]  他們好像知道自己要唱哪首詩歌,沒有師集就這樣唱
[00:01:39.000 --> 00:01:43.000]  不過當他們唱的時候,我體會到一樣東西就是
[00:01:43.000 --> 00:01:50.000]  他們唱出來的時候和上帝的關係很親近
[00:01:50.000 --> 00:02:00.000]  因為他們不只是拿著詩歌對著歌詞唱四節,每節一次,然後就完畢
[00:02:00.000 --> 00:02:10.000]  他們唱的時候真的會體會到唱出來的歌詞就是他們心裡想說的話
[00:02:10.000 --> 00:02:13.000]  剛才我們唱的那首詩歌第84首
[00:02:13.000 --> 00:02:19.000]  如果你還有本詩集在你手上已經打開的,叫榮耀歸主名
[00:02:19.000 --> 00:02:23.000]  這首歌在最後第四節這樣說
[00:02:23.000 --> 00:02:30.000]  補血傳元肉豐富又甘甜,不知道當你唱的時候
[00:02:30.000 --> 00:02:38.000]  唱出口你是不是真的覺得上帝所賜的這位主耶穌基督給我們的拯救
[00:02:38.000 --> 00:02:43.000]  是讓我們很豐富又甘甜呢
[00:02:43.000 --> 00:02:50.000]  不如我們唱一下這首詩歌好不好,不需要聖樂的,不需要音樂帶
[00:02:50.000 --> 00:02:54.000]  我們就這樣唱,重複唱第四節
[00:02:54.000 --> 00:03:01.000]  每次唱到這些歌詞的時候,無論是感覺到和上帝是甘甜也好
[00:03:01.000 --> 00:03:08.000]  或者好像第二句歌詞,快來就主,苦伏主腳前
[00:03:08.000 --> 00:03:12.000]  是不是真的覺得好像是上帝的兒女一樣
[00:03:12.000 --> 00:03:21.000]  去和一位很愛護我們的爸爸在他身邊靠近他去聆聽
[00:03:21.000 --> 00:03:25.000]  他怎樣將他的最好付出
[00:03:25.000 --> 00:03:33.000]  他將真正的基督補血的傳元能夠投放在我們身上
[00:03:33.000 --> 00:03:38.000]  而我們會發出真正感謝主的話呢
[00:03:38.000 --> 00:03:43.000]  我們同心吐過,父神多謝你
[00:03:43.000 --> 00:03:48.000]  多謝你將你的寶貴兒子耶穌基督
[00:03:48.000 --> 00:03:54.000]  以一個他體貼你的心思意念來到這個世界
[00:03:54.000 --> 00:04:01.000]  滿足父神你拯救這個世界眾多的罪人
[00:04:01.000 --> 00:04:09.000]  為此感謝你,因為我們能夠成為其中一份子
[00:04:09.000 --> 00:04:19.000]  父神我多謝你,因為你能夠將我們可以再次納在你的身旁
[00:04:19.000 --> 00:04:26.000]  依傍著你在這個人生裏面繼續走向永恆
[00:04:26.000 --> 00:04:32.000]  求你的引導,求你的安慰
[00:04:32.000 --> 00:04:38.000]  觸摸我們每一個屬於你的信徒的生命
[00:04:38.000 --> 00:04:45.000]  讓我們能夠在你的當中,無論或順或逆
[00:04:45.000 --> 00:04:54.000]  我們都曉得勾歌頌讚或者能夠在主理裏面緊緊的依傍
[00:04:54.000 --> 00:04:59.000]  多謝你,你那份對我們的接納
[00:04:59.000 --> 00:05:05.000]  當我們走歪路的時候,陷在對罪當中的時候
[00:05:05.000 --> 00:05:08.000]  你沒有離棄我們
[00:05:08.000 --> 00:05:15.000]  求你讓每一個在今天再次去接觸主你啟示的人
[00:05:15.000 --> 00:05:24.000]  心靈都受到上主你的說話,以及你聖靈的感動
[00:05:24.000 --> 00:05:29.000]  好使我們能夠在你的當中重新得力
[00:05:29.000 --> 00:05:36.000]  多謝你,禱告奉靠主耶穌基督得勝的名字而求
[00:05:36.000 --> 00:05:45.000]  今天在這個普世世界教會的情況
[00:05:45.000 --> 00:05:50.000]  翻實體崇拜的人越來越少
[00:05:50.000 --> 00:05:53.000]  所以我們作為教睦同工的
[00:05:53.000 --> 00:05:59.000]  最多時候聽見同工之間所講到一句的說話
[00:05:59.000 --> 00:06:03.000]  就是那些信徒都不翻教會的
[00:06:03.000 --> 00:06:08.000]  我去到同工團契或者和一些同工見面的時候
[00:06:08.000 --> 00:06:10.000]  他們都鬼殺這麼吵
[00:06:10.000 --> 00:06:15.000]  就說要出盡方法怎樣使信徒可以翻教會
[00:06:15.000 --> 00:06:20.000]  而不是只是躲在家裏面按個鍵上網
[00:06:20.000 --> 00:06:26.000]  但是當他們越講這些說話的時候
[00:06:26.000 --> 00:06:32.000]  其實我心裏面不其然就在問一個問題
[00:06:32.000 --> 00:06:35.000]  其實包括教睦同工
[00:06:35.000 --> 00:06:39.000]  我們知不知道教會裏面
[00:06:39.000 --> 00:06:46.000]  我們的靈性根本裏面發生了什麼問題呢?
[00:06:46.000 --> 00:06:53.000]  事實上很多時候當我們仔細去留心看一下
[00:06:53.000 --> 00:07:01.000]  今天的信徒我所指的是真正追求上主的信徒
[00:07:01.000 --> 00:07:07.000]  他們對於在這條屬靈的天路所行走的時候
[00:07:07.000 --> 00:07:15.000]  其實那個方式和那個心智是發生了一個根本上的改變
[00:07:15.000 --> 00:07:22.000]  而我相信這個改變是他們再次尋索聖經裏面
[00:07:22.000 --> 00:07:29.000]  所指導真正的教會的意義而作出的一連串的改變
[00:07:29.000 --> 00:07:33.000]  只不過是今天很多時候
[00:07:33.000 --> 00:07:44.000]  在辦教會的人他只是仍然困在他自己的一套唯一以為是對的方式
[00:07:44.000 --> 00:07:52.000]  以我所對教會尤其是信徒他們近年的發展
[00:07:52.000 --> 00:07:56.000]  我會看到他們的發展是向著一個正確
[00:07:56.000 --> 00:08:03.000]  而且更符合聖經的啟示的一個屬靈成長的路向而走
[00:08:03.000 --> 00:08:10.000]  因此今天當我們回來看到哥羅西書
[00:08:10.000 --> 00:08:14.000]  從第三章第十二節到十七節裏面
[00:08:14.000 --> 00:08:17.000]  我們會思想一個題目
[00:08:17.000 --> 00:08:22.000]  就是叫做信徒你們究竟在搞什麼呢?
[00:08:22.000 --> 00:08:27.000]  這個信徒包括教會的長輩
[00:08:27.000 --> 00:08:36.000]  他們究竟知不知道他們現在在教會裏面究竟發生什麼情況
[00:08:36.000 --> 00:08:40.000]  而自己的靈性狀態是怎樣呢?
[00:08:40.000 --> 00:08:45.000]  是否仍然困在傳統教會的模式
[00:08:45.000 --> 00:08:50.000]  而認為其他的都是不合法的呢?
[00:08:50.000 --> 00:08:55.000]  這就是今天這段聖經讓我們一起思想的題目
[00:08:55.000 --> 00:08:58.000]  讓我們作一個合神心意
[00:08:58.000 --> 00:09:03.000]  或者配稱為神子民的屬靈生命
[00:09:03.000 --> 00:09:09.000]  能夠反映出或折射出上帝的榮耀
[00:09:09.000 --> 00:09:13.000]  我們一起來看看這段聖經說什麼
[00:09:13.000 --> 00:09:17.000]  第三章第十二節到第十七節
[00:09:17.000 --> 00:09:20.000]  大家剛才也已經打開聖經聽
[00:09:20.000 --> 00:09:23.000]  Sandy也幫我們讀了一次
[00:09:23.000 --> 00:09:28.000]  不過別人讀始終可以雲遊障礙
[00:09:28.000 --> 00:09:31.000]  你自己讀我們自己讀
[00:09:31.000 --> 00:09:35.000]  這樣就能夠將聖經的說話讀進心版上
[00:09:35.000 --> 00:09:37.000]  讓我們一起再次打開
[00:09:37.000 --> 00:09:41.000]  哥羅西書第三章十二至十七節
[00:09:41.000 --> 00:09:44.000]  我們一起讀一次好不好?
[00:09:44.000 --> 00:09:46.000]  找到之後我們一起讀
[00:09:46.000 --> 00:09:50.000]  所以你們既是神的選民
[00:09:50.000 --> 00:09:52.000]  聖潔蒙愛的人
[00:09:52.000 --> 00:10:00.000]  就要全憐憫恩慈謙虛溫柔忍耐的心
[00:10:00.000 --> 00:10:04.000]  倘若這人與那人有嫌隙
[00:10:04.000 --> 00:10:09.000]  總要彼此包容彼此饒恕
[00:10:09.000 --> 00:10:12.000]  主怎樣饒恕了你們
[00:10:12.000 --> 00:10:15.000]  你們也要怎樣饒恕人
[00:10:15.000 --> 00:10:18.000]  在這一切之外
[00:10:18.000 --> 00:10:20.000]  要存著愛心
[00:10:20.000 --> 00:10:24.000]  愛心就是聯絡全得的
[00:10:24.000 --> 00:10:29.000]  又要叫基督的平安在你們心裡作主
[00:10:29.000 --> 00:10:32.000]  你們也為此蒙召
[00:10:32.000 --> 00:10:34.000]  歸為一體
[00:10:34.000 --> 00:10:37.000]  且要存感謝的心
[00:10:37.000 --> 00:10:40.000]  當用各樣的智慧
[00:10:40.000 --> 00:10:46.000]  把基督的道理豐豐富富地存在心裡
[00:10:46.000 --> 00:10:52.000]  用詩章、頌詞、靈歌彼此教導
[00:10:52.000 --> 00:10:54.000]  互相勸誡
[00:10:54.000 --> 00:10:56.000]  心被感根
[00:10:56.000 --> 00:10:58.000]  歌頌神
[00:10:58.000 --> 00:11:00.000]  無論做什麼
[00:11:00.000 --> 00:11:02.000]  或說話
[00:11:02.000 --> 00:11:04.000]  或行事
[00:11:04.000 --> 00:11:07.000]  都要奉主耶穌的名
[00:11:07.000 --> 00:11:11.000]  藉著祂感謝父神
[00:11:11.000 --> 00:11:16.000]  上一段的經文我們所看到的就是談論到
[00:11:16.000 --> 00:11:23.000]  彰顯神的榮耀不是只是純粹一種心靈改變
[00:11:23.000 --> 00:11:30.000]  更加不是只是流於口舌上的宣告
[00:11:30.000 --> 00:11:35.000]  而是一個人整全的改變
[00:11:35.000 --> 00:11:42.000]  我們可以脫離一種膚淺的認為榮耀神的做法
[00:11:42.000 --> 00:11:47.000]  今日教會很多時候說到榮耀神就是做聖公
[00:11:47.000 --> 00:11:52.000]  做多些在聖經裡要我們教會建立的事情
[00:11:52.000 --> 00:11:54.000]  甚至建一個教堂
[00:11:54.000 --> 00:11:56.000]  都是榮耀神的
[00:11:56.000 --> 00:12:03.000]  但很多時候我們只是流於這種很膚淺的一種信仰
[00:12:03.000 --> 00:12:10.000]  而缺乏了真正榮耀神是一個人的生命裡裡外外
[00:12:10.000 --> 00:12:13.000]  在他每一時每一刻
[00:12:13.000 --> 00:12:15.000]  在生活每一個環節裡
[00:12:15.000 --> 00:12:23.000]  每一舉手每一投足都能夠散發出基督的生命
[00:12:23.000 --> 00:12:27.000]  因此在上文我們說到的
[00:12:27.000 --> 00:12:30.000]  當我們在這個世界活著的時候
[00:12:30.000 --> 00:12:32.000]  我們會遇到很多的挑戰
[00:12:32.000 --> 00:12:37.000]  因為我們堅持行神的說話
[00:12:37.000 --> 00:12:43.000]  我們放棄這個世界的價值觀
[00:12:43.000 --> 00:12:51.000]  人就會拒絕甚至會來攻擊我們這些的取態
[00:12:51.000 --> 00:12:53.000]  但在這個時候
[00:12:53.000 --> 00:12:56.000]  我們的上帝透過主耶穌基督
[00:12:56.000 --> 00:13:00.000]  來向我們作出掩護
[00:13:00.000 --> 00:13:01.000]  保護我們
[00:13:01.000 --> 00:13:05.000]  在這個屬靈的你死我活的戰場上
[00:13:05.000 --> 00:13:09.000]  讓我們能夠真真正正做到
[00:13:09.000 --> 00:13:13.000]  可以實踐上帝的說話
[00:13:13.000 --> 00:13:16.000]  從而顯明上帝
[00:13:16.000 --> 00:13:20.000]  這是上文我們所看的內容
[00:13:20.000 --> 00:13:22.000]  你們經常都會有個疑問
[00:13:22.000 --> 00:13:26.000]  牧師你每次講到上個禮拜講的聖經
[00:13:26.000 --> 00:13:31.000]  只用了幾分鐘就講了上個禮拜一個多小時的講道
[00:13:31.000 --> 00:13:34.000]  你會不會覺得牧師你是不是講多了
[00:13:34.000 --> 00:13:36.000]  或者講少了
[00:13:36.000 --> 00:13:37.000]  不是
[00:13:37.000 --> 00:13:40.000]  我只是想給大家看到
[00:13:40.000 --> 00:13:43.000]  怎樣將一段聖經
[00:13:43.000 --> 00:13:47.000]  很詳細地將自己浸淫在裏面
[00:13:47.000 --> 00:13:50.000]  去給聖經的教導去學習
[00:13:50.000 --> 00:13:56.000]  但是怎樣很有效率地將它濃縮成為一個很重要的主題
[00:13:56.000 --> 00:14:00.000]  成為我們每個禮拜每一天作為基督徒
[00:14:00.000 --> 00:14:02.000]  走在面前的路
[00:14:02.000 --> 00:14:05.000]  順帶一提
[00:14:05.000 --> 00:14:08.000]  我記得上個禮拜
[00:14:08.000 --> 00:14:10.000]  完了崇拜
[00:14:10.000 --> 00:14:12.000]  Ellen問我一條問題
[00:14:12.000 --> 00:14:14.000]  牧師你講的話
[00:14:14.000 --> 00:14:17.000]  當時的信徒是否明白
[00:14:17.000 --> 00:14:19.000]  他們是否真的明白
[00:14:19.000 --> 00:14:24.000]  這一點我順帶介紹一個很重要的
[00:14:24.000 --> 00:14:28.000]  看聖經或者對聖經的一個看法給大家知道
[00:14:28.000 --> 00:14:30.000]  叫做聖經神學
[00:14:30.000 --> 00:14:32.000]  什麼叫聖經神學
[00:14:32.000 --> 00:14:36.000]  聖經神學不是一個宗教典籍
[00:14:36.000 --> 00:14:39.000]  只是告訴我行為守律法的做法
[00:14:39.000 --> 00:14:42.000]  聖經神學是將聖經的本體
[00:14:42.000 --> 00:14:44.000]  視為一個活體
[00:14:44.000 --> 00:14:46.000]  你說是嗎?可以這樣嗎?
[00:14:46.000 --> 00:14:49.000]  可以 為什麼不可以?因為聖經告訴我們
