
[00:00:00.000 --> 00:00:05.000]  好 弟子妹 大家早晨
[00:00:05.000 --> 00:00:09.000]  在聆聽主導儀先 我們一起同心低頭
[00:00:09.000 --> 00:00:13.000]  禱告讓我們在敬拜或聆聽的過程中
[00:00:13.000 --> 00:00:15.000]  能夠有聖靈與愛同在
[00:00:15.000 --> 00:00:19.000]  菩薩多謝你 讓我們有生命氣息
[00:00:19.000 --> 00:00:25.000]  在眾使踏入秋天的期間
[00:00:25.000 --> 00:00:30.000]  我們仍然看到上主你如何看顧保守我們每一個
[00:00:30.000 --> 00:00:34.000]  讓我們能夠在一個風光明媚的日子
[00:00:34.000 --> 00:00:37.000]  可以不單享受上帝的創造
[00:00:37.000 --> 00:00:42.000]  並且有自由空間可以回來在主你的說話學習
[00:00:42.000 --> 00:00:44.000]  我們為此現上感恩
[00:00:44.000 --> 00:00:48.000]  求你帶領我們每一個先上先下的弟兄姊妹
[00:00:48.000 --> 00:00:52.000]  一起在主你的說話上得到造就
[00:00:52.000 --> 00:00:57.000]  也能夠成為在主你的裡面一個合神心意的人
[00:00:57.000 --> 00:01:01.000]  能夠一同在我們所處的環境裡
[00:01:01.000 --> 00:01:06.000]  你所放置給我們應有的屬靈生命
[00:01:06.000 --> 00:01:11.000]  能夠活出讓人認識我們所相信的主我們的神
[00:01:11.000 --> 00:01:13.000]  我們為此再次獻上感恩
[00:01:13.000 --> 00:01:16.000]  在聆聽主導的過程中 求聖靈的引導
[00:01:16.000 --> 00:01:19.000]  賦予我們智慧能夠明白當中的啟示
[00:01:19.000 --> 00:01:23.000]  我們禱告奉靠主耶穌基督得聖名至以求
[00:01:23.000 --> 00:01:24.000]  阿們
[00:01:24.000 --> 00:01:27.000]  世人有一句俗語我相信大家會聽過
[00:01:27.000 --> 00:01:33.000]  就是機會是給予有預備的人
[00:01:33.000 --> 00:01:39.000]  這句話很普遍大家都會去留意的
[00:01:39.000 --> 00:01:43.000]  我相信當我們今天看完今天這段經文
