
[00:00:00.000 --> 00:00:06.000]  最大的冤假錯案
[00:00:06.000 --> 00:00:11.000]  一提起冤案 我就想起最近在香港發生的一件事
[00:00:11.000 --> 00:00:17.000]  就是香港的前特首曾蔭權坐牢
[00:00:17.000 --> 00:00:22.000]  後來終審法院就說他在冤案放了監
[00:00:22.000 --> 00:00:25.000]  事情是這樣的 在2012年
[00:00:25.000 --> 00:00:30.000]  曾蔭權就預備在7月就離任
[00:00:30.000 --> 00:00:33.000]  離任後就想到去哪裏住呢
[00:00:33.000 --> 00:00:38.000]  他就想到不如去中國深圳福田區
[00:00:38.000 --> 00:00:42.000]  那裏有一間叫東海花園的單位
[00:00:42.000 --> 00:00:48.000]  三層樓就居住 作為他退休的單位
[00:00:48.000 --> 00:00:54.000]  當時這間屋的業主就是香港數碼廣播有限公司的股東
[00:00:54.000 --> 00:00:57.000]  叫做王楚標
[00:00:57.000 --> 00:01:01.000]  雖然曾蔭權一樣要給屋租
[00:01:01.000 --> 00:01:05.000]  是80萬人民幣一年的屋租
[00:01:05.000 --> 00:01:10.000]  不是很貴 但也不算是很便宜
[00:01:10.000 --> 00:01:12.000]  但王楚標就答應
[00:01:12.000 --> 00:01:17.000]  本來這三層樓是用來做一個會所的位置
[00:01:17.000 --> 00:01:19.000]  不是一個住宅
[00:01:19.000 --> 00:01:21.000]  所以他就跟曾蔭權說
[00:01:21.000 --> 00:01:26.000]  我願意去裝修這間屋給你住
[00:01:26.000 --> 00:01:29.000]  所以用了一大筆錢裝修這間屋
[00:01:29.000 --> 00:01:33.000]  就因為他想著我退休了
[00:01:33.000 --> 00:01:36.000]  我租了一間屋 我有給租的
[00:01:36.000 --> 00:01:40.000]  業主裝修是天公地義的事
[00:01:40.000 --> 00:01:48.000]  他就沒有將這件事申報給當時的行政會聽
[00:01:48.000 --> 00:01:54.000]  因為這個緣故他就被控兩個大罪
[00:01:54.000 --> 00:01:57.000]  當他不再做特首的時候
[00:01:57.000 --> 00:02:00.000]  梁振英的政府就控他兩個罪
[00:02:00.000 --> 00:02:02.000]  第一就是收受利益
