
[00:00:00.000 --> 00:00:11.520]  今天和弟兄姊妹一起分享的經文是出自於加拉太書第五章第七節至第十二節
[00:00:11.520 --> 00:00:19.040]  今天所講的講道題目就是「辯認假信徒還真基督徒的本色」
[00:00:19.040 --> 00:00:28.640]  在這個教會的環境裡其實我們已經聽了很多年的講道
[00:00:28.640 --> 00:00:33.120]  不過在這麼多年的教會生活裡
[00:00:33.120 --> 00:00:42.080]  我發現很多聖經的教導都被基督徒扭曲了原本在聖經裡的原意
[00:00:42.080 --> 00:00:47.200]  例如我之前曾經講過很多次有關於禱告的題目
[00:00:47.200 --> 00:00:50.000]  今天究竟怎樣去禱告呢?
[00:00:50.000 --> 00:00:59.840]  其實教會對於這個題目已經扭曲到連主耶穌基督在登山補訓裡所教導的都可以將它吊棄
[00:00:59.840 --> 00:01:04.800]  但是其實有其他的聖經的題目也都被不斷扭曲
[00:01:04.800 --> 00:01:13.520]  其中一個廣為人誤解甚至將它扭曲解釋的就是有關於論斷這個問題
[00:01:13.520 --> 00:01:23.600]  很多基督徒甚至在教會的牧者會引經據典去強調告訴基督徒
[00:01:23.600 --> 00:01:25.840]  我們不要去論斷
[00:01:25.840 --> 00:01:27.360]  我們千萬不要去論斷
[00:01:27.360 --> 00:01:29.440]  有什麼經文他們會引用呢?
[00:01:29.440 --> 00:01:34.080]  例如在《馬太福音》第七章第一至第二節
[00:01:34.080 --> 00:01:35.840]  在這裡耶穌這樣說過
[00:01:35.840 --> 00:01:37.680]  你們不要論斷人
[00:01:37.680 --> 00:01:39.440]  免得你們被論斷
[00:01:39.440 --> 00:01:43.920]  因為你們怎樣論斷人也必怎樣被論斷
[00:01:43.920 --> 00:01:48.720]  另外他們甚至也引用羅馬書保羅的神學
[00:01:48.720 --> 00:01:51.120]  在羅馬書第二章第一節
[00:01:51.120 --> 00:01:52.160]  那裡這樣說
[00:01:52.160 --> 00:01:54.240]  你在什麼事上論斷人
[00:01:54.240 --> 00:01:57.280]  就在什麼事上定自己的罪
[00:01:57.280 --> 00:01:59.360]  因你們這論斷人的
[00:01:59.360 --> 00:02:02.240]  自己所行卻和別人一樣
[00:02:02.240 --> 00:02:06.240]  所以他們說你看看無論是耶穌基督也好
[00:02:06.240 --> 00:02:10.560]  甚至我們所看的新約聖經的保羅
[00:02:10.560 --> 00:02:13.120]  他也很強調不要去論斷
[00:02:13.120 --> 00:02:21.280]  但是其實究竟論斷是不是真是聖經所不容許的事情呢?
[00:02:21.280 --> 00:02:24.160]  我們很多時候在今天的教會裡面
[00:02:24.160 --> 00:02:28.160]  很喜歡用這種斷章取義的方式
[00:02:28.160 --> 00:02:31.920]  以金句的引用形式的方法
[00:02:32.080 --> 00:02:37.200]  去將一些聖經的說話騰空抽出來
[00:02:37.200 --> 00:02:41.200]  然後進行一些神學的建構的活動
[00:02:41.200 --> 00:02:44.080]  或者組織成為一個神學教訓
[00:02:44.080 --> 00:02:47.120]  這種做法是非常普通
[00:02:47.120 --> 00:02:52.480]  很普遍甚至可以這麼說是很容易的事情
[00:02:52.480 --> 00:02:55.520]  不過就是正正因為這麼普通
[00:02:55.520 --> 00:03:01.360]  這麼普遍就造成了一個更普通更普遍的一個錯誤
[00:03:01.360 --> 00:03:07.760]  首先我們要明白普通或者普遍就不代表那件事是對的
[00:03:07.760 --> 00:03:11.920]  所以不代表眾人以為美的事就一定是對的
