
[00:00:00.000 --> 00:00:07.360]  我們一起來看十誡已經到第四誡
[00:00:07.360 --> 00:00:13.040]  或者說上帝所吩咐的說話的第四句
[00:00:13.040 --> 00:00:16.800]  來到安息日這個吩咐
[00:00:16.800 --> 00:00:19.600]  都是一個好的機會
[00:00:19.600 --> 00:00:25.200]  我們稍微看回過去我們所說過的
[00:00:25.200 --> 00:00:28.000]  好像溫習每月金句
[00:00:28.000 --> 00:00:32.320]  除我以外不可
[00:00:32.320 --> 00:00:35.120]  不是這麼兇的第一句
[00:00:35.120 --> 00:00:41.920]  在我的面前對你就再沒有其他的神了
[00:00:41.920 --> 00:00:43.920]  語氣很不同的
[00:00:43.920 --> 00:00:46.880]  不是你不可做什麼
[00:00:46.880 --> 00:00:51.120]  是你不需要廣東話四個字
[00:00:51.120 --> 00:00:53.120]  騰來騰去
[00:00:53.120 --> 00:00:56.320]  你有什麼災禍有什麼疾病
[00:00:56.320 --> 00:00:58.640]  就要找這個找那個
[00:00:58.640 --> 00:01:03.920]  不是 你有天賦做你的神
[00:01:03.920 --> 00:01:06.720]  就不再需要擔心
[00:01:06.720 --> 00:01:10.880]  這個是第一句釋放的說話
[00:01:10.880 --> 00:01:13.200]  所以很重要的
[00:01:13.200 --> 00:01:16.000]  我們回去看回《舊約聖經》
[00:01:16.000 --> 00:01:20.400]  按它原本希伯來文那句說話來翻譯
[00:01:20.400 --> 00:01:23.520]  我們就發覺那個不是一個禁止
[00:01:23.520 --> 00:01:26.000]  不准 不准 不是
[00:01:26.000 --> 00:01:29.040]  是不需要 不需要
[00:01:29.040 --> 00:01:31.920]  還有第二句說話我們說看清楚一點
[00:01:31.920 --> 00:01:34.400]  那裡不是說偶像
[00:01:34.400 --> 00:01:41.520]  那裡說的是敬拜這位天父獨一的真神
[00:01:41.520 --> 00:01:48.640]  不需要做最好的金銀的像
[00:01:48.640 --> 00:01:50.640]  在當時的文化
[00:01:50.640 --> 00:01:52.640]  這個是最好的
[00:01:52.640 --> 00:01:55.200]  我們今天唱青年聖歌
[00:01:55.200 --> 00:01:56.720]  今天唱了很多首
[00:01:56.720 --> 00:01:58.720]  其中一首我們馬上就明白
[00:01:58.720 --> 00:02:01.600]  說金像銀像我們不明白
[00:02:01.600 --> 00:02:05.920]  將你最好的獻給主
[00:02:05.920 --> 00:02:07.920]  你馬上就說有什麼不對
[00:02:07.920 --> 00:02:10.720]  最好的應該是這樣的
[00:02:10.720 --> 00:02:12.720]  說金銀那些像
[00:02:12.720 --> 00:02:14.720]  你就說當然不對
[00:02:14.720 --> 00:02:16.720]  那些是偶像
[00:02:16.720 --> 00:02:18.720]  所以文化已經改變了
[00:02:19.440 --> 00:02:24.160]  為什麼上帝不需要我們將最好的給他
[00:02:24.160 --> 00:02:28.160]  金牛毒的事件提醒我們
[00:02:28.160 --> 00:02:32.480]  我們不是將上帝框了
[00:02:32.480 --> 00:02:38.960]  限制了在我們能夠做到的最好
[00:02:38.960 --> 00:02:50.320]  相信上帝是去宜家家師買那些DIY
