
[00:00:00.000 --> 00:00:06.760]  首先很感謝Lee和Cindy
[00:00:06.760 --> 00:00:10.760]  今天幫我們選出有這麼適合的詩歌
[00:00:10.760 --> 00:00:13.640]  尤其是那首《貧著信》
[00:00:13.640 --> 00:00:16.080]  真的跟我今天要說的很相似
[00:00:16.080 --> 00:00:18.560]  另外孫召經文也是
[00:00:18.560 --> 00:00:25.280]  你看到我這個題目和我在這周刊上又不同了
[00:00:25.280 --> 00:00:26.280]  為什麼
[00:00:26.280 --> 00:00:31.880]  昨天見到彭長老出席做全教會的事工
[00:00:31.880 --> 00:00:34.840]  一時有個很大的感觸
[00:00:34.840 --> 00:00:39.840]  本來是想叫這篇道道家立專一服從
[00:00:39.840 --> 00:00:41.720]  見到彭長老之後
[00:00:41.720 --> 00:00:43.960]  我就改了他做家立
[00:00:43.960 --> 00:00:45.440]  老當益壯
[00:00:45.440 --> 00:00:47.720]  有別一樣的心智
[00:00:47.720 --> 00:00:50.520]  我覺得彭長老就好像家立一樣
[00:00:50.520 --> 00:00:52.520]  老當益壯
[00:00:52.520 --> 00:00:54.840]  年紀都很大
[00:00:54.840 --> 00:00:58.240]  但仍然關心我們教會的事工
[00:00:58.240 --> 00:00:59.960]  來出一份力量
[00:00:59.960 --> 00:01:01.960]  非常非常感謝
[00:01:01.960 --> 00:01:06.600]  其實今天很快就去到約書亞記的十四章
[00:01:06.600 --> 00:01:11.480]  十五章要說的是家立的故事
[00:01:11.480 --> 00:01:16.480]  其實約書亞記可以分開兩個主要的部分
[00:01:16.480 --> 00:01:21.000]  一至十二章和十三至二十四章
[00:01:21.000 --> 00:01:26.240]  一至十二章是說以色列人如何進入迦南地
[00:01:26.240 --> 00:01:27.520]  得到那地
[00:01:27.520 --> 00:01:29.960]  主要是四場的戰爭
[00:01:29.960 --> 00:01:32.920]  兩場在迦南的中部
[00:01:32.920 --> 00:01:35.920]  就是耶利哥城和艾城
[00:01:35.920 --> 00:01:39.640]  一場在南面一場在北面
[00:01:39.640 --> 00:01:41.840]  南面的是基片
[00:01:41.840 --> 00:01:43.840]  北面的是下所
[00:01:43.840 --> 00:01:49.360]  十二章可以說是一個戰役的總結
[00:01:49.360 --> 00:01:52.240]  就是說他們得到什麼地方
[00:01:52.240 --> 00:01:54.640]  戰勝了多少個王
[00:01:54.640 --> 00:01:57.680]  十三至二十四章
[00:01:57.680 --> 00:02:01.640]  就是約書亞記的下半部
[00:02:01.640 --> 00:02:04.040]  就是說他們如何分地
[00:02:04.040 --> 00:02:06.040]  分給十二支派
[00:02:06.040 --> 00:02:10.560]  今天很明顯就是要說家立
[00:02:10.560 --> 00:02:12.560]  十四十五章
[00:02:12.560 --> 00:02:16.240]  約書亞記十四章六節經文說
[00:02:16.240 --> 00:02:20.560]  那時猶大人來到吉格見約書亞
[00:02:20.560 --> 00:02:25.320]  有基尼洗族耶夫尼的兒子家立
[00:02:25.320 --> 00:02:27.120]  對約書亞說
[00:02:27.120 --> 00:02:30.040]  耶護華在迦底斯巴尼亞
[00:02:30.040 --> 00:02:34.320]  指著我與你對神人摩西所說的話
[00:02:34.320 --> 00:02:36.320]  你都知道了
[00:02:36.320 --> 00:02:39.440]  然後他就向約書亞
[00:02:39.440 --> 00:02:44.840]  希望約書亞能夠將希伯倫賜給自己
[00:02:44.840 --> 00:02:51.720]  經文說 家立是猶大支派基尼洗族
[00:02:51.720 --> 00:02:53.720]  耶夫尼的兒子
[00:02:53.720 --> 00:02:57.880]  究竟基尼洗族是什麼呢
[00:02:57.880 --> 00:03:00.680]  如果我們記得的話
[00:03:00.680 --> 00:03:05.520]  在創世記十五章十八至十九節
[00:03:05.520 --> 00:03:11.680]  神是應許亞伯拉罕將迦南地賜給以色列人
[00:03:11.680 --> 00:03:14.320]  當時神與亞伯拉罕說
[00:03:14.320 --> 00:03:17.480]  在迦南地一共有十個族
[00:03:17.480 --> 00:03:21.560]  其中一個族就是基尼洗族
[00:03:21.560 --> 00:03:23.560]  非常有趣
