
[00:00:00.000 --> 00:00:07.000]  由97年開始香港經濟的低迷
[00:00:07.000 --> 00:00:10.000]  特別是到911以後
[00:00:10.000 --> 00:00:13.000]  這些經濟深深影響著每個人的心
[00:00:13.000 --> 00:00:17.000]  過去幾年裏面實際上和Ivan一路的處理
[00:00:17.000 --> 00:00:20.000]  和面對和討好
[00:00:20.000 --> 00:00:21.000]  其實有好幾年的時間
[00:00:21.000 --> 00:00:23.000]  起碼都成四五年的時間
[00:00:23.000 --> 00:00:25.000]  我記得那時候我還在德威那邊住
[00:00:25.000 --> 00:00:27.000]  還在渥山那邊住
[00:00:27.000 --> 00:00:29.000]  我現在搬了已經搬了三年多
[00:00:29.000 --> 00:00:31.000]  所以因為這樣的懸故
[00:00:31.000 --> 00:00:32.000]  起碼成四年多的時間
[00:00:32.000 --> 00:00:36.000]  和他一起去面對那段經歷
[00:00:36.000 --> 00:00:39.000]  其中一個重災區
[00:00:39.000 --> 00:00:41.000]  就是和地產有關
[00:00:41.000 --> 00:00:44.000]  和建造業有關
[00:00:44.000 --> 00:00:48.000]  而在建造業裏面最重災的
[00:00:48.000 --> 00:00:50.000]  就是那些盤頭
[00:00:50.000 --> 00:00:52.000]  我不是說那些大盤
[00:00:52.000 --> 00:00:55.000]  我是說那些二盤、三盤、四盤的人
[00:00:55.000 --> 00:00:58.000]  香港是一個非常畸形
[00:00:58.000 --> 00:01:00.000]  在建築的制度上面
[00:01:00.000 --> 00:01:05.000]  是非常光怪俐落的一個這樣的地方
[00:01:05.000 --> 00:01:07.000]  你拿那些大工程
[00:01:07.000 --> 00:01:10.000]  普通的盤頭你拿不到
[00:01:10.000 --> 00:01:12.000]  只能說大盤他拿得到
[00:01:12.000 --> 00:01:14.000]  因為他有牌
[00:01:14.000 --> 00:01:17.000]  但大盤拿了他不是自己做的
[00:01:17.000 --> 00:01:20.000]  他是抽水的,給人做的
[00:01:20.000 --> 00:01:22.000]  二盤拿了都是一部分自己做
[00:01:22.000 --> 00:01:24.000]  有些也是給第三盤做
[00:01:24.000 --> 00:01:26.000]  第三盤拿了可能有些四盤做
[00:01:26.000 --> 00:01:28.000]  就是一層一層抽下去
[00:01:28.000 --> 00:01:32.000]  所以令到整個的建築成本非常高
[00:01:32.000 --> 00:01:37.000]  工人就是拿回他們每天的工資
[00:01:37.000 --> 00:01:39.000]  而其實我們看回多年裏面
[00:01:39.000 --> 00:01:43.000]  我對建築方面的情形越了解越多
[00:01:43.000 --> 00:01:45.000]  了解多的情形裏面
[00:01:45.000 --> 00:01:49.000]  我發覺到其實最慘最慘的就是中間的夾心階層
[00:01:49.000 --> 00:01:50.000]  原因在哪裏呢
[00:01:50.000 --> 00:01:52.000]  就是當這些二盤、三盤、四盤的人
[00:01:52.000 --> 00:01:53.000]  一直在做
[00:01:53.000 --> 00:01:55.000]  一方面他要出糧給下面那些
[00:01:55.000 --> 00:01:57.000]  你不出的時間他們會炸你的
[00:01:57.000 --> 00:01:58.000]  勞工處就是幫了這幫人
[00:01:58.000 --> 00:02:00.000]  工會的人幫了這幫人
[00:02:00.000 --> 00:02:03.000]  立法局的議員區議員全部幫了那些打工仔的
[00:02:03.000 --> 00:02:06.000]  就是說如果你這個判頭不出糧的時間
[00:02:06.000 --> 00:02:08.000]  一堆人去你的公司裏面
[00:02:08.000 --> 00:02:10.000]  天天在這裏吵你、捕你
