
[00:00:00.000 --> 00:00:08.200]  今天和大家一起思想的經文是《迦拉太書》第三章
[00:00:08.200 --> 00:00:11.640]  會從第26節至第29節的經文
[00:00:11.640 --> 00:00:13.120]  不是很長的經文
[00:00:13.120 --> 00:00:16.440]  但是我們在這四節的經文裡面
[00:00:16.440 --> 00:00:18.560]  能夠更深的掌握到
[00:00:18.560 --> 00:00:23.160]  上帝如何安排主耶穌基督為我們去成就這個救恩
[00:00:23.160 --> 00:00:26.040]  讓我們能夠更加珍惜這個救恩
[00:00:26.040 --> 00:00:29.680]  讓我們一起在聆聽主話
[00:00:29.680 --> 00:00:32.240]  也再讀一次這段經文
[00:00:32.240 --> 00:00:35.600]  我會為大家讀出和合本的版本
[00:00:35.600 --> 00:00:40.160]  所以你們因信基督耶穌都是上帝的兒子
[00:00:40.160 --> 00:00:44.440]  你們受洗歸入基督的都是披戴基督了
[00:00:44.440 --> 00:00:51.160]  並不分猶太人、希臘人、氏主的、維羅的、或男或女
[00:00:51.160 --> 00:00:55.880]  因為你們在基督耶穌裡都成為一了
[00:00:55.880 --> 00:01:00.080]  你們基屬基督就是亞伯拉罕的後裔
[00:01:00.080 --> 00:01:03.000]  是照著應許承受產業的了
[00:01:03.000 --> 00:01:07.880]  今天和大家一起分享的這段經文的講道題目是
[00:01:07.880 --> 00:01:11.680]  基督的信的穿透性
[00:01:11.680 --> 00:01:16.920]  很多時候很多人都很著重健康這個題目
[00:01:16.920 --> 00:01:21.200]  健康可以說是很多人很珍惜的事情
[00:01:21.200 --> 00:01:26.040]  無論是飲水也好或者是吃東西也好
[00:01:26.040 --> 00:01:31.000]  特別是現在的人很喜歡吃很多健康產品的食品
[00:01:31.000 --> 00:01:33.720]  這些產品也都非常普及
[00:01:33.720 --> 00:01:37.840]  在很多不同的地方有各式各樣的牌子
[00:01:37.840 --> 00:01:40.720]  在這市面上販賣
[00:01:40.720 --> 00:01:46.720]  雖然這些東西這麼廣泛地普及流行在這個世界當中
