
[00:00:00.740 --> 00:00:02.100]  各位網友 早安
[00:00:02.100 --> 00:00:05.180]  我想問一下 昨天有哪個 昨天有出席的?
[00:00:05.180 --> 00:00:07.880]  昨天有否有出席的?都有不少
[00:00:07.880 --> 00:00:10.000]  到你們來說已經是第四堂了
[00:00:10.000 --> 00:00:13.780]  我想很多都是今天早上第一堂的時候都在這裡
[00:00:13.780 --> 00:00:17.880]  再次歡迎大家 也欣賞大家的參與
[00:00:17.880 --> 00:00:21.560]  希望神的話 馬拉基書能夠成為我們的幫助
[00:00:21.560 --> 00:00:24.160]  昨天我都提過我帶了
[00:00:24.160 --> 00:00:26.800]  佈陸神學院的一些宣傳刊物來
[00:00:26.800 --> 00:00:29.100]  如果你有興趣 你散會的時候
[00:00:29.100 --> 00:00:31.920]  請你可以拿 除了一份我們叫生命禮讚
[00:00:31.920 --> 00:00:35.500]  我們有些簡介之外 還有最新一期我們的院訊
[00:00:35.500 --> 00:00:38.300]  就是介紹神學院的消息 也有一些文章
[00:00:38.300 --> 00:00:42.040]  如果有興趣的話 請你拿來看 也為我們祈禱
[00:00:42.040 --> 00:00:48.920]  在當中 這一篇 今期的院訊裡面
[00:00:48.920 --> 00:00:51.940]  我寫了一篇文章叫做眾人皆祭師
[00:00:51.940 --> 00:00:53.740]  是不是等於沒有牧師?
[00:00:53.740 --> 00:00:55.940]  希望你有興趣看一下
[00:00:55.940 --> 00:00:58.880]  也請你看完之後 請你為我
[00:00:58.880 --> 00:01:01.000]  為佈陸神學院來祈禱
[00:01:01.000 --> 00:01:05.980]  我們來到馬拉基書的第四章
[00:01:05.980 --> 00:01:10.740]  這張聖經可以說是整本書的結束
[00:01:10.740 --> 00:01:13.600]  甚至是整個舊約的結束
[00:01:13.600 --> 00:01:16.240]  雖然在猶太人的聖經裡面
[00:01:16.240 --> 00:01:19.900]  那個編排的次序和我們現在中文聖經
[00:01:19.900 --> 00:01:22.000]  或者其他英文聖經是不相同的
[00:01:22.000 --> 00:01:23.880]  猶太人的聖經編排次序
[00:01:23.880 --> 00:01:27.760]  最後那一段書是歷代之下的
[00:01:27.760 --> 00:01:31.120]  但是無論如何 馬拉基無論在時間上
[00:01:31.120 --> 00:01:35.440]  或者先知書上的安排上都是最後一段書
[00:01:35.440 --> 00:01:40.060]  而在馬拉基之後 我們就進入一個叫做沉默的400年
