
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹 主內平安
[00:00:05.000 --> 00:00:09.000]  張臨奇第二個主日
[00:00:09.000 --> 00:00:11.000]  大家知道怎樣計數嗎
[00:00:11.000 --> 00:00:20.000]  張臨奇是聖誕節前數四個主日開始
[00:00:20.000 --> 00:00:25.000]  所以蠟燭有五支
[00:00:25.000 --> 00:00:35.000]  中間白色那支是聖誕日12月25日才可以點
[00:00:35.000 --> 00:00:41.000]  旁邊的四支每一個主日點一支
[00:00:41.000 --> 00:00:43.000]  不過電影姊妹小心
[00:00:43.000 --> 00:00:46.000]  張臨奇不是倒數聖誕節
[00:00:46.000 --> 00:00:48.000]  還有很多日shopping
[00:00:48.000 --> 00:00:57.000]  商場宣傳提醒做生意
[00:00:57.000 --> 00:01:04.000]  張臨奇既是預備聖誕節
[00:01:04.000 --> 00:01:12.000]  亦都是提醒我們等候基督再來
[00:01:12.000 --> 00:01:20.000]  這是我們信仰一個很特別的地方
[00:01:20.000 --> 00:01:22.000]  我們需要明白
[00:01:22.000 --> 00:01:24.000]  這樣就不會搞錯
[00:01:24.000 --> 00:01:27.000]  耶穌何時來
[00:01:27.000 --> 00:01:30.000]  第一個答案來了
[00:01:30.000 --> 00:01:34.000]  第一個聖誕節來了
[00:01:34.000 --> 00:01:37.000]  為何又說祂要再回來
[00:01:37.000 --> 00:01:40.000]  這就是我們需要明白的
[00:01:40.000 --> 00:01:44.000]  我帶了一本書
[00:01:44.000 --> 00:01:48.000]  是張臨奇幫助弟兄姊妹
[00:01:48.000 --> 00:01:51.000]  可以每日讀一篇
[00:01:51.000 --> 00:01:54.000]  有英文版有中文版
[00:01:54.000 --> 00:02:00.000]  這是寧豐國際John Stott
[00:02:00.000 --> 00:02:04.000]  所開始的一個事工
[00:02:04.000 --> 00:02:17.000]  在過去50年訓練了很多第三世界學者
[00:02:17.000 --> 00:02:19.000]  我也是其中一個
[00:02:19.000 --> 00:02:28.000]  這本書是全世界亞洲非洲拉丁美洲
[00:02:28.000 --> 00:02:35.000]  很多第三世界學者集體寫了一篇
[00:02:35.000 --> 00:02:43.000]  我想我可以將電子版留給你們看
[00:02:43.000 --> 00:02:56.000]  如果有興趣可以跟著張臨奇思想主的降臨
[00:02:56.000 --> 00:03:04.000]  今天我們要讀的經文思想的內容
[00:03:04.000 --> 00:03:07.000]  是主耶穌自己
[00:03:07.000 --> 00:03:12.000]  當他還在世上的時候
[00:03:12.000 --> 00:03:16.000]  他跟門徒講解
[00:03:16.000 --> 00:03:26.000]  他再來應該怎樣去明白掌握
[00:03:26.000 --> 00:03:33.000]  從無花果樹學個比方
[00:03:33.000 --> 00:03:36.000]  這句話是耶穌講的
[00:03:36.000 --> 00:03:38.000]  你說我都聽過
[00:03:38.000 --> 00:03:41.000]  我都差不多會講了
[00:03:41.000 --> 00:03:44.000]  還有什麼好講
[00:03:44.000 --> 00:03:47.000]  有呀我們要很小心
[00:03:47.000 --> 00:03:52.000]  因為華人教會多年來
[00:03:52.000 --> 00:03:56.000]  對於耶穌講的比方比喻
