
[00:00:00.000 --> 00:00:05.520]  上個星期我們看了《但異理書》第一章
[00:00:05.520 --> 00:00:08.200]  《但異理書》一共有12章
[00:00:08.200 --> 00:00:09.760]  我們會用12個星期
[00:00:09.760 --> 00:00:14.200]  每一個星期看一章來明白《但異理書》
[00:00:14.200 --> 00:00:18.960]  《但異理書》是舊約裡面一卷很重要的書
[00:00:18.960 --> 00:00:24.080]  但《但異理書》也是一卷不是很容易明白的書
[00:00:24.080 --> 00:00:29.680]  所以大家在教會裡面很可能很少聽到牧師講《但異理書》
[00:00:29.680 --> 00:00:33.160]  但神的話語每一卷的書都是寶貴
[00:00:33.160 --> 00:00:35.480]  都是值得我們去研讀
[00:00:35.480 --> 00:00:38.640]  在裡面有神自己的心意
[00:00:38.640 --> 00:00:42.040]  我相信《但異理書》是神要我們第一
[00:00:42.040 --> 00:00:45.080]  學習但異理是一個怎樣的人
[00:00:45.080 --> 00:00:49.400]  因為神在我們未做什麼事工之前
[00:00:49.400 --> 00:00:50.960]  神是看重我們這個人
[00:00:50.960 --> 00:00:53.240]  神是做我們每一個
[00:00:53.240 --> 00:00:56.120]  神看我們每一個都是寶貴
[00:00:56.120 --> 00:00:59.880]  神拯救我們是每一個人來拯救我們
[00:00:59.880 --> 00:01:01.280]  不是一群人拯救
[00:01:01.280 --> 00:01:04.360]  是我們每一個人在某一個時候
[00:01:04.360 --> 00:01:07.560]  神的救恩臨到你這個個人
[00:01:07.560 --> 00:01:11.800]  然後你個人在神的面前來做一個決定
[00:01:11.800 --> 00:01:14.800]  接受福音、接受新的生命
[00:01:14.800 --> 00:01:16.640]  新的生命是給你的
[00:01:16.640 --> 00:01:18.800]  是一個一個的得救
[00:01:18.800 --> 00:01:22.080]  所以在我們未做神的工作之前
[00:01:22.080 --> 00:01:26.320]  神才看我們到底在祂面前是一個怎樣的人
[00:01:26.320 --> 00:01:27.960]  我們會留心看
[00:01:27.960 --> 00:01:31.840]  但異理在神的面前是怎樣一個敬虔的人
[00:01:31.840 --> 00:01:36.920]  然後我們看到神是怎樣可以御用祂的一生
[00:01:36.920 --> 00:01:39.840]  但異理書也是一本預言的書
