
[00:00:00.000 --> 00:00:03.040]  各位早安 今天很開心的來
[00:00:03.040 --> 00:00:07.320]  因為我聽到第一個星期我就嚇了一跳
[00:00:07.320 --> 00:00:09.860]  通常第一個星期我不行的
[00:00:09.860 --> 00:00:11.920]  下次我就去 剛剛兩個星期
[00:00:11.920 --> 00:00:15.360]  兩次第一次都是在芝加哥和西雅圖
[00:00:15.360 --> 00:00:17.200]  只有這次在香港
[00:00:17.200 --> 00:00:20.420]  所以我看到今天來的來賓很開心
[00:00:20.420 --> 00:00:23.920]  我想是神安排我們可以見到面的 這麼開心
[00:00:23.920 --> 00:00:29.200]  這個題目在《但願你輸》第六章我選出來
[00:00:29.200 --> 00:00:34.320]  可能你很吸引 你說什麼叫獅子 獅子是什麼
[00:00:34.320 --> 00:00:36.920]  當時其實經文的背景
[00:00:36.920 --> 00:00:39.760]  就真的是「但願你遇到獅子」
[00:00:39.760 --> 00:00:41.040]  但是獅子是怎麼樣呢?
[00:00:41.040 --> 00:00:44.300]  就是神封住牠的口 就不傷牠
[00:00:44.300 --> 00:00:47.280]  真的 但是你沒有被獅子咬死
[00:00:47.280 --> 00:00:51.520]  不過我想問你 如果你見到一隻獅子你會怎麼樣?
[00:00:51.520 --> 00:00:53.600]  你會走嗎?
[00:00:53.600 --> 00:00:56.640]  你猜你走不走得掉?
[00:00:56.640 --> 00:00:59.520]  你走不掉都會走的了 是吧?走不掉都走了
[00:00:59.520 --> 00:01:03.760]  不過我怕你走得快不快 你猜?
[00:01:03.760 --> 00:01:10.320]  你猜你是人生走得最快那一次還是最慢那一次呢?
[00:01:10.320 --> 00:01:15.120]  最快那一次 你說到時才知道 是吧?
[00:01:15.120 --> 00:01:18.160]  但是我擔心你是走得最慢那一次
[00:01:18.160 --> 00:01:21.440]  你一腳軟了 你一腳軟了
[00:01:21.440 --> 00:01:25.120]  我想患病也像這個感覺的
[00:01:25.120 --> 00:01:29.120]  是被病嚇到的
[00:01:29.120 --> 00:01:33.600]  嚇到你還沒有看醫生已經暈了
[00:01:33.600 --> 00:01:36.720]  所以我以前做精神科
[00:01:36.720 --> 00:01:40.240]  那時候我們訓練 我也有訓練過精神科醫生
