
[00:00:00.000 --> 00:00:04.160]  各位網友你好
[00:00:04.160 --> 00:00:08.000]  歡迎大家收看心靈雞湯煎路加福音研讀
[00:00:08.000 --> 00:00:09.600]  我是蘇慧如牧師
[00:00:09.600 --> 00:00:14.640]  今天我們來到路加福音第九章一至六節
[00:00:14.640 --> 00:00:20.320]  題目是叛徒不是天生賴術製造
[00:00:20.320 --> 00:00:24.640]  我們首先看看路加福音這一段聖經
[00:00:24.640 --> 00:00:28.160]  路加福音第九章一至六節
[00:00:28.160 --> 00:00:31.200]  耶穌表達了十二個門徒
[00:00:31.200 --> 00:00:34.880]  給他們能力權備制服一切的鬼
[00:00:34.880 --> 00:00:36.320]  醫治各樣的病
[00:00:36.320 --> 00:00:39.680]  又產生他們去宣傳神國的道
[00:00:39.680 --> 00:00:40.800]  醫治病人
[00:00:40.800 --> 00:00:41.920]  對他們說
[00:00:41.920 --> 00:00:45.520]  行路的時候不要帶拐杖和口袋
[00:00:45.520 --> 00:00:47.440]  不要帶食物和銀紙
[00:00:47.440 --> 00:00:49.680]  也不要帶兩件襪子
[00:00:49.680 --> 00:00:53.120]  無論進哪一家就住在哪裡
[00:00:53.120 --> 00:00:55.120]  也從哪裡起行
[00:00:55.120 --> 00:00:57.440]  凡不接待你們的
[00:00:57.440 --> 00:00:59.680]  你們離開那城的時候
[00:00:59.680 --> 00:01:02.560]  以把腳上的塵土踩下去
[00:01:02.560 --> 00:01:04.480]  見證他們的不是
[00:01:04.480 --> 00:01:05.840]  門徒就出去
[00:01:05.840 --> 00:01:07.280]  走遍各鄉
[00:01:07.280 --> 00:01:09.520]  宣傳福音
[00:01:09.520 --> 00:01:11.520]  到處治病
[00:01:11.520 --> 00:01:15.120]  我想大家算一算
[00:01:15.120 --> 00:01:18.640]  假如我帶一個查點班
[00:01:18.640 --> 00:01:20.880]  這個查點班有四十個人
[00:01:20.880 --> 00:01:23.840]  這四十個人都願意接受門徒訓練
[00:01:23.840 --> 00:01:26.880]  學習如何帶領人去窺探耶穌
[00:01:26.880 --> 00:01:28.320]  他們的使命就是
[00:01:28.320 --> 00:01:30.480]  一年要帶三個人信主
[00:01:30.480 --> 00:01:31.680]  去愛他們
[00:01:31.680 --> 00:01:32.720]  關懷他們
[00:01:32.720 --> 00:01:33.920]  為他們禱告
[00:01:33.920 --> 00:01:35.360]  和他們一起讀聖經
[00:01:35.360 --> 00:01:36.800]  帶領他們信耶穌
[00:01:36.800 --> 00:01:39.920]  並且訓練他們成為耶穌的門徒
[00:01:39.920 --> 00:01:41.920]  一年之後
[00:01:41.920 --> 00:01:44.560]  總共有160人
[00:01:44.560 --> 00:01:48.960]  這160人又重複這個使命
[00:01:48.960 --> 00:01:51.840]  兩年之後就有640人
[00:01:51.840 --> 00:01:55.040]  三年之後就有2560人
[00:01:55.040 --> 00:01:58.240]  四年之後就有1240人
[00:01:58.240 --> 00:02:01.680]  五年之後有4960人
[00:02:01.680 --> 00:02:05.520]  六年之後就有163840人
[00:02:05.520 --> 00:02:10.080]  七年之後有655360人
[00:02:10.080 --> 00:02:11.440]  八年之後
[00:02:11.440 --> 00:02:15.760]  2621440人
[00:02:15.760 --> 00:02:20.880]  九年之後有1045760人
[00:02:20.880 --> 00:02:29.200]  十年之後就有41943040人
[00:02:29.200 --> 00:02:32.080]  這真是天文數字
[00:02:32.080 --> 00:02:34.640]  我們會問
[00:02:34.640 --> 00:02:37.280]  我們找不到這樣的教會
