
[00:00:00.000 --> 00:00:10.000]  今天是紐辰25周年的感恩慶典
[00:00:10.000 --> 00:00:12.000]  我想了很久
[00:00:12.000 --> 00:00:15.000]  我就決定在這個時間裏面
[00:00:15.000 --> 00:00:20.000]  從聖經當中分享一篇遺囑
[00:00:20.000 --> 00:00:24.000]  有些人心裏說大吉利是
[00:00:24.000 --> 00:00:28.000]  人家剛剛慶祝25周年生日
[00:00:28.000 --> 00:00:30.000]  你又說遺囑
[00:00:30.000 --> 00:00:33.000]  我們基督徒是百無禁忌的
[00:00:33.000 --> 00:00:37.000]  因為我覺得這篇遺囑很有意思
[00:00:37.000 --> 00:00:42.000]  這篇遺囑是帶我們看回以往
[00:00:42.000 --> 00:00:44.000]  又看見將來
[00:00:44.000 --> 00:00:48.000]  正如紐辰我們所面對的
[00:00:48.000 --> 00:00:50.000]  但是我剛剛禱告的時候
[00:00:50.000 --> 00:00:52.000]  都是這樣祈求主
[00:00:52.000 --> 00:00:54.000]  不單只是給神學院
[00:00:54.000 --> 00:00:57.000]  是給我們每一個弟兄姊妹
[00:00:57.000 --> 00:01:00.000]  因為當日我相信神要說的話
[00:01:00.000 --> 00:01:05.000]  都是給每一個願意相信他跟隨他的人
[00:01:05.000 --> 00:01:07.000]  究竟這個遺囑在哪裏呢
[00:01:07.000 --> 00:01:10.000]  我不知道有沒有大綱打出來
[00:01:10.000 --> 00:01:13.000]  如果沒有的話就聽我說
[00:01:13.000 --> 00:01:20.000]  這個遺囑就是摩西的遺囑
[00:01:20.000 --> 00:01:22.000]  大家如果讀聖經知道
[00:01:22.000 --> 00:01:28.000]  其實生命記是摩西的遺言
[00:01:28.000 --> 00:01:33.000]  摩西和以色列人40年在曠野漂流
[00:01:33.000 --> 00:01:38.000]  然後最後現在去到迦南的邊緣
[00:01:38.000 --> 00:01:40.000]  以色列人要進去
[00:01:40.000 --> 00:01:43.000]  等候了40年的應許之地
[00:01:43.000 --> 00:01:46.000]  但摩西知道他不能進去
[00:01:46.000 --> 00:01:49.000]  老人家在這個最後的機會
[00:01:49.000 --> 00:01:52.000]  要跟這些以色列人說什麼話
[00:01:52.000 --> 00:01:56.000]  我覺得這肯定是他一生裏最重要的話
[00:01:56.000 --> 00:01:59.000]  記載在生命記
[00:01:59.000 --> 00:02:05.000]  其實生命記記載了摩西三篇遺言
[00:02:05.000 --> 00:02:08.000]  如果你留意的時候
[00:02:08.000 --> 00:02:11.000]  第一篇遺言是第一章到第四章
[00:02:11.000 --> 00:02:14.000]  差不多是最後的時候
[00:02:14.000 --> 00:02:16.000]  這是第一篇遺言
[00:02:16.000 --> 00:02:18.000]  第二篇遺言是第四章到最後
[00:02:18.000 --> 00:02:21.000]  一直到第十一章
[00:02:21.000 --> 00:02:27.000]  第三篇遺言是29章到30章
[00:02:27.000 --> 00:02:30.000]  這三個遺言都是摩西拿他的心
[00:02:30.000 --> 00:02:34.000]  代表神對以色列人所說的話
[00:02:34.000 --> 00:02:36.000]  因為摩西沒辦法再陪他們去
[00:02:36.000 --> 00:02:41.000]  他們面對的挑戰比以往任何時間更大
[00:02:41.000 --> 00:02:43.000]  這是什麼挑戰
[00:02:43.000 --> 00:02:45.000]  當然進到迦南大家都知道
[00:02:45.000 --> 00:02:50.000]  迦南的文化和外邦人遠比以色列人強
[00:02:50.000 --> 00:02:53.000]  進去就注定被人欺負
[00:02:53.000 --> 00:02:55.000]  但摩西更加關心的是
[00:02:55.000 --> 00:02:59.000]  他們的信仰會變成怎樣
[00:02:59.000 --> 00:03:02.000]  我看這些遺囑的時候
[00:03:02.000 --> 00:03:04.000]  尤其是看第一篇到最後
[00:03:04.000 --> 00:03:06.000]  我心裏變得很受感動
[00:03:06.000 --> 00:03:08.000]  我想今晚就拿出來
