
[00:00:00.000 --> 00:00:04.640]  我们低头祈祷
[00:00:04.640 --> 00:00:08.360]  最后感谢祢给我们有机会来到赞美祢
[00:00:08.360 --> 00:00:10.120]  敬爱祢
[00:00:10.120 --> 00:00:13.480]  最后在这个时候求祢安静我们的心
[00:00:13.480 --> 00:00:15.720]  对我们每一个人讲说话
[00:00:15.720 --> 00:00:18.840]  我们祈祷弘主耶稣基督明求 阿们
[00:00:18.840 --> 00:00:20.520]  如果大家有圣经的
[00:00:20.520 --> 00:00:24.560]  我想你开圣经读诗篇133篇
[00:00:24.560 --> 00:00:25.760]  因为很短的
[00:00:25.760 --> 00:00:30.880]  我想我们整首诗读几节
[00:00:30.880 --> 00:00:37.080]  诗篇133
[00:00:37.080 --> 00:00:38.400]  我们一起读
[00:00:38.400 --> 00:00:40.080]  一二三
[00:00:40.080 --> 00:01:04.560]  (中文诗诗)
[00:01:04.560 --> 00:01:06.560]  大家不知道一个作者
[00:01:06.560 --> 00:01:08.080]  他的名字叫Mark Point
[00:01:08.080 --> 00:01:10.520]  是英文世界的作者
[00:01:10.520 --> 00:01:12.920]  他写的挺风趣的
[00:01:12.920 --> 00:01:16.760]  他有一次Mark就说
[00:01:16.760 --> 00:01:18.760]  究竟可不可以
[00:01:18.760 --> 00:01:22.360]  将一只猫和一只狗放在一起呢?
[00:01:22.360 --> 00:01:25.640]  我们中国人常说猫和狗
[00:01:25.640 --> 00:01:29.160]  他就猫和狗放在一只龙里面
[00:01:29.160 --> 00:01:29.840]  多大一只龙
[00:01:29.840 --> 00:01:31.360]  放了一只猫和狗
[00:01:31.360 --> 00:01:34.800]  看看究竟可不可以相处
[00:01:34.800 --> 00:01:38.320]  原来可以的
[00:01:38.320 --> 00:01:39.920]  那只猫找到一个地方
[00:01:39.920 --> 00:01:41.240]  那只狗找到一个地方
[00:01:41.240 --> 00:01:43.800]  总之你有你的地方
[00:01:43.800 --> 00:01:44.560]  我有我的地方
[00:01:44.560 --> 00:01:46.680]  就可以了
[00:01:46.680 --> 00:01:49.600]  然后他就想
[00:01:49.600 --> 00:01:51.480]  不如我们加多几样东西
[00:01:51.480 --> 00:01:52.680]  看可不可以
[00:01:52.680 --> 00:01:55.160]  一只小鳕
[00:01:55.160 --> 00:01:56.240]  一只猪
[00:01:56.240 --> 00:01:57.480]  一只羊
[00:01:57.480 --> 00:01:59.120]  加上那只猫和狗
[00:01:59.120 --> 00:01:59.960]  在一个大龙里面
[00:01:59.960 --> 00:02:01.120]  可不可以呢?
[00:02:01.120 --> 00:02:02.960]  他真的就做了一只大龙
[00:02:02.960 --> 00:02:04.960]  加上一只小鳕
[00:02:04.960 --> 00:02:09.480]  一只猪和一只羊在那里
[00:02:09.480 --> 00:02:10.640]  大家都知道的
[00:02:10.640 --> 00:02:12.720]  原来都可以的
[00:02:12.720 --> 00:02:14.360]  训练了一段时间之后
[00:02:14.360 --> 00:02:15.800]  大家找到自己的位置
[00:02:15.800 --> 00:02:17.920]  然后就很安定地
[00:02:17.920 --> 00:02:21.320]  在自己的位置生活
[00:02:21.320 --> 00:02:23.600]  当我们这么说的时候
[00:02:23.600 --> 00:02:24.760]  我们可能都觉得
[00:02:24.760 --> 00:02:27.440]  这不应该这么说的
[00:02:27.440 --> 00:02:31.800]  人类和动物当然不同
[00:02:31.800 --> 00:02:33.320]  人类是不同的
