
[00:00:00.000 --> 00:00:07.640]  今天就和大家去思想一段經文
[00:00:07.640 --> 00:00:10.080]  走過生命的低谷
[00:00:10.080 --> 00:00:12.920]  今天我沒有講母親節
[00:00:12.920 --> 00:00:16.880]  因為我過去已經講了很多次了
[00:00:16.880 --> 00:00:19.000]  所以今天講一個新的題目
[00:00:19.000 --> 00:00:21.160]  首先我們讀一段經文
[00:00:21.160 --> 00:00:22.760]  路加福音24章
[00:00:22.760 --> 00:00:24.600]  這個是和本來的
[00:00:24.600 --> 00:00:27.120]  我們就讀這個吧
[00:00:27.120 --> 00:00:31.120]  如果你有聖經就打開修定伴
[00:00:31.120 --> 00:00:34.960]  我們一起讀24章13到24節
[00:00:34.960 --> 00:00:35.760]  是分兩段的
[00:00:35.760 --> 00:00:38.560]  我們先讀第一段到24節
[00:00:38.560 --> 00:00:39.840]  「正當那日
[00:00:39.840 --> 00:00:43.920]  門徒中有兩個人往一個村子去
[00:00:43.920 --> 00:00:47.080]  這村子名叫以馬五師
[00:00:47.080 --> 00:00:50.200]  離耶路撒冷約有二十五里
[00:00:50.200 --> 00:00:54.120]  他們彼此談論所遇見的這一切事
[00:00:54.120 --> 00:00:56.400]  正談論相聞的時候
[00:00:56.400 --> 00:01:00.560]  耶穌親自就近他們和他們同行
[00:01:00.560 --> 00:01:03.040]  只是他們的眼睛迷糊了
[00:01:03.040 --> 00:01:04.520]  不認識他
[00:01:04.520 --> 00:01:06.160]  耶穌對他們說
[00:01:06.160 --> 00:01:10.000]  你們走路彼此談論的是什麼事呢?
[00:01:10.000 --> 00:01:11.600]  他們就站著
[00:01:11.600 --> 00:01:13.800]  面上戴著袖帽
[00:01:13.800 --> 00:01:18.200]  二人中有一個名叫格留巴的回答說
[00:01:18.200 --> 00:01:19.880]  你在耶路撒冷的那一刻
[00:01:19.880 --> 00:01:23.920]  還不知道這幾天在哪裡所出的什麼事呢?
[00:01:23.920 --> 00:01:26.240]  耶穌說什麼事呢?
[00:01:26.240 --> 00:01:27.280]  他們說
[00:01:27.280 --> 00:01:29.720]  就算拿撒勒人耶穌的事
[00:01:29.720 --> 00:01:31.280]  也是個善知
[00:01:31.280 --> 00:01:33.520]  在神和眾百姓面前
[00:01:33.520 --> 00:01:36.120]  說話行事都有大能
[00:01:36.120 --> 00:01:38.320]  祭司掌握我們的官府
[00:01:38.320 --> 00:01:41.000]  竟把他解去定了死罪
[00:01:41.000 --> 00:01:43.200]  釘在十字架上
[00:01:43.200 --> 00:01:47.040]  但我們素來所盼望要屬以色列民的
[00:01:47.040 --> 00:01:48.320]  就是他
[00:01:48.320 --> 00:01:49.760]  不但如此
[00:01:49.760 --> 00:01:51.760]  而且這事情就
[00:01:51.760 --> 00:01:54.040]  現在已經三天了
[00:01:54.040 --> 00:01:58.560]  再者我們中間有幾個婦女使我們驚奇
[00:01:58.560 --> 00:02:01.400]  她們清早過了墳墓那裡
[00:02:01.400 --> 00:02:03.160]  不見她的身體
[00:02:03.160 --> 00:02:05.520]  就回來告訴我們說
[00:02:05.520 --> 00:02:07.480]  看見了天使顯現
[00:02:07.480 --> 00:02:09.280]  恕她復活了
[00:02:09.280 --> 00:02:13.480]  又有我們的幾個人往墳墓那裡去
[00:02:13.480 --> 00:02:17.000]  所遇見的正如婦女們所說的
[00:02:17.000 --> 00:02:20.080]  此時沒有看見她
[00:02:20.080 --> 00:02:23.840]  這經文是《路加福音》所記載
[00:02:23.840 --> 00:02:27.720]  獨有的《路加福音》
[00:02:27.720 --> 00:02:31.520]  是耶穌復活那一天所發生的事情
[00:02:31.520 --> 00:02:34.280]  有兩個很絕望
[00:02:34.280 --> 00:02:35.800]  很難過
[00:02:35.800 --> 00:02:39.120]  百思不得其解的悶徒
[00:02:39.120 --> 00:02:41.600]  因為他們遇到一件
[00:02:41.600 --> 00:02:44.240]  難以明白的異人受害
[00:02:44.240 --> 00:02:48.880]  他們所追隨的耶穌在三天前被殺
[00:02:48.880 --> 00:02:50.560]  所以他們很難過
[00:02:50.560 --> 00:02:53.200]  這裡說他們帶著愁容
