
[00:00:00.000 --> 00:00:09.360]  第二個特色的表現就是知識之外的力量
[00:00:09.360 --> 00:00:23.840]  潛意識有時出來產生的力量是用物理不能解釋甚至超過物理學所能解釋的範圍
[00:00:23.840 --> 00:00:32.560]  所以力量和知識指向潛意識人的潛意識中的接觸點
[00:00:32.560 --> 00:00:38.880]  而接觸點的來源並不是自己而是自己以外的超然領域
[00:00:38.880 --> 00:01:00.080]  順便提醒大家,如果沒有留意的話,如果留意聖經神學或神學中,聖靈的工作最重要的兩點,聖經中有兩點要講
[00:01:00.080 --> 00:01:15.840]  第一是智慧,因為聖經中有幾處地方是講聖靈的,例如約翰福音的耶穌臨別時對門徒說的那句話
[00:01:15.840 --> 00:01:25.600]  然後我猜派聖靈來,他就是你們的保衛師,他會帶領你們進入真理,有些事你們還不知道,但聖靈會告訴你
[00:01:25.600 --> 00:01:40.000]  這是講到聖靈的職份,工作就是他的知識,在你人生走的路上,走到一個地方,你不知道該怎麼去,你不知道該向左還是向右
[00:01:40.000 --> 00:01:54.480]  聖靈在你裡面提醒你,告訴你該怎麼做,這是聖靈第一個重要的工作,因為聖靈能夠預知萬事,看透萬事,所以在我們心裡指引我們
[00:01:54.480 --> 00:02:06.960]  一種超然的智慧,第二,另外一大堆聖經是聖靈講得最多的,就是保羅在羅馬書第八章說到的
[00:02:06.960 --> 00:02:23.960]  就是聖靈的力量,如何靠著聖靈治死身體的惡行,然後聖靈托著我們在這個盼望困難的日子裡,使我們仍然肯定我們不會遇到愛革
[00:02:23.960 --> 00:02:39.960]  聖靈是一個與肉體的力量對抗抗衡,並且能夠勝過肉體,所以這裡講到聖靈的另一個很重要的特質就是他有一個力量,有智慧有力量
[00:02:39.960 --> 00:02:58.960]  而這兩樣東西正正就是我們說第四項潛意識裡面的知識和能力這兩方面,我們剛才說這兩樣東西不一定是來自聖靈的,我們接著看下去可能是來自撒旦和邪靈也不出奇
[00:02:58.960 --> 00:03:13.960]  也可能是來自一些我們還不明白的領域,我們不知道,因為這個範圍到現在來說,那個研究還是有很多不肯定的地方
[00:03:13.960 --> 00:03:32.960]  但是我想稍微提一下,其實剛剛跟聖經裡面所說到聖靈的這兩方面是配合的,所以我們可以很清楚,這個潛意識的作用在這個具體的第四方面的作用裡面,肯定聖靈有他一定的作用
[00:03:32.960 --> 00:03:51.960]  聖靈在潛意識裡面一定有他的作用,雖然潛意識的知識和能力的超然作用不一定是完全來自聖靈,絕對不一定是完全來自聖靈,但是肯定聖靈是一個很重要的部分,對於某些人來說,特別是基督徒當然就是
[00:03:51.960 --> 00:04:08.960]  我們上一次就已經提到關於知識智慧,是透過一些藝術的靈感,夢,給我們一種超然的啟迪
[00:04:08.960 --> 00:04:30.960]  夢我們上一次剛剛講了,聖經裡面提過神會透過夢來對我們說一些我們不知道而他想對我們說的話,但是這句話有兩重意思,第一種就是直接的,就像達爾利書那種
[00:04:30.960 --> 00:04:52.960]  在達爾利書裡面夢到什麼什麼,或者是約瑟所發的夢,是神直接透過他的夢來讓他知道一些將來要發生的事情,譬如他所有的兄長要向他下拜,這是一個預言式的夢,尤其是預言式的夢
[00:04:52.960 --> 00:05:16.960]  有沒有這樣的可能性呢?有這樣的可能性,特別是在約爾書裡面講到,在耶和華的日子,將來的日子末世的時候,少年人要見異象,老年人要發異夢,我相信這個預言可能還會有應驗的
[00:05:16.960 --> 00:05:41.960]  不過我上一堂也提過,不是表示所有夢都是神對我們說話,那就是走火入魔,舉例子,比如Kelsey是專門講夢和神的接觸,她自己也承認在她自己分析過去三萬多個夢裡面,
[00:05:41.960 --> 00:06:08.960]  不超過二十個,肯定是神給她一些超然的啟示,這個很危險的,千萬不要來,因為你知道世界上有很多異端都是神在夢裡面對她有啟示,最大的當然就是無海默德的回教,然後就是摩門教,
[00:06:08.960 --> 00:06:27.960]  所以你千萬要小心,千萬不要說我昨晚做夢,今天做教主,那你死定了,你不用問我了,寫紙也不用寫,我肯定說不是的,另外一件事我覺得神更多會用的是什麼呢?
[00:06:27.960 --> 00:06:53.960]  大家聽不聽得明白?更多會用的就是神用我們的夢,祂給我們一些獨特的夢,而那個夢本身不是直接要預言一些什麼世界發生的大事,或者香港的前途,九七之後會變成怎樣,不是,而是祂透過我們的夢,祂推動我們的夢,而這個夢不是自然地來自我們的潛意識這麼簡單,
[00:06:53.960 --> 00:07:06.960]  而是透過潛意識在我們腦裡出現這些夢,而這些夢特別向我們提醒或者顯示我們內心世界裡面某一些東西,你明白我的意思嗎?
[00:07:06.960 --> 00:07:35.960]  以致我們去研究或者去留心分析這些夢的時候,是我們可以透過這些夢對自己的內心世界不為意,或者是沒有發現的內心世界裡面有多一些新的發現,而神就希望透過這些新的發現提醒我們一些熟悉的方向和要謹慎的地方,
[00:07:35.960 --> 00:07:45.960]  大家明白我的意思嗎?所以這個都是超然的,就是說夢可以不是超然,但是夢也可以是超然在聖靈的手裡面,你聽不聽得明白?
[00:07:45.960 --> 00:08:08.960]  就是說它是超然,但它不是超然的啟示,而是神透過祂自己特意給我們一些夢來提醒我們關於我們內心世界的真相,然後透過這個真相我們在神面前有一個嶄新的發現和警醒,聽得明白嗎?
[00:08:08.960 --> 00:08:34.960]  很複雜的,不過我相信神特別會這樣做,但不是每一個夢都是這樣,我剛才說過,我希望我很平衡,我自己時時記錄我的夢去想一下,我不至於像一些人太瘋狂,所有夢都很有意思,有時候我發覺夢沒什麼意思,
[00:08:34.960 --> 00:08:52.960]  我儘管寫下來,有些心理學家每天早上第一件事就像靈修,坐下來寫他的夢,自己看自己,這是一個很好的安靜的自我反省的時間,我沒有他做得那麼好,有時候我的夢就不記得了,
[00:08:52.960 --> 00:09:18.960]  夢越早寫越記得多,你說醒了之後很累,刷牙洗臉之後才寫就不記得了,很有趣的,因為它在記憶中是退得很快的,一醒的時候就很清楚的,最好如果你是結婚的話,就跟旁邊的人說,說完你就記得,如果你不記得他都記得,
[00:09:18.960 --> 00:09:36.960]  所以有時候我起床就捉住太太說,我昨晚發了一個夢,很有趣的,其實我自己找了她來,只是操練一次,因為我又沒有錢買那麼好的錄音機,對著說就錄下了,我寫東西又慢,
[00:09:36.960 --> 00:10:03.960]  不過無論如何都很有趣的,你有空就看看自己的夢,但不是每個夢都有意思,好像我昨天也提過,在哈佛的研究裡面,可能有時候有些夢根本就是一些無意識的,偶然的腦電波的衝撞,然後你的腦夢察察的時候,要make sense,所以就製造一個故事,將它串起來,
[00:10:03.960 --> 00:10:21.960]  那就沒有什麼意思的,可能會是這樣,所以今天我們對這個夢來說也不是完全的了解,現在我們說說超然的能力那一面,超然的能力就是,其實我看筆記的時候,就發覺我漏了一樣東西,應該再加多一樣,
[00:10:21.960 --> 00:10:49.960]  就是有些人有一種,我們說在人神之陣,我提過aesthetic experience,有些人在他的經驗裡面有一種叫做渾然忘我的境界的經驗,就好像梁英成未信耶穌之前上到阿里山頂,你聽他的見證,他突然間感覺到他看日出的時候,那一剎那感覺到他和天地好像渾然為一的,
[00:10:49.960 --> 00:11:11.960]  這個我相信他不是誇張,這個是有的,有些世界上有些其他人都記載過他有這樣的經驗,在Floyd在弗朗伊德的作品裡面,他說這些他可以稱為oceanic experience,就好像你突然沉進大海裡面,一滴水掉進大海裡面,再分不出你和大海的感覺,
[00:11:11.960 --> 00:11:35.960]  有些人在文學或者藝術的創作裡面有這樣的經驗,我們在基督教裡面當然有這樣的經驗,我們叫做與神聯合的經驗,在歷史裡面最典型的當然就是好像韓德爾寫尼塞亞清唱劇的時候,
[00:11:35.960 --> 00:12:02.960]  他整整一個月在房間裡面,其實他不是他寫這個音樂,而是他受這個音樂不斷的感動他,他寫到自己哭的,那種感覺他都不記得他在哪裡,那種就是說一個人他自己已經到了一個狀態,他是超然地感受到一種力量灌注下來,那種力量不是他的力量,而他和這種力量是合而為一的力量,
[00:12:02.960 --> 00:12:26.960]  那時候這種感覺很多時候我們通常一般比較普遍的叫法就是Aesthetic Experience,或者叫做Unitive Experience,就是一個混然為一的,和一個更大更超然的對象完全契合的經驗,
[00:12:26.960 --> 00:12:55.960]  那這種經驗我們都會有,我們有時候在聖靈充滿,我們說是聖靈囂觀,有時候我們一路突然間有些祈禱的時間,我們整個人不知道自己在哪裡,到一個地步我們的生命好像和聖靈完全被神抓住了,我們完全在一種被動的狀態裡面,我們哭,哭完之後我們感覺到一種很平安的感覺,
[00:12:55.960 --> 00:13:13.960]  那種平安度我們說不出的,很明顯這種就是一種力量灌注我們的生命,這種力量不是來自我們的經驗,甚至不是來自我們潛意識的發揮,而是somewhere beyond,一些東西灌注進來的。
[00:13:13.960 --> 00:13:40.960]  另外這裡我也提到,有些人提到這個所謂心靈相通,或者預感,這件事很多記載都會有的,所謂第六感覺,或者預感,或者我和兩個人的心靈相通,突然間,我們很好的朋友,或者很多時候很有趣的,發生在一些媽兄弟媽姐妹那裡,
[00:13:40.960 --> 00:13:55.960]  一個在美國,一個在香港,突然間有一種感覺,有一種預感,半夜驚醒,不知道發生什麼事,打電話過去,真的有事,那種不知道為什麼,這個就是物理學解釋不了的,
[00:13:55.960 --> 00:14:20.960]  表示我們人的心靈的內在裡面,意識層下面,有些東西是可以越過我們這個軀體,去到另外一些軀體那裡,都未定的,這個可以這樣看法,當然聖經裡面有沒有呢?當然有,聖經裡面講到有預言,預言就是表示你的心靈可以知道一些還沒發生的事情,聖經裡面有預言。
[00:14:20.960 --> 00:14:45.960]  如果你是靈因運動的,第三波的,他們都很強調智慧的言語,我就看到有人脊骨不舒服,如果是真的話,表示他有一種直覺的感覺,直覺很明顯不是來自意識,
