
[00:00:00.000 --> 00:00:06.000]  早晨各位弟兄姊妹,好久不見
[00:00:06.000 --> 00:00:11.000]  見到好多新舊的朋友,非常感恩
[00:00:11.000 --> 00:00:16.000]  我是好久之前選擇了其中一個主日
[00:00:16.000 --> 00:00:19.000]  來這裡和大家分享主的話語的
[00:00:19.000 --> 00:00:24.000]  但沒想到竟然碰到這麼特別的日子
[00:00:24.000 --> 00:00:32.000]  所以我盡量用一個特別的表達來分享今天的訊息
[00:00:32.000 --> 00:00:36.000]  我想其中一個重要的訊息就是
[00:00:36.000 --> 00:00:39.000]  到底在這個唐慶的日子
[00:00:39.000 --> 00:00:43.000]  我們這個群體需要的是什麼訊息
[00:00:43.000 --> 00:00:46.000]  我對這個群體都不算不熟悉
[00:00:46.000 --> 00:00:52.000]  但是要很熟悉的人說什麼話才是恰當呢
[00:00:52.000 --> 00:00:57.000]  115年了,恩典是久的,是多的
[00:00:57.000 --> 00:01:02.000]  主仍然憐憫我們,使我們能夠回望過去
[00:01:02.000 --> 00:01:06.000]  亦能夠享受今天的恩典
[00:01:06.000 --> 00:01:14.000]  更加能夠在明天繼續靠著恩典來成長,來討主
[00:01:14.000 --> 00:01:20.000]  譬如剛才的經文,其實我是14至18這幾節
[00:01:20.000 --> 00:01:27.000]  講到主耶穌基督是充滿恩典和真理
[00:01:27.000 --> 00:01:29.000]  恩上加恩
[00:01:29.000 --> 00:01:34.000]  我只受著恩典和真理這兩個詞來吸引著
[00:01:34.000 --> 00:01:42.000]  認為我們這個群體,在115年仍然健在
[00:01:42.000 --> 00:01:47.000]  而且前路應該更加燦爛的群體
[00:01:47.000 --> 00:01:52.000]  我們所需要的莫過於相逆齊非
[00:01:52.000 --> 00:02:00.000]  同心是逢,彼此謙卑,彼此接納,彼此寬恕,彼此扶持
[00:02:00.000 --> 00:02:02.000]  以致我們能夠有彼此
[00:02:02.000 --> 00:02:09.000]  如果有你無我,如果有新無舊,有舊無新
[00:02:09.000 --> 00:02:14.000]  如果我們抱殘守缺,如果我們拒絕更新改變
[00:02:14.000 --> 00:02:19.000]  如果我們忽略了其中一點,恩典和真理
[00:02:19.000 --> 00:02:23.000]  不在我們當中均衡並存的話
[00:02:23.000 --> 00:02:26.000]  我們的前景,我們的今天
[00:02:26.000 --> 00:02:35.000]  實在只會徒然的恢復了愛我們主,愛我們神
[00:02:35.000 --> 00:02:37.000]  恩典和真理
[00:02:37.000 --> 00:02:42.000]  恩典使我們得生,真理使我們能夠活下去
[00:02:42.000 --> 00:02:46.000]  如果沒有恩典,你和我都沒有資格坐在這裡
[00:02:46.000 --> 00:02:49.000]  沒有資格進入神的家裡
[00:02:49.000 --> 00:02:51.000]  但我們說我們自己進入了神的家裡
[00:02:51.000 --> 00:02:54.000]  為什麼我們依然顧我?
[00:02:54.000 --> 00:02:58.000]  為什麼我們時常都繼續行錯?
[00:02:58.000 --> 00:03:02.000]  我懷疑我們在這兩方面沒有認真的
[00:03:02.000 --> 00:03:04.000]  專注耶穌基督為大
[00:03:04.000 --> 00:03:09.000]  施洗日向懂得將耶穌基督擺在最高的位置
[00:03:09.000 --> 00:03:15.000]  祂能夠將神獨生子的榮光照亮在世人面前
[00:03:15.000 --> 00:03:19.000]  祂能夠叫我們來敬拜這位主
[00:03:19.000 --> 00:03:21.000]  我們今天又如何呢?
[00:03:21.000 --> 00:03:24.000]  在我第一篇的信息差不多說完了
[00:03:24.000 --> 00:03:28.000]  就是恩典和真理要成為這個群體
[00:03:28.000 --> 00:03:31.000]  在信仰上兼顧的
[00:03:31.000 --> 00:03:34.000]  在自會組織上
[00:03:34.000 --> 00:03:36.000]  你明白我說什麼了
[00:03:36.000 --> 00:03:40.000]  都是要兩樣一起能夠認真的結合
[00:03:40.000 --> 00:03:42.000]  認真的配合
[00:03:42.000 --> 00:03:44.000]  各施其職,彼此尊重
[00:03:44.000 --> 00:03:47.000]  彼此來建立
[00:03:47.000 --> 00:03:52.000]  然後在我們個人生活方面有均衡的發展
[00:03:52.000 --> 00:03:57.000]  今天,我另外一篇的信息
[00:03:57.000 --> 00:04:01.000]  就是簡直能夠上頭次的示範到這個
[00:04:01.000 --> 00:04:04.000]  我希望期待我們自己做出我們的
[00:04:04.000 --> 00:04:06.000]  從潑水到發聲
[00:04:06.000 --> 00:04:11.000]  請教一下
[00:04:11.000 --> 00:04:14.000]  我們沒理由不敢潑水,是嗎?
[00:04:14.000 --> 00:04:16.000]  我們潑水就是貴庸人的能力
[00:04:16.000 --> 00:04:18.000]  不是的
[00:04:18.000 --> 00:04:20.000]  潑水是貴庸人的上帝
