
[00:00:00.000 --> 00:00:07.000]  祝福你們,我們會在這裡祈禱
[00:00:07.000 --> 00:00:15.000]  主教主教,謝謝你,因為雖然有疫情,但是我們也有機會來敬拜你
[00:00:15.000 --> 00:00:20.000]  用詩歌讚美你,也有機會去思想你的華語
[00:00:20.000 --> 00:00:24.000]  主教主教,求你安靜我們的心,對我們每一個人說話
[00:00:24.000 --> 00:00:28.000]  我們這樣祈禱,奉祝日宿幾六名求,阿們
[00:00:28.000 --> 00:00:37.000]  大家都知道快聖誕了,聖誕是一個喜樂,平安的時期
[00:00:37.000 --> 00:00:40.000]  joy and peace
[00:00:40.000 --> 00:00:46.000]  甚至天使報信,主耶穌基督誕生的刻也是這樣說的
[00:00:46.000 --> 00:00:54.000]  在至高之處,榮耀歸與神,在地上平安歸與他所喜悅的人
[00:00:54.000 --> 00:00:59.000]  但是這個聖誕不是很平安
[00:00:59.000 --> 00:01:06.000]  希伯來文字沙龍,實在不只是平安那麼簡單
[00:01:06.000 --> 00:01:15.000]  有疫情,有很多東西使我們很困惑
[00:01:15.000 --> 00:01:21.000]  好了,今天早上不如我們把我們的眼睛,不要只看我們現在四處的問題
[00:01:21.000 --> 00:01:26.000]  把我們的眼睛仰望我們的主
[00:01:26.000 --> 00:01:30.000]  看看這個經文說什麼關於耶穌
[00:01:30.000 --> 00:01:37.000]  這裡第一樣東西,當然我想注意的是和平的君
[00:01:37.000 --> 00:01:40.000]  或者和平之君那句說話
[00:01:40.000 --> 00:01:45.000]  實在那句說話,原本會不會都是說一個人的呢?
[00:01:45.000 --> 00:01:51.000]  如果是說一個人的,當時在二塞亞的時候
[00:01:51.000 --> 00:01:54.000]  如果這個經文出現,究竟是說誰呢?
[00:01:54.000 --> 00:02:00.000]  很多學者說如果是說一個人的,就應該是在預言希西伽
[00:02:00.000 --> 00:02:06.000]  為什麼?因為皇帝才可以叫做和平的君
[00:02:06.000 --> 00:02:14.000]  甚至其他的好像用神的稱呼來稱呼那個人
[00:02:14.000 --> 00:02:17.000]  在古代中我們知道都會有這些術語的
[00:02:17.000 --> 00:02:23.000]  用神這個名字來稱呼那些皇帝
[00:02:23.000 --> 00:02:30.000]  所以有些人覺得神的宗旨,實際上是在說皇帝那些東西
[00:02:30.000 --> 00:02:33.000]  這個是不是我們不知道,不過如果是的話
[00:02:33.000 --> 00:02:38.000]  我們又真的可以把它放在當時的歷史
[00:02:38.000 --> 00:02:41.000]  大家想一下,為什麼和平的君呢?
[00:02:41.000 --> 00:02:46.000]  因為大多數人在當時的社會,在古代中東裏面
[00:02:46.000 --> 00:02:51.000]  以色列在古代中東裏面是有很多戰爭的
[00:02:51.000 --> 00:02:55.000]  實際上那些人是很懼怕,懼怕戰爭
[00:02:55.000 --> 00:02:58.000]  懼怕戰爭帶來的痛苦、苦難
[00:02:58.000 --> 00:03:02.000]  他們想要的是什麼?按據樂業
[00:03:02.000 --> 00:03:06.000]  和平過日子
[00:03:06.000 --> 00:03:10.000]  這個不奇怪的,因為以色列那個地域
[00:03:10.000 --> 00:03:17.000]  剛巧在古代中東裏是一個很優越的地帶
[00:03:17.000 --> 00:03:22.000]  它是橫跨,總之誰在埃及要上到北面
[00:03:22.000 --> 00:03:26.000]  或者北面那些國家要去南面做生意
[00:03:26.000 --> 00:03:28.000]  就會經過以色列的
[00:03:28.000 --> 00:03:33.000]  就因此帶來很多問題
[00:03:33.000 --> 00:03:37.000]  為什麼呢?因為每個地是必爭之地
[00:03:37.000 --> 00:03:45.000]  巴比倫、阿術、埃及三大國家去古代中東
[00:03:45.000 --> 00:03:49.000]  都想要爭取這塊地
[00:03:49.000 --> 00:03:55.000]  就是因此,所以產生了在這塊地上無數的戰爭
[00:03:55.000 --> 00:03:58.000]  在大衛的時候和所羅門的時候
[00:03:58.000 --> 00:04:01.000]  就有和平的日子過
[00:04:01.000 --> 00:04:05.000]  再後期一點,就是今天我們說的
[00:04:05.000 --> 00:04:08.000]  如果是希西加,希西加的時候
[00:04:08.000 --> 00:04:11.000]  還有一個皇帝叫約西亞的時期
[00:04:11.000 --> 00:04:15.000]  都有和平的日子可以過
[00:04:15.000 --> 00:04:19.000]  所以大家很明白為什麼那些人很渴望
[00:04:19.000 --> 00:04:22.000]  那些渴望是很簡單的東西
[00:04:22.000 --> 00:04:27.000]  那些大國在爭拗很多這樣的戰爭
[00:04:27.000 --> 00:04:30.000]  但是一個小市民想要什麼呢?
