
[00:00:00.000 --> 00:00:04.000]  今天我們思想的題目叫做「不好意思」
[00:00:04.000 --> 00:00:07.000]  不好意思
[00:00:07.000 --> 00:00:10.000]  請我們同心低頭 我們同祈禱
[00:00:10.000 --> 00:00:12.000]  天父我們再一次感謝你
[00:00:12.000 --> 00:00:15.000]  給我們有寶貴的話語作為我們生命的指引
[00:00:15.000 --> 00:00:19.000]  求你藉著你的話語去提醒、勸勉、教導、安慰、獨佔我們
[00:00:19.000 --> 00:00:21.000]  讓我們的生命有改變
[00:00:21.000 --> 00:00:23.000]  祈禱奉耶穌名求 阿們
[00:00:23.000 --> 00:00:26.000]  我相信不好意思這句話
[00:00:26.000 --> 00:00:30.000]  我們每天幾乎天天都有說
[00:00:30.000 --> 00:00:34.000]  我想起2001年 當時是9月
[00:00:34.000 --> 00:00:38.000]  太太經常覺得自己的胃不是很舒服
[00:00:38.000 --> 00:00:42.000]  所以為了小心起見就找了個醫生
[00:00:42.000 --> 00:00:46.000]  醫生就叫我們進醫院檢查腸胃
[00:00:46.000 --> 00:00:48.000]  看看有沒有問題
[00:00:48.000 --> 00:00:52.000]  報告結果一切都是正常
[00:00:52.000 --> 00:00:55.000]  醫生就跟太太說
[00:00:55.000 --> 00:00:58.000]  很可能因為你工作壓力很大
[00:00:58.000 --> 00:01:02.000]  所以因為壓力大就弄得胃不舒服
[00:01:02.000 --> 00:01:04.000]  我太太是做這行的
[00:01:04.000 --> 00:01:07.000]  她說我知道我的壓力不是很大
[00:01:07.000 --> 00:01:10.000]  總覺得身體有點不妥
[00:01:10.000 --> 00:01:14.000]  就過去醫生笑笑 試試吃藥
[00:01:14.000 --> 00:01:16.000]  吃了藥都沒什麼效
[00:01:16.000 --> 00:01:19.000]  我記得那天是星期一
[00:01:19.000 --> 00:01:22.000]  她通常都是去游泳
[00:01:22.000 --> 00:01:28.000]  游完泳之後就發覺有些喘氣 氣促的現象
[00:01:28.000 --> 00:01:31.000]  我還記得那天晚上她真的很不舒服
[00:01:31.000 --> 00:01:36.000]  但剛剛我想了一下醫生才檢查一切正常
[00:01:36.000 --> 00:01:41.000]  心理盤算 為什麼還是這麼不舒服呢?
[00:01:41.000 --> 00:01:44.000]  我想一下氣促可能跟心臟有關係
[00:01:44.000 --> 00:01:48.000]  想打電話給我的朋友羅英瑞醫生
[00:01:48.000 --> 00:01:50.000]  羅醫生以前也是我們三藩市博導會
[00:01:50.000 --> 00:01:53.000]  在史丹佛做醫生 參加了教會
[00:01:53.000 --> 00:01:57.000]  後來回到香港做心臟科醫生
[00:01:57.000 --> 00:01:59.000]  問問他的意見
[00:01:59.000 --> 00:02:03.000]  我看時間差不多10點多 11點
[00:02:03.000 --> 00:02:07.000]  這麼晚打電話給人家 真是不好意思
[00:02:07.000 --> 00:02:10.000]  我心裏想一下 打電話不好意思
[00:02:10.000 --> 00:02:14.000]  人家可能睡了覺 不如改天再打吧
[00:02:14.000 --> 00:02:17.000]  見到太太又很不舒服
[00:02:17.000 --> 00:02:21.000]  覺得不可能因為不好意思不打電話
[00:02:21.000 --> 00:02:24.000]  一切都是以健康為主
[00:02:24.000 --> 00:02:28.000]  終於我打電話給羅醫生
[00:02:28.000 --> 00:02:31.000]  羅醫生很好人 說明天你馬上來看
[00:02:31.000 --> 00:02:35.000]  所以熬過了一整晚 第二天我打電話去看醫生
[00:02:35.000 --> 00:02:45.000]  一覺醒來就發現心包積水
[00:02:45.000 --> 00:02:49.000]  為什麼心包會積水呢
[00:02:49.000 --> 00:02:52.000]  有兩個可能性 可能有些人發炎
[00:02:52.000 --> 00:02:54.000]  另外可能更加嚴重
[00:02:54.000 --> 00:02:58.000]  所以叫我太太馬上進醫院做詳細檢查
[00:02:58.000 --> 00:03:02.000]  一查之下 嚇了一跳
[00:03:02.000 --> 00:03:05.000]  因為他先前看醫生只是照胃
[00:03:05.000 --> 00:03:07.000]  就是lower abdomen
[00:03:07.000 --> 00:03:10.000]  完全沒有理會upper abdomen 即是前面那裡
[00:03:10.000 --> 00:03:13.000]  羅醫生只是用一個X光照一照
[00:03:13.000 --> 00:03:16.000]  就發現有一個拳頭那麼大的瘤
[00:03:16.000 --> 00:03:22.000]  在心臟和肺中間
[00:03:22.000 --> 00:03:26.000]  馬上再去做檢查
[00:03:26.000 --> 00:03:31.000]  然後發現他患了cancer 是淋巴癌
[00:03:31.000 --> 00:03:36.000]  就馬上轉介我們香港大學的一個教授
[00:03:36.000 --> 00:03:39.000]  梁獻孫教授去醫
[00:03:39.000 --> 00:03:44.000]  第二個星期就馬上進行治療
[00:03:44.000 --> 00:03:48.000]  我想一想 不好意思這四個字
[00:03:48.000 --> 00:03:51.000]  是可以取我們的命
[00:03:51.000 --> 00:03:54.000]  很多時候是因為不好意思
[00:03:54.000 --> 00:03:57.000]  我們不想去煩人
[00:03:57.000 --> 00:04:02.000]  自己捱過 結果就有問題出現
[00:04:02.000 --> 00:04:05.000]  我記得很久之前我在這裡做牧師
[00:04:05.000 --> 00:04:09.000]  有一晚12點多接到一個電話
[00:04:09.000 --> 00:04:14.000]  這個電話就是現在三藩市宣道會
[00:04:14.000 --> 00:04:19.000]  招牧師的爸爸媽媽打電話來
[00:04:19.000 --> 00:04:22.000]  他告訴我 宋牧師不好意思
[00:04:22.000 --> 00:04:25.000]  這麼晚打電話給你
[00:04:25.000 --> 00:04:29.000]  又是不好意思 我實在很不舒服
[00:04:29.000 --> 00:04:31.000]  大便出血
[00:04:31.000 --> 00:04:33.000]  我說你不去看醫生
[00:04:33.000 --> 00:04:35.000]  他說這麼晚又不知道怎麼回事
[00:04:35.000 --> 00:04:37.000]  又沒有人載我
[00:04:37.000 --> 00:04:39.000]  不好意思打電話
[00:04:39.000 --> 00:04:46.000]  我馬上去他家接他去看醫生
[00:04:46.000 --> 00:04:51.000]  胃出血 及時醫治
[00:04:51.000 --> 00:04:54.000]  去年我去三藩市宣道會
[00:04:54.000 --> 00:04:57.000]  去港島 去那個下令會
[00:04:57.000 --> 00:05:01.000]  見到招牧師 他就告訴我這件事
[00:05:01.000 --> 00:05:06.000]  不好意思往往就是令到一個人
[00:05:06.000 --> 00:05:12.000]  不能夠及時的去喊救命
[00:05:12.000 --> 00:05:15.000]  我想想我們中國人是很奇怪的
[00:05:15.000 --> 00:05:19.000]  求人 問人是一件很困難的事
[00:05:19.000 --> 00:05:21.000]  尤其是男人
[00:05:21.000 --> 00:05:24.000]  有時候我迷失路 迷失了路
[00:05:24.000 --> 00:05:28.000]  尤其是開車 繞來繞去
[00:05:28.000 --> 00:05:30.000]  那時候還沒有手機
[00:05:30.000 --> 00:05:33.000]  我之前靠地圖
[00:05:33.000 --> 00:05:36.000]  地圖又細
[00:05:36.000 --> 00:05:39.000]  我眼睛又不好 要脫下眼鏡裝一下
[00:05:39.000 --> 00:05:41.000]  看也看不到
[00:05:41.000 --> 00:05:43.000]  為什麼你不去問人
[00:05:43.000 --> 00:05:45.000]  去機場問一下就行了
[00:05:45.000 --> 00:05:48.000]  總是不問 總是自己繞來繞去
[00:05:48.000 --> 00:05:52.000]  繞了很久 最後還是要問路
[00:05:52.000 --> 00:05:54.000]  我覺得自己很奇怪
[00:05:54.000 --> 00:05:56.000]  再去問就行了
[00:05:56.000 --> 00:05:58.000]  不好意思
[00:05:58.000 --> 00:06:00.000]  你想想游泳
[00:06:00.000 --> 00:06:06.000]  學會游泳沒多久就在浮台游回岸
[00:06:06.000 --> 00:06:10.000]  游到半路好像有一點抽筋的跡象
[00:06:10.000 --> 00:06:14.000]  我自己想想 喊救命嗎
[00:06:14.000 --> 00:06:16.000]  很醜的
[00:06:16.000 --> 00:06:18.000]  那麼多人游泳喊救命
[00:06:18.000 --> 00:06:20.000]  每個人走來的時候都看見
[00:06:20.000 --> 00:06:22.000]  哇 這個是蘇永睿
