
[00:00:00.000 --> 00:00:08.000]  我本來想叫今天的訊息是叫做海沙般的挑戰
[00:00:08.000 --> 00:00:14.000]  Betty的姐妹要大哥 所以打電話給我
[00:00:14.000 --> 00:00:20.000]  牧師 你這個題目是什麼意思 我才心想大件事
[00:00:20.000 --> 00:00:26.000]  原來我的題目一舊混 我自己看都是很多問題
[00:00:26.000 --> 00:00:33.000]  所以我今天又改變了我的題目 叫做完成征戰迦南
[00:00:33.000 --> 00:00:36.000]  我覺得這個題目比較貼切
[00:00:36.000 --> 00:00:40.000]  副標題是屬靈真戰的要領
[00:00:40.000 --> 00:00:45.000]  我們每個基督徒的身上都要打屬靈的真戰
[00:00:45.000 --> 00:00:51.000]  透過約書亞記 透過以色列人怎樣被迦南人攻擊
[00:00:51.000 --> 00:00:55.000]  我們能夠學習怎樣應對屬靈的真戰
[00:00:55.000 --> 00:00:58.000]  這個就是我們今天要學的
[00:00:58.000 --> 00:01:05.000]  約書亞記載了四場主要的真戰
[00:01:05.000 --> 00:01:12.000]  第一場就是在耶利哥城 第二場就是在艾城
[00:01:12.000 --> 00:01:19.000]  第三場就是在基片 第四場就是在夏娑
[00:01:19.000 --> 00:01:23.000]  就是我們今天要講的故事
[00:01:23.000 --> 00:01:28.000]  約書亞首先攻擊耶利哥城和艾城
[00:01:28.000 --> 00:01:32.000]  耶利哥城和艾城都在迦南地最中心的地方
[00:01:32.000 --> 00:01:36.000]  神教約書亞先攻擊中心的地方
[00:01:36.000 --> 00:01:40.000]  將敵人分開南邊和北邊
[00:01:40.000 --> 00:01:43.000]  他們不能聯手攻擊約書亞
[00:01:43.000 --> 00:01:48.000]  約書亞和以色列人就能夠逐一擊敗
[00:01:48.000 --> 00:01:52.000]  上一次第十章是講到南邊的戰爭
[00:01:52.000 --> 00:01:56.000]  耶路撒冷王亞多尼西德 記不記得
[00:01:56.000 --> 00:02:03.000]  就是他聚集南邊的諸王在對著基片的地方安營
[00:02:03.000 --> 00:02:08.000]  來攻打基片 最後和以色列人來真戰
