
[00:00:00.000 --> 00:00:05.600]  各位大英姐妹、各位朋友,你們好
[00:00:05.600 --> 00:00:08.320]  歡迎大家參加我們三藩市報道會
[00:00:08.320 --> 00:00:10.720]  網上的五堂崇拜
[00:00:10.720 --> 00:00:13.280]  我們繼續思想啟示錄的訊息
[00:00:13.280 --> 00:00:16.520]  今天我們來到啟示錄第十五章
[00:00:16.520 --> 00:00:20.000]  題目叫做「最後災難的序幕」
[00:00:20.000 --> 00:00:22.480]  開始的時候請我們同心低頭
[00:00:22.480 --> 00:00:23.760]  我們同禱告
[00:00:23.760 --> 00:00:26.480]  慈悲讓我們滿心感謝你
[00:00:26.480 --> 00:00:29.280]  讓我們有機會一起去研讀你的話語
[00:00:29.280 --> 00:00:33.240]  求你讓我們明白你的話語
[00:00:33.240 --> 00:00:35.560]  並且懂得如何將你的話語
[00:00:35.560 --> 00:00:38.120]  活用在我們人生中
[00:00:38.120 --> 00:00:39.560]  求你幫助我們
[00:00:39.560 --> 00:00:43.640]  用你的說話提醒、勸勉、教導、安慰、督責我們
[00:00:43.640 --> 00:00:44.920]  我們今天禱告
[00:00:44.920 --> 00:00:46.760]  那是奉耶穌基督的名求
[00:00:46.760 --> 00:00:47.640]  阿們
[00:00:47.640 --> 00:00:51.240]  在我們研讀啟示錄這本書的時候
[00:00:51.240 --> 00:00:54.360]  有三個特點值得我們留意
[00:00:54.360 --> 00:00:57.680]  第一,啟示錄的數目字
[00:00:57.680 --> 00:01:01.880]  第二,啟示錄所出現的所謂Interlude
[00:01:01.880 --> 00:01:05.960]  我們可以翻譯這個Interlude為小休
[00:01:05.960 --> 00:01:07.960]  或者是間段
[00:01:07.960 --> 00:01:10.360]  就好像我們聽音樂會的時候
[00:01:10.360 --> 00:01:12.360]  中間有一個小休的時間
[00:01:12.360 --> 00:01:14.000]  英文叫Interlude
[00:01:14.000 --> 00:01:18.200]  在啟示錄裡面有不少這些Interlude存在
[00:01:18.200 --> 00:01:19.960]  是值得我們留意的
[00:01:19.960 --> 00:01:22.360]  第三個就是序幕
[00:01:22.360 --> 00:01:26.560]  很多時候在大事之前才有序幕
[00:01:26.560 --> 00:01:31.680]  而這些序幕也能夠幫助我們明白啟示錄的訊息
