
[00:00:00.000 --> 00:00:03.000]  (教育)
[00:00:03.000 --> 00:00:04.500]  各位大姐妹早晨
[00:00:04.500 --> 00:00:08.300]  讓我們在這裡再預備一層我們的新心靈
[00:00:08.300 --> 00:00:10.300]  來聆聽主的說話
[00:00:10.300 --> 00:00:12.000]  低頭
[00:00:12.000 --> 00:00:13.500]  慈悲的天父多謝你
[00:00:13.500 --> 00:00:15.300]  讓我們能夠再次回來
[00:00:15.300 --> 00:00:18.000]  在你寶貴說話的面前學習
[00:00:18.000 --> 00:00:20.000]  讓我們能夠看到
[00:00:20.000 --> 00:00:22.500]  你獨生兒子耶穌基督在地上
[00:00:22.500 --> 00:00:25.000]  他如何教導我們
[00:00:25.000 --> 00:00:29.500]  每一個屬神你的子民應有的表現和樣式
[00:00:29.500 --> 00:00:33.000]  不要覺得是徒然
[00:00:33.000 --> 00:00:36.000]  覺得是理所當然
[00:00:36.000 --> 00:00:37.500]  因為很多時候
[00:00:37.500 --> 00:00:42.000]  其實在聖經裡面也同時賦予一些警戒
[00:00:42.000 --> 00:00:44.500]  是讓我們作為神你的子民
[00:00:44.500 --> 00:00:48.000]  是需要去小心地去掌握的事
[00:00:48.000 --> 00:00:49.500]  求你的幫助
[00:00:49.500 --> 00:00:52.500]  讓今天每一個無論是聽的、說的
[00:00:52.500 --> 00:00:56.500]  無論在線上的、線下的、實體崇拜的
[00:00:56.500 --> 00:00:59.500]  我們也祈求主你真的帶領我們
[00:00:59.500 --> 00:01:00.500]  我們同心的禱告
[00:01:00.500 --> 00:01:03.500]  奉靠主耶穌基督得勝的名字而靠
[00:01:03.500 --> 00:01:04.500]  阿們
[00:01:04.500 --> 00:01:10.500]  叫人認罪悔改其實是一件極不容易的事情
[00:01:10.500 --> 00:01:16.500]  而這一份上帝要我們去完成的工作
[00:01:16.500 --> 00:01:25.000]  可以說是一件非常不可為的事情
[00:01:25.000 --> 00:01:29.500]  但是上帝仍然要我們積極地參與
[00:01:29.500 --> 00:01:34.000]  所以當我們回到聖經裡面
[00:01:34.000 --> 00:01:40.500]  上帝和耶穌來去成就這個救恩的過程
[00:01:40.500 --> 00:01:46.000]  也讓我們看到祂面對重重的挑戰
[00:01:46.000 --> 00:01:48.000]  有些人就會問
[00:01:48.000 --> 00:01:50.500]  既然是這麼難的事情
[00:01:50.500 --> 00:01:54.500]  要人去認罪悔改信耶穌
[00:01:54.500 --> 00:01:58.500]  那上帝何必還要這樣做呢?
[00:01:58.500 --> 00:02:04.500]  為什麼要強人所難
[00:02:04.500 --> 00:02:07.500]  人根本不想回到上帝裡面
