
[00:00:00.000 --> 00:00:06.080]  好 那我們就繼續講愛
[00:00:06.080 --> 00:00:10.320]  今天就和大家分享一個比較少講的
[00:00:10.320 --> 00:00:12.320]  既然今年的題目是愛
[00:00:12.320 --> 00:00:16.640]  上次和你說愛惜自我 教會比較少講
[00:00:16.640 --> 00:00:22.000]  這次和大家講愛惜大自然或者愛惜這個自然世界
[00:00:22.000 --> 00:00:24.400]  教會都是比較少講的
[00:00:24.400 --> 00:00:28.080]  希望今天講到會幫助大家明白
[00:00:28.080 --> 00:00:30.960]  其實去愛惜這個自然世界
[00:00:30.960 --> 00:00:35.120]  都是基督徒靈命生活需要的一部分
[00:00:35.120 --> 00:00:37.120]  不可缺少的一部分
[00:00:37.120 --> 00:00:39.440]  我們開始的時候讀一讀經文
[00:00:39.440 --> 00:00:42.240]  這首詩篇比較長 35節
[00:00:42.240 --> 00:00:45.520]  所以我們讀經文就由夜4節開始
[00:00:45.520 --> 00:00:48.800]  所以一會兒我會整篇詩篇都去解釋
[00:00:48.800 --> 00:00:52.000]  不過我們就由夜4節讀到35節
[00:00:52.000 --> 00:00:54.560]  我們一起讀這幾節的經文
[00:00:54.560 --> 00:00:56.400]  夜4節時備起
[00:00:56.400 --> 00:01:00.160]  耶和華啊 你所造的何其多
[00:01:00.160 --> 00:01:03.200]  都是你用智慧造成的
[00:01:03.200 --> 00:01:06.800]  全地遍滿你你所造之物
[00:01:06.800 --> 00:01:10.080]  那裡有海又大又廣
[00:01:10.080 --> 00:01:12.480]  其中有無數的動物
[00:01:12.480 --> 00:01:15.200]  大小活物都有
[00:01:15.200 --> 00:01:17.520]  那裡有船行走
[00:01:17.520 --> 00:01:20.560]  有你所造的力威亞
[00:01:20.560 --> 00:01:23.440]  淡猶在那其中
[00:01:23.440 --> 00:01:28.080]  這些都仰望你按時給它食物
[00:01:28.080 --> 00:01:31.520]  你給它們它們就拾起來
[00:01:31.520 --> 00:01:35.360]  你將手它們就飽得美食
[00:01:35.360 --> 00:01:38.480]  你煮麵它們就驚惶
[00:01:38.480 --> 00:01:40.800]  你收回它們的氣
[00:01:40.800 --> 00:01:42.720]  它們就死亡
[00:01:42.720 --> 00:01:44.560]  歸於塵土
[00:01:44.560 --> 00:01:46.320]  你差遣你的靈
[00:01:46.320 --> 00:01:48.400]  它們就受造
[00:01:48.400 --> 00:01:52.080]  你捨地面更換為新
[00:01:52.080 --> 00:01:55.600]  願耶和華的榮耀傳到永遠
[00:01:55.600 --> 00:01:59.440]  願耶和華喜愛它自己所造的
[00:01:59.440 --> 00:02:02.640]  它看地地變震動
[00:02:02.640 --> 00:02:05.920]  它摸山山就無煙
[00:02:05.920 --> 00:02:09.360]  我一生要向耶和華唱詩
[00:02:09.360 --> 00:02:14.240]  我還活的時候要向我的上帝歌頌
[00:02:14.240 --> 00:02:16.960]  願它閱立我的默念
[00:02:16.960 --> 00:02:19.760]  我要因耶和華歡喜
[00:02:19.760 --> 00:02:22.640]  願罪人從世上消滅
