
[00:00:00.000 --> 00:00:02.000]  我們一起打開聖經
[00:00:02.000 --> 00:00:06.000]  剛才我們所讀的那段聖經是在路加福音
[00:00:06.000 --> 00:00:09.000]  《新約的路加福音》第四章
[00:00:09.000 --> 00:00:19.000]  我們也請大家開堂用聖經1548頁
[00:00:19.000 --> 00:00:22.000]  因為今天我們不只是看剛才我們所讀的那段
[00:00:22.000 --> 00:00:26.000]  我們差不多看完第四章的路加福音的聖經
[00:00:26.000 --> 00:00:28.000]  所以打開聖經會好一點
[00:00:28.000 --> 00:00:30.000]  我們挑著來看
[00:00:30.000 --> 00:00:34.000]  今天我們將我們的注意力集中在耶穌基督
[00:00:34.000 --> 00:00:36.000]  我們主的身上
[00:00:36.000 --> 00:00:38.000]  我們完全集中在主耶穌的身上
[00:00:38.000 --> 00:00:42.000]  看看祂有什麼提醒到我們
[00:00:42.000 --> 00:00:45.000]  路加福音第四章就是講到
[00:00:45.000 --> 00:00:52.000]  我們的主耶穌基督開始出來傳道的一些記載
[00:00:52.000 --> 00:00:54.000]  聖經第四章說
[00:00:54.000 --> 00:01:00.000]  耶穌基督先要面對魔鬼的三個的隱憂
[00:01:00.000 --> 00:01:02.000]  祂勝過了這三個的隱憂
[00:01:02.000 --> 00:01:04.000]  然後第十四節
[00:01:04.000 --> 00:01:06.000]  那裡就說
[00:01:06.000 --> 00:01:09.000]  耶穌帶著聖靈的能力
[00:01:09.000 --> 00:01:11.000]  就開始祂的侍奉的工作
[00:01:11.000 --> 00:01:14.000]  去到加里利海附近的地方
[00:01:14.000 --> 00:01:19.000]  然後祂的明星就傳遍了周圍的地方
[00:01:19.000 --> 00:01:23.000]  今天我們所看的整個的經文的記載
[00:01:23.000 --> 00:01:25.000]  多次強調
[00:01:25.000 --> 00:01:27.000]  主耶穌是帶著能力
[00:01:27.000 --> 00:01:31.000]  帶著能力開展祂的傳道
[00:01:31.000 --> 00:01:35.000]  醫病趕鬼的侍奉
[00:01:35.000 --> 00:01:38.000]  所以今天我們的主題就是權能
[00:01:38.000 --> 00:01:40.000]  我們主題是能力
[00:01:40.000 --> 00:01:41.000]  今天我們特別集中
[00:01:41.000 --> 00:01:43.000]  我們看看耶穌帶著能力
[00:01:43.000 --> 00:01:46.000]  在什麼樣的情況
[00:01:46.000 --> 00:01:51.000]  我們又透過耶穌基督那種能力的表現和真理
[00:01:51.000 --> 00:01:57.000]  來反思、反省你和我作為基督徒的能力應該是怎樣
[00:01:57.000 --> 00:01:58.000]  好嗎?
