
[00:00:00.000 --> 00:00:02.000]  (看第六章)
[00:00:02.000 --> 00:00:04.000]  《事司記》第六章
[00:00:04.000 --> 00:00:09.000]  今天我們會說有關基奠的故事
[00:00:09.000 --> 00:00:13.000]  基奠剛剛在聖經出現的時候
[00:00:13.000 --> 00:00:17.000]  他是完全不像一個領袖
[00:00:17.000 --> 00:00:19.000]  他是非常膽小
[00:00:19.000 --> 00:00:22.000]  他是非常無信心
[00:00:22.000 --> 00:00:25.000]  我給今天的題目叫做
[00:00:25.000 --> 00:00:27.000]  「屬靈信心的掙扎」
[00:00:27.000 --> 00:00:33.000]  基奠所經過的跟我們很多基督徒都很相似
[00:00:33.000 --> 00:00:36.000]  其實我們很多時候信心都很弱
[00:00:36.000 --> 00:00:38.000]  我們都有很多的掙扎
[00:00:38.000 --> 00:00:42.000]  究竟我們遇見這些信心的考驗的時候
[00:00:42.000 --> 00:00:44.000]  我們應該怎樣來面對
[00:00:44.000 --> 00:00:50.000]  今天基奠的故事會給我們一個很好的教導
[00:00:50.000 --> 00:00:53.000]  剛才我們讀經文
[00:00:53.000 --> 00:00:56.000]  我們都讀到《事司記》的六章一節
[00:00:56.000 --> 00:01:03.000]  就是說「以色列人有恨耶和華眼中為惡的事」
[00:01:03.000 --> 00:01:06.000]  其實在說《事司記》的介紹的時候
[00:01:06.000 --> 00:01:10.000]  我也說了以色列人有三個問題
[00:01:10.000 --> 00:01:13.000]  第一個問題就是他們道德的問題
[00:01:13.000 --> 00:01:16.000]  他們是不聽事司的話
[00:01:16.000 --> 00:01:19.000]  尤其是當事司死了之後
[00:01:19.000 --> 00:01:21.000]  他們就轉為惡行
[00:01:21.000 --> 00:01:24.000]  第二個問題是社會的問題
[00:01:24.000 --> 00:01:27.000]  他們跟外邦的人結婚
[00:01:27.000 --> 00:01:31.000]  以致搞到有很多問題
[00:01:31.000 --> 00:01:34.000]  由於他們與外邦人通婚
[00:01:34.000 --> 00:01:36.000]  也帶到第三個問題
[00:01:36.000 --> 00:01:38.000]  就是宗教的問題
[00:01:38.000 --> 00:01:42.000]  他們學習家男人來拜偶像
[00:01:42.000 --> 00:01:47.000]  在耶利米蘇的二章十九節
[00:01:47.000 --> 00:01:50.000]  說「你自己的惡必懲治你
[00:01:50.000 --> 00:01:53.000]  你背道的事必責備你」
[00:01:53.000 --> 00:01:56.000]  有人可能會覺得很奇怪
[00:01:56.000 --> 00:02:00.000]  我們犯的罪為何會懲治我們?
[00:02:00.000 --> 00:02:04.000]  做背道的事為何會責備我們?
[00:02:04.000 --> 00:02:07.000]  其實是神的管教
[00:02:07.000 --> 00:02:11.000]  在針研的三章十一至十二節
[00:02:11.000 --> 00:02:13.000]  所羅門王也說
[00:02:13.000 --> 00:02:18.000]  「我疑你不可輕看耶和華的管教」
[00:02:18.000 --> 00:02:23.000]  管教這個字可以翻譯為懲治
[00:02:23.000 --> 00:02:26.000]  也不可厭煩他的責備
[00:02:26.000 --> 00:02:29.000]  因為神是愛我們
[00:02:29.000 --> 00:02:32.000]  當我們犯罪神一定會管教
[00:02:32.000 --> 00:02:35.000]  這在新約也有教我們
[00:02:35.000 --> 00:02:39.000]  在新約的希伯來書十二章五至十一節
[00:02:39.000 --> 00:02:43.000]  說神所喜愛的兒女一定會管教
[00:02:43.000 --> 00:02:46.000]  就好像世上的父母
[00:02:46.000 --> 00:02:49.000]  當子女犯罪會有管教
[00:02:49.000 --> 00:02:55.000]  這無論是舊約還是新約都是一樣的教導
[00:02:55.000 --> 00:03:00.000]  斯布真這個牧師是我很喜歡的牧師
[00:03:00.000 --> 00:03:06.000]  斯布真說神不會容許他的兒女成功犯罪
[00:03:06.000 --> 00:03:09.000]  我們世上的父母
[00:03:09.000 --> 00:03:12.000]  很多時候很縱容我們的子女
[00:03:12.000 --> 00:03:14.000]  不捨得罰
[00:03:14.000 --> 00:03:18.000]  但神不會縱容他的子女
[00:03:18.000 --> 00:03:22.000]  神已經預定了
[00:03:22.000 --> 00:03:26.000]  每一個子女都會效法耶穌基督
[00:03:26.000 --> 00:03:28.000]  效法他的兒子
[00:03:28.000 --> 00:03:31.000]  羅馬書八章二十九節
[00:03:31.000 --> 00:03:35.000]  每一個真真正正的兒女
[00:03:35.000 --> 00:03:38.000]  都要我們越來越像耶穌基督
[00:03:38.000 --> 00:03:42.000]  他很希望能夠和每一個兒女說
[00:03:42.000 --> 00:03:45.000]  這就是我的愛子
[00:03:45.000 --> 00:03:47.000]  是我所喜悅的
[00:03:47.000 --> 00:03:49.000]  或者這是我的愛女
[00:03:49.000 --> 00:03:51.000]  是我所喜悅的
[00:03:51.000 --> 00:03:53.000]  就好像耶穌基督
[00:03:53.000 --> 00:03:55.000]  剛剛被施洗約翰
[00:03:55.000 --> 00:03:56.000]  施洗之後
[00:03:56.000 --> 00:03:58.000]  從水裡出來
[00:03:58.000 --> 00:04:01.000]  天把開了神所說的話
[00:04:01.000 --> 00:04:04.000]  從神管教他的兒女
[00:04:04.000 --> 00:04:05.000]  讓我們看到
[00:04:05.000 --> 00:04:08.000]  其實神是很愛他的兒女
[00:04:08.000 --> 00:04:10.000]  但神是很憎恨罪
[00:04:10.000 --> 00:04:14.000]  他是一個無限聖潔的神
[00:04:14.000 --> 00:04:18.000]  他很希望將最好的給他的子女
[00:04:18.000 --> 00:04:21.000]  這個最好的是什麼?
[00:04:21.000 --> 00:04:23.000]  就是一個聖潔的品格
[00:04:23.000 --> 00:04:26.000]  好像耶穌基督一樣的品格
[00:04:26.000 --> 00:04:29.000]  當我們服從神的時候
[00:04:29.000 --> 00:04:32.000]  就能夠磨練我們的品格
[00:04:32.000 --> 00:04:34.000]  越來越像耶穌基督
[00:04:34.000 --> 00:04:36.000]  但當我們犯罪的時候
[00:04:36.000 --> 00:04:39.000]  就會毀壞我們的品格
[00:04:39.000 --> 00:04:42.000]  神是不會袖手旁觀
[00:04:42.000 --> 00:04:44.000]  讓他的兒女毀滅
[00:04:44.000 --> 00:04:47.000]  毀壞他自己的品格
[00:04:47.000 --> 00:04:48.000]  如果我們知道
[00:04:48.000 --> 00:04:51.000]  我們自己陷入罪中
[00:04:51.000 --> 00:04:53.000]  我們繼續犯罪
[00:04:53.000 --> 00:04:55.000]  但好像神根本沒有理會我們
[00:04:55.000 --> 00:04:57.000]  沒有管教我們
[00:04:57.000 --> 00:04:59.000]  這個其實是很危險的
[00:04:59.000 --> 00:05:00.000]  就是說
[00:05:00.000 --> 00:05:04.000]  我們可能不是神真正的兒女
[00:05:04.000 --> 00:05:05.000]  我們要很小心
[00:05:05.000 --> 00:05:08.000]  因為一個神真正的兒女
[00:05:08.000 --> 00:05:11.000]  一定會管教
[00:05:11.000 --> 00:05:13.000]  因為以色列人犯罪
[00:05:13.000 --> 00:05:14.000]  所以神就管教他們
[00:05:14.000 --> 00:05:17.000]  將他們放在敵人的手裡
