
[00:00:00.000 --> 00:00:11.000]  好幾個月前我已經想在2017年1月1日第一個主日要分享什麼題目呢?
[00:00:11.000 --> 00:00:15.000]  我就想到今天這個重新出發
[00:00:15.000 --> 00:00:18.000]  在什麼時候我們要重新出發呢?
[00:00:18.000 --> 00:00:21.000]  我就想起之前有對弟兄姊妹
[00:00:21.000 --> 00:00:27.000]  他們說我去完一個船河即日又要去另一個船河
[00:00:27.000 --> 00:00:29.000]  我說你都很忙
[00:00:29.000 --> 00:00:33.000]  我想他們一落船回家又要換衣服
[00:00:33.000 --> 00:00:35.000]  又重新出發了
[00:00:35.000 --> 00:00:38.000]  或者年青人可能找工作
[00:00:38.000 --> 00:00:41.000]  可能找到一份新的工作
[00:00:41.000 --> 00:00:43.000]  然後休息幾天
[00:00:43.000 --> 00:00:47.000]  然後又有些重新出發的感覺
[00:00:47.000 --> 00:00:49.000]  很多時候都是好的
[00:00:49.000 --> 00:00:51.000]  但有時候可能是不好的
[00:00:51.000 --> 00:00:54.000]  有時候可能是做錯了一些事情
[00:00:54.000 --> 00:00:58.000]  或者以前我在香港都有很多機會去探訪一些監獄
[00:00:58.000 --> 00:01:03.000]  很多囚友最想這四個字就是重新出發
[00:01:03.000 --> 00:01:06.000]  希望有新的機會
[00:01:06.000 --> 00:01:08.000]  不知道大家知不知道如果我說
[00:01:08.000 --> 00:01:10.000]  在聖經裏面
[00:01:10.000 --> 00:01:17.000]  上帝都給人類有第一次重新出發的機會
[00:01:17.000 --> 00:01:21.000]  不知道大家會想起哪一個機會
[00:01:21.000 --> 00:01:23.000]  哪一個時候
[00:01:25.000 --> 00:01:28.000]  這件事令到上帝流眼淚
[00:01:28.000 --> 00:01:32.000]  我相信因為聖經說他憂傷
[00:01:32.000 --> 00:01:34.000]  在《創世記》我們原本知道
[00:01:34.000 --> 00:01:37.000]  上帝創造這個世界是好的
[00:01:37.000 --> 00:01:41.000]  所以每一天做完那天的工
[00:01:41.000 --> 00:01:42.000]  聖經都記載說
[00:01:42.000 --> 00:01:45.000]  「神看著是好的」
[00:01:45.000 --> 00:01:47.000]  說了好幾次
[00:01:47.000 --> 00:01:49.000]  去到第六天的時候
[00:01:49.000 --> 00:01:51.000]  在一章三十一節《創世記》記載說
[00:01:51.000 --> 00:01:56.000]  「看著一切所做的都甚好」
[00:01:56.000 --> 00:01:59.000]  上帝很欣賞自己的工作
[00:01:59.000 --> 00:02:02.000]  因為所有事情都甚好
[00:02:02.000 --> 00:02:06.000]  但當他創造的亞當和夏娃
[00:02:06.000 --> 00:02:10.000]  吃了分別是落樹的果子
[00:02:10.000 --> 00:02:11.000]  聖經說
[00:02:11.000 --> 00:02:16.000]  「於是女人就見那棵樹的果子好作食物也悅人眼目
[00:02:16.000 --> 00:02:20.000]  且是可喜愛的能使人有智慧」
[00:02:20.000 --> 00:02:22.000]  摘了來吃了
[00:02:22.000 --> 00:02:25.000]  又被她的老公吃了
