
[00:00:00.000 --> 00:00:09.400]  在上次我們開始看唐朝的時候的景教
[00:00:09.400 --> 00:00:13.440]  我記得最後的時候我們看到中間的文件
[00:00:13.440 --> 00:00:15.720]  就是那個碑石裡面的東西
[00:00:15.720 --> 00:00:19.840]  不知道大家有沒有時間再去看一看那些石
[00:00:19.840 --> 00:00:23.240]  就是那篇文字
[00:00:23.240 --> 00:00:29.720]  如果你有看的時候你都會發覺中間裡面絕對不容易去解釋的
[00:00:29.720 --> 00:00:32.560]  上次有人問過我一些書
[00:00:32.560 --> 00:00:38.680]  就是關於這方面的有什麼書我們可以參考的呢
[00:00:38.680 --> 00:00:42.200]  有好幾本中國教會歷史的書
[00:00:42.200 --> 00:00:46.520]  好像黃自森的中國教會史史綱
[00:00:46.520 --> 00:00:50.160]  或者英文的KS lottery那本
[00:00:50.160 --> 00:00:53.200]  有本很厚的英文的中國教會史的書
[00:00:53.200 --> 00:00:58.320]  在那裡他們也有兩三張一兩張講到唐朝這些的
[00:00:58.320 --> 00:01:00.880]  但是那些很少的還有很一般的知識
[00:01:00.880 --> 00:01:02.560]  不是有什麼深入的講到
[00:01:02.560 --> 00:01:05.240]  還有都是主要抄襲其他人的結果
[00:01:05.240 --> 00:01:06.800]  很少是自己寫的
[00:01:06.800 --> 00:01:09.280]  以後我就會介紹幾本書
[00:01:09.280 --> 00:01:12.400]  這幾本書都是大部分我們今天可以
[00:01:12.400 --> 00:01:13.520]  除了兩三本之外
[00:01:13.520 --> 00:01:15.120]  多數我們都可以找得到買得到
[00:01:15.120 --> 00:01:18.160]  或者圖書館裡面是借得到的
[00:01:18.160 --> 00:01:21.240]  專門研究這方面的問題
[00:01:21.240 --> 00:01:24.240]  其中有一本就是江文漢的
[00:01:24.240 --> 00:01:30.200]  中國古代基督徒及開封猶太人這本書
[00:01:30.200 --> 00:01:36.200]  這本書是上海的知識出版社的
[00:01:36.200 --> 00:01:38.920]  是1982年的
[00:01:38.920 --> 00:01:42.200]  江文漢是中國比較少
[00:01:42.200 --> 00:01:46.040]  就是很少數的基督徒學者
[00:01:46.040 --> 00:01:48.520]  因為中國基督徒已經是少了
[00:01:48.520 --> 00:01:51.320]  而他是一個很出色的歷史學者
[00:01:51.320 --> 00:01:53.560]  他在1940年代的時候
[00:01:53.560 --> 00:01:57.200]  在哥倫比亞大學裡面拿了他的博士學位
[00:01:57.200 --> 00:01:58.720]  然後回到中國
[00:01:58.720 --> 00:02:02.960]  在中國裡面他一直都是在教育裡面非常活躍的
[00:02:02.960 --> 00:02:07.840]  後來在1970年代末期
[00:02:07.840 --> 00:02:11.800]  他就在上海的社會科學院裡面工作
[00:02:11.800 --> 00:02:15.280]  是一個很有資歷的研究員
[00:02:15.280 --> 00:02:16.720]  在他晚年的時候
[00:02:16.720 --> 00:02:20.720]  就希望能夠整理一些基督教會的史綱
[00:02:20.720 --> 00:02:24.080]  他就開始寫他的書
[00:02:24.080 --> 00:02:25.240]  他出了很多本書
[00:02:25.240 --> 00:02:27.720]  其實這個人1940年代已經出書了
[00:02:27.720 --> 00:02:31.400]  但是最近那本就是中國古代基督徒及開封猶太人
[00:02:31.400 --> 00:02:33.840]  但是他出了這本書沒多久就去世了
[00:02:33.840 --> 00:02:37.560]  我不記得是上年還是前年他去世的
[00:02:37.560 --> 00:02:42.400]  是中國有少數的基督教學者之一
[00:02:42.400 --> 00:02:46.760]  而他這個地位是受到國際和國家的尊崇的地位
[00:02:46.760 --> 00:02:48.960]  是歷史學家 江文漢
[00:02:48.960 --> 00:02:51.680]  他前陣子也經過香港訪問過
[00:02:51.680 --> 00:02:54.160]  已經有百多歲了
[00:02:54.160 --> 00:02:58.080]  他這本書沒有什麼新的創見
[00:02:58.080 --> 00:03:00.800]  不過他就綜合了很多人的看法
[00:03:00.800 --> 00:03:04.240]  只是他注釋的那些東西都非常好
[00:03:04.240 --> 00:03:05.800]  他這本書不是很厚的
[00:03:05.800 --> 00:03:11.600]  他佔了一半時間講唐朝和元朝
[00:03:11.600 --> 00:03:15.200]  另外一部分就處理開封猶太人的問題
[00:03:15.200 --> 00:03:16.360]  他算是一個綜合性的
[00:03:16.360 --> 00:03:20.360]  還有他那本附錄裏面做得很好
[00:03:20.360 --> 00:03:22.080]  其中我沒有記錯的
[00:03:22.080 --> 00:03:24.960]  我已經印給你們一些都是取自他那本書的附錄
[00:03:24.960 --> 00:03:27.560]  有些簡體字
[00:03:27.560 --> 00:03:32.160]  他自己就做了一些唐朝的資料記錄的注釋
[00:03:32.160 --> 00:03:33.560]  在那些附錄裏面
[00:03:33.560 --> 00:03:35.240]  江文漢這個
[00:03:35.240 --> 00:03:38.840]  另外在香港裏面也有過世的
[00:03:38.840 --> 00:03:41.720]  羅香林
[00:03:41.720 --> 00:03:44.520]  羅香林教授在港大那邊
[00:03:44.520 --> 00:03:48.680]  他在我沒有記錯是60年代末期
[00:03:48.680 --> 00:03:50.600]  70年代初的時候寫了一本書
[00:03:50.600 --> 00:03:55.920]  那本書其實是由哈佛燕京的研究的
[00:03:55.920 --> 00:03:58.040]  一些所謂的Grant做的
[00:03:58.040 --> 00:04:01.480]  是唐元二朝的中國警教研究
[00:04:01.480 --> 00:04:13.480]  簡稱是唐元二朝的中國警教研究
[00:04:13.480 --> 00:04:15.560]  名字後面這幾個字我記錯了
[00:04:15.560 --> 00:04:17.240]  可能寫錯了兩個字
[00:04:17.240 --> 00:04:17.960]  不過沒關係
[00:04:17.960 --> 00:04:19.640]  是第一本這樣的書
[00:04:19.640 --> 00:04:20.960]  羅香林的
[00:04:20.960 --> 00:04:23.360]  那這本書一般的圖書館都有的
[00:04:23.360 --> 00:04:24.280]  政府圖書館都有的
[00:04:24.280 --> 00:04:25.960]  因為是港大出的
[00:04:25.960 --> 00:04:26.920]  不是港大出的
[00:04:26.920 --> 00:04:30.280]  是港大有份在過程裏面參與的
[00:04:30.280 --> 00:04:31.960]  是一個特別基金出的
[00:04:31.960 --> 00:04:33.360]  那現在這本書就買不到的了
[00:04:33.360 --> 00:04:35.880]  舊書單間中你都撿到幾十塊錢一本
[00:04:35.880 --> 00:04:37.080]  如果你好運的話
[00:04:37.080 --> 00:04:40.560]  因為印了兩千本左右
[00:04:40.560 --> 00:04:43.720]  這本書其實印了幾千本
[00:04:43.720 --> 00:04:46.640]  因為這些書非常之冷門
[00:04:46.640 --> 00:04:50.840]  另外有一個書現在都隨時買得到
[00:04:50.840 --> 00:04:51.840]  就是孔天文的
[00:04:51.840 --> 00:04:54.840]  孔天文現在在美國的
[00:04:54.840 --> 00:04:58.200]  簡稱是唐朝基督教的研究
[00:04:58.200 --> 00:05:00.440]  是富喬出版社的
[00:05:00.440 --> 00:05:03.400]  在富喬出版社那裏
[00:05:03.400 --> 00:05:06.800]  在1960年年初的比較舊的一本書
[00:05:06.800 --> 00:05:09.160]  兩三百多塊錢一本
[00:05:09.160 --> 00:05:10.560]  在諾香林那本裏面
[00:05:10.560 --> 00:05:14.880]  他從一個中國歷史去做的
[00:05:14.880 --> 00:05:18.360]  諾香林那本有一個好處就是資料很多
