
[00:00:00.000 --> 00:00:03.300]  各位網友好 歡迎大家收看《一虎一席談》
[00:00:03.300 --> 00:00:05.740]  請各位平安
[00:00:05.740 --> 00:00:08.300]  很高興又回來和大家一起
[00:00:08.300 --> 00:00:12.080]  在崇拜當中去分享神的說話
[00:00:12.080 --> 00:00:17.280]  我知道我們教會在接下來這一段日子
[00:00:17.280 --> 00:00:20.860]  都會去特別研讀這個《但異理書》
[00:00:20.860 --> 00:00:24.380]  所以我是叫做投一炮
[00:00:24.380 --> 00:00:27.100]  我和大家剛剛在這個星期
[00:00:27.100 --> 00:00:31.160]  開始和大家去了解《但異理書》
[00:00:31.160 --> 00:00:35.080]  所以今天我不會只是講第一章
[00:00:35.080 --> 00:00:39.260]  我會和大家將《但異理書》整個的生平
[00:00:39.260 --> 00:00:42.000]  從一個比較廣闊的角度去看
[00:00:42.000 --> 00:00:46.220]  希望等一個基礎以後我們慢慢再研讀的時候
[00:00:46.220 --> 00:00:49.000]  可以得到更深刻的了解
[00:00:49.000 --> 00:00:52.660]  有些弟兄姐妹看《但異理書》就有些害怕的
[00:00:52.660 --> 00:00:56.460]  因為《但異理書》很多什麼預言
[00:00:56.460 --> 00:01:01.300]  很多的夢 很多的異象
[00:01:01.300 --> 00:01:03.300]  很怕就不看
[00:01:03.300 --> 00:01:06.040]  其實如果你留心看《但異理書》
[00:01:06.040 --> 00:01:10.840]  其實是分兩半的
[00:01:10.840 --> 00:01:15.000]  第一就是《但異理書》有十二章
[00:01:15.000 --> 00:01:16.600]  十二章剛剛兩半
[00:01:16.600 --> 00:01:18.960]  一到六章是前半
[00:01:18.960 --> 00:01:21.460]  七到十二章是後半
[00:01:21.460 --> 00:01:24.060]  所謂剛才我說大家比較怕
[00:01:24.060 --> 00:01:29.540]  很難明白的那些異象、異夢、預言
[00:01:29.540 --> 00:01:33.280]  就是第七章後半至十二章才是
[00:01:33.280 --> 00:01:37.480]  其實《但異理書》第一章到第六章前半六章
[00:01:37.480 --> 00:01:39.740]  是講《但異理》的生平的
[00:01:39.740 --> 00:01:41.740]  是不難理解的
[00:01:41.740 --> 00:01:45.840]  今天我們就特別集中講《但異理》的人生
[00:01:45.840 --> 00:01:47.840]  我給了一個題目 大家看到了
[00:01:47.840 --> 00:01:50.540]  我給了一個題目 我們今天的講題
[00:01:50.540 --> 00:01:56.500]  就是說是講到《但異理》成功的秘訣
[00:01:56.500 --> 00:02:00.100]  《但異理》成功的秘訣成功什麼呢?
[00:02:00.100 --> 00:02:01.420]  我們都列了出來
[00:02:01.420 --> 00:02:04.180]  《但異理》是一個給我們很提醒
[00:02:04.180 --> 00:02:05.820]  也給我們很大的鼓勵的
[00:02:05.820 --> 00:02:12.720]  他是一個事業和靈命都同樣相贏的一個人
