
[00:00:00.000 --> 00:00:04.320]  各位頂展姐妹早安
[00:00:04.320 --> 00:00:06.320]  睡醒了嗎?
[00:00:06.320 --> 00:00:08.320]  因為昨天很熱
[00:00:08.320 --> 00:00:10.320]  昨天真的好熱
[00:00:10.320 --> 00:00:12.320]  40度
[00:00:12.320 --> 00:00:14.320]  我出了街
[00:00:14.320 --> 00:00:16.320]  很高興第一次跟大家分享
[00:00:16.320 --> 00:00:18.320]  今天這個訊息
[00:00:18.320 --> 00:00:20.320]  福音鐵三角第二講
[00:00:20.320 --> 00:00:22.320]  四月份跟大家講了第一講
[00:00:22.320 --> 00:00:24.320]  記不記得這個題目是什麼?
[00:00:24.320 --> 00:00:26.320]  寫了出來的
[00:00:26.320 --> 00:00:28.320]  合一
[00:00:28.320 --> 00:00:30.320]  我連提示都不記得
[00:00:30.320 --> 00:00:32.320]  是合一
[00:00:32.320 --> 00:00:34.320]  下次還是不要提示
[00:00:34.320 --> 00:00:36.320]  是合一
[00:00:36.320 --> 00:00:38.320]  記得
[00:00:38.320 --> 00:00:40.320]  上次用十七章
[00:00:40.320 --> 00:00:42.320]  十一至二十三節耶穌最後的禱告
[00:00:42.320 --> 00:00:44.320]  說了三次求神讓我們能夠合而為一
[00:00:44.320 --> 00:00:46.320]  祂之前說了
[00:00:46.320 --> 00:00:48.320]  神要差遣我們
[00:00:48.320 --> 00:00:50.320]  然後求我們能夠合一
[00:00:50.320 --> 00:00:52.320]  因為沒有合一是很難成事的
[00:00:52.320 --> 00:00:54.320]  很多事都是自己搞的
[00:00:54.320 --> 00:00:56.320]  其實不是外面的問題
[00:00:56.320 --> 00:00:58.320]  是內在的問題
[00:00:58.320 --> 00:01:00.320]  所以合一是很重要
[00:01:00.320 --> 00:01:02.320]  所以第一課就講合一
[00:01:02.320 --> 00:01:04.320]  我提到
[00:01:04.320 --> 00:01:06.320]  合一是為了承擔
[00:01:06.320 --> 00:01:08.320]  我講了
[00:01:08.320 --> 00:01:10.320]  我想你們幫我重溫
[00:01:10.320 --> 00:01:12.320]  過了三個月
[00:01:12.320 --> 00:01:14.320]  合一的一二三
[00:01:14.320 --> 00:01:16.320]  少少記得
[00:01:16.320 --> 00:01:18.320]  一人二關三多
[00:01:18.320 --> 00:01:20.320]  一人是什麼呢?
[00:01:20.320 --> 00:01:22.320]  一人少一句一人多一步
[00:01:22.320 --> 00:01:24.320]  不要說那麼多
[00:01:24.320 --> 00:01:26.320]  多做一些事
[00:01:26.320 --> 00:01:28.320]  天下太平
[00:01:28.320 --> 00:01:30.320]  這個世界人說話太多
[00:01:30.320 --> 00:01:32.320]  做事就不做
[00:01:32.320 --> 00:01:34.320]  所以才不成事
[00:01:34.320 --> 00:01:36.320]  又提到
[00:01:36.320 --> 00:01:38.320]  又不行了
