
[00:00:00.000 --> 00:00:10.000]  各位大英姐妹,各位朋友,你們好,歡迎大家參觀我們三藩市播道會網上的五堂崇拜
[00:00:10.000 --> 00:00:17.000]  我們今天繼續思想希伯羅書的信息,我們來到希伯羅書第十三章第九節至十四節
[00:00:17.000 --> 00:00:24.000]  題目叫做《持守真道》,未開始思想這段聖經之前請我們同心低頭,我們討論
[00:00:24.000 --> 00:00:32.000]  慈悲人天父,我們多謝你,你留下聖經的話語,作為我們信仰和生活的指標
[00:00:32.000 --> 00:00:41.000]  求你,讓我們能夠勤力讀經,明白你的話語,並且遵循你的話語
[00:00:41.000 --> 00:00:46.000]  願你的話語成為腳前的燈,路上的光
[00:00:46.000 --> 00:00:50.000]  我們今天討告,那是奉耶穌基督命求,阿門
[00:00:50.000 --> 00:00:58.000]  是1990年一位在河南省鄭州姓鄧的女子,她本來是呼喊派的信徒
[00:00:58.000 --> 00:01:03.000]  後來她離開了呼喊派,創立了一個叫做東方閃電教
[00:01:03.000 --> 00:01:10.000]  她自稱自己是女基督,是重返肉身的耶穌,是末後的基督
[00:01:10.000 --> 00:01:20.000]  她被選,要向活世時代發表她的話語,這種女基督就稱為閃電,或者東方閃電
[00:01:20.000 --> 00:01:25.000]  所以她所建立的教派就稱為東方閃電教
[00:01:25.000 --> 00:01:32.000]  她是一個頗有領導才幹的一個人,她在中國國內建立一個龐大的組織
[00:01:32.000 --> 00:01:41.000]  在河南、安徽、山東、江蘇、福建、廣東、東北等17省有很多信眾
[00:01:41.000 --> 00:01:48.000]  她對她有強烈的使命感,專門在教會裏拉羊仔以爭理來解放教會
[00:01:48.000 --> 00:01:56.000]  她以為自己就是基督,以為她的話語就是東方發出的閃電,是具有權威性的
[00:01:56.000 --> 00:02:02.000]  不接受她的話語的人一定會患死,或者受到最嚴厲的懲罰
[00:02:02.000 --> 00:02:09.000]  東方閃電教已經將她的勢力擴張到香港、美國、歐洲等地
[00:02:09.000 --> 00:02:13.000]  現在更加改了名稱,叫做神的權能
[00:02:13.000 --> 00:02:22.000]  其實當我們細看他們所謂神學和理論,我們都會奇怪為何會有人相信這樣的邪教
[00:02:22.000 --> 00:02:29.000]  其實在今天的中國,好像東方閃電的邪教,可以說是多不勝數
[00:02:29.000 --> 00:02:38.000]  根據中國大馬站教會前牧師林獻高牧師寫過一本書,叫做中國異端
[00:02:38.000 --> 00:02:43.000]  列出了在大陸的異端派別有11個之多
[00:02:43.000 --> 00:02:49.000]  其中影響最大的有下跌的幾派,第一派叫做呼喊派
