
[00:00:00.000 --> 00:00:05.400]  各位弟弟姐妹 各位朋友 你們好
[00:00:05.400 --> 00:00:10.000]  歡迎大家參觀我們三藩市報道會網上五堂崇拜
[00:00:10.000 --> 00:00:13.000]  我們今天繼續思想希伯來書的信息
[00:00:13.000 --> 00:00:17.500]  我們去到希伯來書第四章14-16節
[00:00:17.500 --> 00:00:20.000]  「負傷的治療者」
[00:00:20.000 --> 00:00:23.500]  未開始思想這段聖經之前請我們同心低頭
[00:00:23.500 --> 00:00:26.000]  我們同禱告 慈悲人 我天父
[00:00:26.000 --> 00:00:31.500]  我們滿心感謝祢 令我們感到驚訝
[00:00:31.500 --> 00:00:37.000]  神竟然猜怕祂的獨生兒子耶穌基督來到世上
[00:00:37.000 --> 00:00:39.500]  為我們釘在十字架上
[00:00:39.500 --> 00:00:42.000]  這真是難以置信
[00:00:42.000 --> 00:00:44.500]  我們滿心感謝祢 因為祢的死
[00:00:44.500 --> 00:00:48.500]  我們可以得到醫治 我們可以得到永生
[00:00:48.500 --> 00:00:51.000]  求祢藉著今天的信息
[00:00:51.000 --> 00:00:57.500]  去提醒 勸勉 教導 安慰 督促 改變我們
[00:00:57.500 --> 00:01:01.000]  我們這樣禱告 乃是奉耶穌基督的名號
[00:01:01.000 --> 00:01:02.000]  阿們
[00:01:02.000 --> 00:01:09.000]  《Lawrence of Arabia》是英國名導演大衛年的作品
[00:01:09.000 --> 00:01:12.500]  是1962年拍攝成功
[00:01:12.500 --> 00:01:19.000]  是根據一個英國軍人兼作家叫T.E.Torrance的作品而改編的
[00:01:19.000 --> 00:01:22.000]  這套電影莫多項殊榮
[00:01:22.000 --> 00:01:25.000]  是一套非常值得看的電影
[00:01:25.000 --> 00:01:27.000]  在第一次世界大戰的時候
[00:01:27.000 --> 00:01:30.500]  土耳其佔領整個阿拉伯半島和中東
[00:01:30.500 --> 00:01:34.000]  並且與德國聯手對付盟軍
[00:01:34.000 --> 00:01:38.000]  T.E.Torrance是在開羅的一個英國常委
[00:01:38.000 --> 00:01:42.500]  他被派到阿拉伯的陣地聯絡阿拉伯宗族長
[00:01:42.500 --> 00:01:46.000]  一同對抗土耳其這個大帝國
[00:01:46.000 --> 00:01:49.500]  在那個時候的阿拉伯是散沙一盤
[00:01:49.500 --> 00:01:54.500]  各部族各部落各佔一方
[00:01:54.500 --> 00:01:56.500]  彼此猜忌
[00:01:56.500 --> 00:01:58.000]  只顧自己的利益
[00:01:58.000 --> 00:02:01.000]  沒有任何一個所謂合作可言
[00:02:01.000 --> 00:02:04.000]  T.E.Torrance帶著一個純真的心
[00:02:04.000 --> 00:02:07.000]  帶著他的嚮導是一個阿拉伯人
[00:02:07.000 --> 00:02:09.000]  來到這個大沙漠
[00:02:09.000 --> 00:02:13.000]  幫他想想 走到累了 休息一下
[00:02:13.000 --> 00:02:17.000]  結果有個井 就在那裡打水來喝
[00:02:17.000 --> 00:02:21.000]  突然遠處出現一個騎著駿馬的阿拉伯人
[00:02:21.000 --> 00:02:23.000]  一槍將他在那裡打死
[00:02:23.000 --> 00:02:26.000]  原因很簡單
[00:02:26.000 --> 00:02:32.000]  因為他是喝一些不屬於他的族的井水
[00:02:32.000 --> 00:02:36.000]  但T.E.Torrance 他是有點不同的
[00:02:36.000 --> 00:02:38.000]  因為他不是阿拉伯人 他是英國人
[00:02:38.000 --> 00:02:41.000]  他不是屬於另外一族的一份子
[00:02:41.000 --> 00:02:43.000]  所以是擁有特權
[00:02:43.000 --> 00:02:46.000]  後來他認識了這個人
[00:02:46.000 --> 00:02:49.000]  原來是Faisal的王子
[00:02:49.000 --> 00:02:51.000]  憑著這個阿拉伯王子
[00:02:51.000 --> 00:02:56.000]  他很希望聯絡各族去打擊土耳其大帝國
[00:02:56.000 --> 00:02:58.000]  他去獻計給這個王子
[00:02:58.000 --> 00:03:01.000]  遇到這個Nevrith沙漠
[00:03:01.000 --> 00:03:04.000]  日以繼夜騎著駱駝而行
[00:03:04.000 --> 00:03:09.000]  以期待從陸路進攻海軍要地Aqaba
[00:03:09.000 --> 00:03:15.000]  讓英國的船隻可以從Aqaba登陸
[00:03:15.000 --> 00:03:17.000]  這是一個戰略性的海港
[00:03:17.000 --> 00:03:21.000]  在途中 他始終是一個外國人
[00:03:21.000 --> 00:03:23.000]  他不是阿拉伯人
[00:03:23.000 --> 00:03:25.000]  他和阿拉伯人格格不入
[00:03:25.000 --> 00:03:29.000]  有一個叫做Kassim的阿拉伯人
[00:03:29.000 --> 00:03:32.000]  由於過分疲勞 在沒有人察覺之下
[00:03:32.000 --> 00:03:34.000]  他竟然掉下駱駝
[00:03:34.000 --> 00:03:36.000]  晚上沒有人知道
[00:03:36.000 --> 00:03:39.000]  當他們到達一個水源的地方
[00:03:39.000 --> 00:03:43.000]  才發現 咦 失去了Kassim
[00:03:43.000 --> 00:03:45.000]  Lawrence不顧生命危險
[00:03:45.000 --> 00:03:49.000]  獨自一個人騎著駱駝
[00:03:49.000 --> 00:03:52.000]  返回舊路去找Kassim
[00:03:52.000 --> 00:03:54.000]  這種精神
[00:03:54.000 --> 00:03:57.000]  真的打破了他和阿拉伯人之間的隔膜
[00:03:57.000 --> 00:04:00.000]  果然之間他找到Kassim
[00:04:00.000 --> 00:04:02.000]  救了他回來
[00:04:02.000 --> 00:04:05.000]  在攻打Aqaba之後
[00:04:05.000 --> 00:04:08.000]  其中一個族長叫做Ada
[00:04:08.000 --> 00:04:09.000]  非常不高興
[00:04:09.000 --> 00:04:11.000]  因為他拿來的
[00:04:11.000 --> 00:04:14.000]  不是像Lawrence所說的
