
[00:00:00.000 --> 00:00:23.400]  我們今晚第三講會講第六章到第八章
[00:00:23.400 --> 00:00:25.400]  我們一次要講三章
[00:00:25.400 --> 00:00:31.960]  剛好是第四大段 如果大家記得我們的結構
[00:00:31.960 --> 00:00:37.880]  我想找回一點 記得前面有三大段
[00:00:37.880 --> 00:00:43.880]  每段都是交代虛空的原因
[00:00:43.880 --> 00:00:46.680]  第一大段即是一至二章
[00:00:46.680 --> 00:00:50.880]  虛空是因為造物主 都是他主導
[00:00:50.880 --> 00:00:53.480]  第二大段第三章
[00:00:53.480 --> 00:00:56.880]  就是虛空是因為創造的設計
[00:00:56.880 --> 00:01:00.480]  有給定時有給永恆
[00:01:00.480 --> 00:01:05.880]  第三大段上次我們講了四至五章
[00:01:05.880 --> 00:01:08.880]  就是虛空是因為人的限制
[00:01:08.880 --> 00:01:16.880]  人是需要造物主賜福才可以真的行
[00:01:16.880 --> 00:01:21.880]  這三個都是交代了虛空的
[00:01:21.880 --> 00:01:24.280]  從神可的角度來處理
[00:01:24.280 --> 00:01:26.880]  比較少一些實際的應用
[00:01:26.880 --> 00:01:31.880]  下面這兩大段就很不同了
[00:01:31.880 --> 00:01:35.280]  真的處理一些很實際的問題
[00:01:35.280 --> 00:01:36.880]  你可以從這個角度來看
[00:01:36.880 --> 00:01:41.880]  兩段到最後都是有
[00:01:41.880 --> 00:01:45.280]  我們今天講的第四大段
[00:01:45.280 --> 00:01:49.880]  就是六至八章 三個是查不出來的
[00:01:49.880 --> 00:01:53.280]  下一次就第九到十一章
[00:01:53.280 --> 00:01:57.280]  就是三個不知道的 其實都是差不多的
[00:01:57.280 --> 00:02:00.680]  他們都是在講實際應用的時候
[00:02:00.680 --> 00:02:03.280]  特別是如果大家記得
[00:02:03.280 --> 00:02:07.080]  創造了三個秩序的
[00:02:07.080 --> 00:02:08.880]  傳道書是講物質秩序
[00:02:08.880 --> 00:02:10.480]  就是神給人每一份
[00:02:10.480 --> 00:02:14.080]  還有兩個秩序同時生效
[00:02:14.080 --> 00:02:15.480]  有很多張力的
[00:02:15.480 --> 00:02:17.680]  所以這次第四大段
[00:02:17.680 --> 00:02:20.880]  就是物質秩序和道德秩序
[00:02:20.880 --> 00:02:22.880]  放在一起怎麼辦呢
[00:02:22.880 --> 00:02:28.080]  下一次就是物質秩序和功能秩序
[00:02:28.080 --> 00:02:29.280]  放在一起怎麼辦呢
[00:02:29.280 --> 00:02:32.280]  其實你可以很工整的看到
[00:02:32.280 --> 00:02:34.680]  它是怎麼設計的
[00:02:34.680 --> 00:02:37.280]  另外一個看法
[00:02:37.280 --> 00:02:39.480]  你看這五大段
[00:02:39.480 --> 00:02:44.280]  也可以從另一個角度來看
[00:02:44.280 --> 00:02:46.880]  第一大段一至二章大家記得
[00:02:46.880 --> 00:02:49.880]  它交代虛空有四種
[00:02:49.880 --> 00:02:52.680]  四方面的虛空 大家記不記得
[00:02:52.680 --> 00:02:56.880]  就是不明白 不滿足
[00:02:56.880 --> 00:03:00.080]  沒有意義的 和不掌握的
[00:03:00.080 --> 00:03:01.280]  接著這四大段
[00:03:01.280 --> 00:03:04.680]  其實每一個大段都是傳你一樣東西的
[00:03:04.680 --> 00:03:05.880]  你可以這麼說
[00:03:05.880 --> 00:03:09.280]  所以第二大段 第三章
[00:03:09.280 --> 00:03:12.680]  其實是不明白的
[00:03:12.680 --> 00:03:16.680]  第四第五章就是不滿足的
[00:03:16.680 --> 00:03:18.080]  這是我們上一次說的
[00:03:18.080 --> 00:03:21.080]  這次是說沒有意義的
[00:03:21.080 --> 00:03:23.880]  下一次是說不掌握的
[00:03:23.880 --> 00:03:26.280]  其實你也可以這樣分的
[00:03:26.280 --> 00:03:31.080]  我們開始說第六章到第八章
[00:03:31.080 --> 00:03:33.480]  我在這裡的講義給你看到
[00:03:33.480 --> 00:03:35.080]  這裡分開三段
[00:03:35.080 --> 00:03:37.680]  這個大段裡面再分開三段
[00:03:37.680 --> 00:03:39.080]  每段有個小結
[00:03:39.080 --> 00:03:40.280]  又是有些字重複的
[00:03:40.280 --> 00:03:42.080]  所以都是說同類的東西的
