
[00:00:00.000 --> 00:00:05.000]  我們講道至先 一切低頭祈禱
[00:00:05.000 --> 00:00:08.000]  使彼天父我們感恩
[00:00:08.000 --> 00:00:13.000]  你讓我們在雨天仍然能夠敬拜主你自己
[00:00:13.000 --> 00:00:16.000]  主我們都將今朝要講的信息交上
[00:00:16.000 --> 00:00:20.000]  求主你用你自己的話語打開我們的心
[00:00:20.000 --> 00:00:25.000]  讓我們能夠可以離開我們的愚昧
[00:00:25.000 --> 00:00:29.000]  進度從主你自己話語而來的智慧
[00:00:29.000 --> 00:00:33.000]  你只是靈在我們當中來教導提醒
[00:00:33.000 --> 00:00:36.000]  祈禱奉耶穌基督得勝的名頭
[00:00:36.000 --> 00:00:42.000]  我想問有多少人是沒有做過快速測試的
[00:00:42.000 --> 00:00:44.000]  可不可以舉手
[00:00:44.000 --> 00:00:46.000]  沒有 有一個
[00:00:46.000 --> 00:00:51.000]  那你就是唯一一個沒有兩條線的了
[00:00:51.000 --> 00:00:59.000]  今天想和大家做一個愚昧人的快速測試
[00:00:59.000 --> 00:01:05.000]  我不知道你記不記得你第一次兩條線的時候你的反應是怎樣
[00:01:05.000 --> 00:01:09.000]  我記得最開始的時候我們每個人都很害怕
[00:01:09.000 --> 00:01:13.000]  究竟要上報還是要隔離
[00:01:13.000 --> 00:01:18.000]  其實最重要是找藥物來幫助我們
[00:01:18.000 --> 00:01:23.000]  愚昧人的測試有三方面
[00:01:23.000 --> 00:01:26.000]  第一個測試就是驕傲
[00:01:26.000 --> 00:01:30.000]  你是驕傲至此還是敬畏神呢
[00:01:30.000 --> 00:01:37.000]  第二個測試就是你是很容易發怒還是能夠忍受羞辱呢
[00:01:37.000 --> 00:01:45.000]  第三個測試就是你不聽別人講不聽別人教導還是喜歡尋求知識呢
[00:01:45.000 --> 00:01:49.000]  我不知道你快速測試的結果是怎樣
[00:01:49.000 --> 00:01:52.000]  不過如果三條線都不重要
[00:01:52.000 --> 00:01:56.000]  腐朽化神奇只有一個方法
[00:01:56.000 --> 00:01:59.000]  就是神的話語
[00:01:59.000 --> 00:02:04.000]  我們的起步點就是愚昧人的定義
[00:02:04.000 --> 00:02:07.000]  我嘗試在真言裏面找一節經文
[00:02:07.000 --> 00:02:11.000]  可不可以找一節經文幫我定義什麼是愚昧人呢
[00:02:11.000 --> 00:02:16.000]  我發現真言裏面講的愚昧人大部份時間是描述性的
[00:02:16.000 --> 00:02:20.000]  不過很辛苦我找到兩節經文
[00:02:20.000 --> 00:02:24.000]  因為這兩節經文不是描述愚昧人做的事
[00:02:24.000 --> 00:02:28.000]  而是描述愚昧人的本質
[00:02:28.000 --> 00:02:31.000]  第一節是真言二十六章十一節
[00:02:31.000 --> 00:02:36.000]  整個真言二十六章就是愚昧篇
[00:02:36.000 --> 00:02:42.000]  所以如果你想做一個深層測試就要讀第二十六章
[00:02:42.000 --> 00:02:46.000]  愚昧人一再重覆他的願望
[00:02:46.000 --> 00:02:50.000]  好像糾纏過來吃自己所吐出的
[00:02:50.000 --> 00:02:56.000]  他重覆又重覆從來都不在他的錯誤裏面學習
[00:02:56.000 --> 00:02:58.000]  我讀這段很奇怪
[00:02:58.000 --> 00:03:01.000]  怎麼會重覆又重覆
[00:03:01.000 --> 00:03:07.000]  我們最蠢的人應該不會撞一次板又再撞板
