
[00:00:00.000 --> 00:00:02.320]  好開心在大家當中
[00:00:02.320 --> 00:00:06.900]  今日講的題目叫做
[00:00:06.900 --> 00:00:11.120]  叫做國家自掃門前說
[00:00:11.120 --> 00:00:13.820]  也管他人 也常傷
[00:00:13.820 --> 00:00:17.660]  這個題目是錯的 但是對的
[00:00:17.660 --> 00:00:21.000]  錯的原本的版本不是這樣的
[00:00:21.000 --> 00:00:24.060]  原本的版本就是國家自掃門前說
[00:00:24.060 --> 00:00:26.620]  休管他人 也常傷
[00:00:26.620 --> 00:00:33.280]  當團契問我講彼此關顧的時候
[00:00:33.280 --> 00:00:34.800]  我就突然想起這句說話
[00:00:34.800 --> 00:00:36.100]  我說用這句也不錯
[00:00:36.100 --> 00:00:39.160]  那一個字就可以了
[00:00:39.160 --> 00:00:40.960]  我們先做個祈禱
[00:00:40.960 --> 00:00:44.280]  我們預備我們的心
[00:00:44.280 --> 00:00:46.840]  天父我們感謝你給我們機會相聚
[00:00:46.840 --> 00:00:50.180]  但願主你讓我們在人生當中
[00:00:50.180 --> 00:00:51.960]  在我們生命的裏面
[00:00:51.960 --> 00:00:53.760]  在生活當中
[00:00:53.760 --> 00:00:57.600]  讓我們明白我們不是單獨存在的個體
[00:00:57.600 --> 00:01:00.680]  而是一個一同存在的群體
[00:01:00.680 --> 00:01:04.000]  讓我們明白我們是屬於基督的身體
[00:01:04.000 --> 00:01:06.560]  我們各人是互作肢體
[00:01:06.560 --> 00:01:10.400]  所以在這個群體 在這個身體 在這個肢體裏面
[00:01:10.400 --> 00:01:13.220]  我們不單止是各有各的角色
[00:01:13.220 --> 00:01:15.020]  甚至各有各的特色
[00:01:15.020 --> 00:01:18.080]  而且我們是彼此相顧 彼此相連
[00:01:18.080 --> 00:01:21.160]  求你讓我們明白這個身體的道理
[00:01:21.160 --> 00:01:22.940]  這個肢體的道理
[00:01:22.940 --> 00:01:25.440]  意義在人生當中能夠彼此的照顧
[00:01:25.440 --> 00:01:27.540]  聖經裏面有很多的教導告訴我們
[00:01:27.540 --> 00:01:29.340]  如何彼此的相處
[00:01:29.340 --> 00:01:30.620]  你叫我們明白
[00:01:30.620 --> 00:01:31.640]  不單止明白
[00:01:31.640 --> 00:01:33.180]  而且能夠真正的遵行
[00:01:33.180 --> 00:01:34.460]  而且遵行之後
[00:01:34.460 --> 00:01:35.740]  懂得跟人分享
[00:01:35.740 --> 00:01:39.060]  幫助人一起彼此相顧
[00:01:39.060 --> 00:01:42.140]  但願以下的時間讓我們聽的時候能夠聽得明白
[00:01:42.140 --> 00:01:44.140]  而且能夠用在我們生活當中
[00:01:44.140 --> 00:01:45.980]  建立一個更強的團隊
[00:01:45.980 --> 00:01:47.520]  建立一個更美的教會
[00:01:47.520 --> 00:01:49.060]  一個更好的群體
[00:01:49.060 --> 00:01:51.360]  幫助我們有這個心去學
[00:01:51.360 --> 00:01:52.900]  有這個心去改
[00:01:52.900 --> 00:01:54.180]  有這個心去做
[00:01:54.180 --> 00:01:57.260]  聽我們禱告奉耶穌的名 祈禱 阿們
[00:01:57.260 --> 00:01:59.500]  我先提一提
[00:01:59.500 --> 00:02:02.060]  剛才也聽到很多東西
[00:02:02.060 --> 00:02:05.180]  其實神做人有一個特色
[00:02:05.180 --> 00:02:07.500]  有兩個我覺得是很基本的特色
[00:02:07.500 --> 00:02:10.000]  第一就是神做人的時候
[00:02:10.000 --> 00:02:12.300]  是做了一個群體的裏面
[00:02:12.300 --> 00:02:14.600]  當神創造亞當之後
[00:02:14.600 --> 00:02:16.140]  他說了一句話很特別
[00:02:16.140 --> 00:02:17.580]  他說這個人如何
[00:02:17.580 --> 00:02:19.580]  獨居不好
[00:02:19.580 --> 00:02:22.140]  獨居不好需要有一個盤
[00:02:22.140 --> 00:02:24.140]  人需要在群體當中
[00:02:24.140 --> 00:02:26.140]  第二樣東西神做人有需要是什麼呢
[00:02:26.140 --> 00:02:28.140]  是需要愛和被愛
[00:02:28.140 --> 00:02:30.860]  我們明白在群體當中
[00:02:30.860 --> 00:02:33.660]  但是不表示我們懂得愛或者被愛
[00:02:33.660 --> 00:02:36.220]  我們知道需要愛 知道需要被愛
[00:02:36.220 --> 00:02:39.420]  又不表示我們一定懂得愛和懂得被愛
[00:02:39.420 --> 00:02:42.620]  人需要學習如何處在群體當中
[00:02:42.620 --> 00:02:45.420]  人需要學習如何彼此相愛
[00:02:45.420 --> 00:02:46.460]  有人跟我說
[00:02:46.460 --> 00:02:49.020]  在教會 在社會當中
[00:02:49.020 --> 00:02:51.020]  其實最寶貴的就是人
[00:02:51.020 --> 00:02:53.820]  但是在教會 社會當中
[00:02:53.820 --> 00:02:56.380]  最討厭的也是人
[00:02:56.380 --> 00:02:57.580]  是不是
[00:02:57.580 --> 00:03:00.700]  人好的時候好像如在天堂
[00:03:00.700 --> 00:03:03.420]  人不好的時候比地獄更慘
[00:03:03.420 --> 00:03:05.500]  人的關係好與不好
[00:03:05.500 --> 00:03:07.500]  影響著人生的質素
[00:03:07.500 --> 00:03:09.980]  影響著人生活的情況
[00:03:09.980 --> 00:03:13.980]  有人說聖經裏面有提到我們是群體
[00:03:13.980 --> 00:03:16.220]  但是這個群體原來有幾種群體
[00:03:16.220 --> 00:03:17.900]  在乎我們的關係如何
[00:03:17.900 --> 00:03:19.900]  有一種群體是怎樣的呢
[00:03:19.900 --> 00:03:23.020]  它就好像一種聯誼會
[00:03:23.020 --> 00:03:28.140]  回來之後大家開開心心見面聊天
[00:03:28.140 --> 00:03:29.980]  但是不做事
[00:03:29.980 --> 00:03:32.620]  有人說團契這個字很特別
[00:03:32.620 --> 00:03:33.900]  很特別的
[00:03:33.900 --> 00:03:34.860]  是怎樣的呢
[00:03:34.860 --> 00:03:36.380]  一個團一個契
[00:03:36.380 --> 00:03:37.100]  對不對
[00:03:37.100 --> 00:03:38.860]  你將團這個字
[00:03:38.860 --> 00:03:41.900]  將口字裏面的一個尊
[00:03:41.900 --> 00:03:44.460]  將口拿出來放在契旁邊
[00:03:44.460 --> 00:03:45.980]  團契變成什麼
[00:03:46.940 --> 00:03:48.220]  尊契
[00:03:48.220 --> 00:03:49.260]  對不對
[00:03:49.260 --> 00:03:50.540]  看不看到那個字
[00:03:50.540 --> 00:03:52.460]  有些人回教會就是為了契
