
[00:00:00.000 --> 00:00:03.400]  各位聽眾你們好,我是蘇穎蕊牧師
[00:00:03.400 --> 00:00:07.400]  歡迎大家收聽百年神州風雲人物
[00:00:07.400 --> 00:00:12.600]  我們今天想和大家討論一下李鴻章
[00:00:12.600 --> 00:00:18.900]  如果我們說曾國藩是一個很難分是忠還是奸的近代歷史人物
[00:00:18.900 --> 00:00:24.000]  我們可以說李鴻章更加是一個更爭議性的歷史人物
[00:00:24.000 --> 00:00:26.400]  有報,有扁
[00:00:26.400 --> 00:00:31.200]  扁的方面,李鴻章是晚清的名臣
[00:00:31.200 --> 00:00:36.600]  代表中國簽訂了三十多個大小不等的條約
[00:00:36.600 --> 00:00:40.800]  其中最著名的就是馬關條約和辛丑條約
[00:00:40.800 --> 00:00:47.000]  他一死之後,當時有人就用拳傾一時
[00:00:47.000 --> 00:00:53.000]  龐滿天下,偉龐龐,龐滿天下
[00:00:53.000 --> 00:00:58.800]  來形容他罵聲不絕,罵他是一個賣國賊,是漢奸
[00:00:58.800 --> 00:01:03.800]  究竟他是不是一個令中國喪權辱國的人呢?
[00:01:03.800 --> 00:01:08.200]  也有不少中國人說他是漢奸
[00:01:08.200 --> 00:01:12.200]  但是也有不少人對他非常尊敬
[00:01:12.200 --> 00:01:14.200]  梁啟超就這樣說過
[00:01:14.200 --> 00:01:21.600]  不敬李鴻章之才,不惜李鴻章之色,不卑李鴻章之羽
[00:01:21.600 --> 00:01:25.600]  梁啟超就非常尊敬他的才能
[00:01:25.600 --> 00:01:29.600]  也非常珍惜他的學識
[00:01:29.600 --> 00:01:34.600]  但是不卑李鴻章之羽
[00:01:34.600 --> 00:01:39.600]  他處於一個這樣的時代,一個國難的時代
[00:01:39.600 --> 00:01:42.600]  真的是可悲可慘
[00:01:42.600 --> 00:01:49.600]  另外,英國和美國對他有極高的評價
[00:01:49.600 --> 00:01:54.600]  他不僅是中國當代所孕育的偉大人物
[00:01:54.600 --> 00:01:58.600]  而且綜合各方面的才能來看,根據英美所說
[00:01:58.600 --> 00:02:02.600]  他是全世界上一個世紀最特殊的人物
[00:02:02.600 --> 00:02:05.600]  美國人就有這樣對他的評論
[00:02:05.600 --> 00:02:08.600]  以文人來說,他是卓越的
[00:02:08.600 --> 00:02:15.600]  以軍人來說,他是在重要的戰役中為中國做了有價值的貢獻
[00:02:15.600 --> 00:02:18.600]  從政的來說,他是一個地球上
[00:02:18.600 --> 00:02:22.600]  最古老的國家,人口最多的國家裏面
[00:02:22.600 --> 00:02:26.600]  提供了供應有用的設施
[00:02:26.600 --> 00:02:31.600]  以一個外交家來說,他的成就成為了
[00:02:31.600 --> 00:02:36.600]  在外交史上名列前茅的人
[00:02:36.600 --> 00:02:42.600]  事實上,英美的國家可以說對他的評價非常高
[00:02:42.600 --> 00:02:44.600]  還有慈禧太后
[00:02:44.600 --> 00:02:51.600]  當慈禧太后因為八國聯軍義和團事件
[00:02:51.600 --> 00:02:55.600]  要逃跑,在她流蕩的日子當中
[00:02:55.600 --> 00:03:00.600]  最後停息了,由西安回到京中的時候
[00:03:00.600 --> 00:03:05.600]  聽見李鴻章病危的消息,不禁流淚
[00:03:05.600 --> 00:03:11.600]  大局未定,堂有不測,再無人同我分擔
[00:03:11.600 --> 00:03:15.600]  可見慈禧太后當中,心中來說
[00:03:15.600 --> 00:03:19.600]  李鴻章是晚清一個非常重要的人物
[00:03:19.600 --> 00:03:23.600]  所以我們會問,李鴻章是好人還是壞人呢?
[00:03:23.600 --> 00:03:27.600]  是忠就因為家,正如我上次所說
[00:03:27.600 --> 00:03:32.600]  不可以太簡化,每個時代有其特色背景原因
[00:03:32.600 --> 00:03:36.600]  往往從政者是人在江湖身不由己
[00:03:36.600 --> 00:03:39.600]  尤其是馬關條約,伸走條約為例
[00:03:39.600 --> 00:03:44.600]  中國打敗仗始終要有人去簽喪權辱國條約
[00:03:44.600 --> 00:03:48.600]  如果我們將所有責任推在李鴻章身上,是不對的
[00:03:48.600 --> 00:03:51.600]  所以國家興亡,匹夫有責
[00:03:51.600 --> 00:03:55.600]  而且我們研究歷史的時候,並不可以很簡單
[00:03:55.600 --> 00:03:59.600]  將一個人列為忠或奸,是好人或壞人
[00:03:59.600 --> 00:04:02.600]  他有好的,也有值得傷害的
[00:04:02.600 --> 00:04:06.600]  不過我們最重要是從史實來看
[00:04:06.600 --> 00:04:09.600]  我們看看李鴻章的生平是什麼
[00:04:09.600 --> 00:04:12.600]  李鴻章是1923年2月15日
[00:04:12.600 --> 00:04:15.600]  在安徽的合肥人士
[00:04:15.600 --> 00:04:17.600]  是晚清的名臣
[00:04:17.600 --> 00:04:22.600]  他建立了第一支西式的海軍,所謂北洋水師
[00:04:22.600 --> 00:04:24.600]  又創立了淮軍
[00:04:24.600 --> 00:04:28.600]  經歷過太平天國
[00:04:28.600 --> 00:04:37.600]  聯軍,洋務運動,中法戰爭,甲午戰爭,義和團運動等等的經歷
[00:04:37.600 --> 00:04:42.600]  就是說如果你想我們看看近代史,尤其是清末民初的時候
[00:04:42.600 --> 00:04:44.600]  影響一定要看李鴻章
[00:04:44.600 --> 00:04:49.600]  李鴻章的經歷可以說是跟這些所有的大戰爭
[00:04:49.600 --> 00:04:51.600]  大條約裡面息息相關
[00:04:51.600 --> 00:04:57.600]  無論是太平天國,甲午戰爭,中法之戰,義和團事件
[00:04:57.600 --> 00:04:59.600]  有一樣很有趣的
[00:04:59.600 --> 00:05:01.600]  我先前說過
[00:05:01.600 --> 00:05:03.600]  英美對他的評價很多
[00:05:03.600 --> 00:05:08.600]  他曾經是英國女王維多利亞授予的維多利亞勳章
[00:05:08.600 --> 00:05:11.600]  在杜江22年
[00:05:11.600 --> 00:05:14.600]  他考科舉中了舉人
[00:05:14.600 --> 00:05:17.600]  但在會試當中就落地了
[00:05:17.600 --> 00:05:19.600]  在京城當中
[00:05:19.600 --> 00:05:21.600]  他於是就投靠曾國藩
[00:05:21.600 --> 00:05:25.600]  在曾國藩的家裏補習和受教
[00:05:25.600 --> 00:05:29.600]  他再考過,24歲的時候就考進士
[00:05:29.600 --> 00:05:32.600]  選入了翰林院做官
[00:05:32.600 --> 00:05:34.600]  負責編修的工作
[00:05:34.600 --> 00:05:38.600]  但他對這些機械式八股的工作
[00:05:38.600 --> 00:05:40.600]  這樣的生活方式
[00:05:40.600 --> 00:05:42.600]  就頗為憎惡的
[00:05:42.600 --> 00:05:46.600]  時常覺得有些所謂英雄無用武之地
[00:05:46.600 --> 00:05:48.600]  剛剛時勢來到了
[00:05:48.600 --> 00:05:50.600]  色夕太平天國爆發
[00:05:50.600 --> 00:05:52.600]  朝廷國家軍隊不堪一擊
[00:05:52.600 --> 00:05:56.600]  朝廷只要借用民間的力量去平亂
[00:05:56.600 --> 00:05:59.600]  容許組織和建軍
[00:05:59.600 --> 00:06:03.600]  曾國藩就在湖南建了商軍
[00:06:03.600 --> 00:06:05.600]  李鴻章回到安徽的時候
[00:06:05.600 --> 00:06:07.600]  也組織了淮軍
[00:06:07.600 --> 00:06:09.600]  而且打了幾場勝仗
[00:06:09.600 --> 00:06:11.600]  朝廷就升他做四品官
[00:06:11.600 --> 00:06:13.600]  但就因為這樣的緣故
[00:06:13.600 --> 00:06:15.600]  就引起了妒忌
[00:06:15.600 --> 00:06:19.600]  其中滿族的欽差大臣
[00:06:19.600 --> 00:06:21.600]  姓保就參了李鴻章一本
[00:06:21.600 --> 00:06:23.600]  說他貪生怕死
[00:06:23.600 --> 00:06:25.600]  兵敗走佬
[00:06:25.600 --> 00:06:31.600]  而安徽巡撫福濟就乘機奪走了李鴻章的兵權
[00:06:31.600 --> 00:06:33.600]  李鴻章在失意之餘
[00:06:33.600 --> 00:06:35.600]  就投靠曾國藩
[00:06:35.600 --> 00:06:37.600]  剛剛在這個時候
[00:06:37.600 --> 00:06:40.600]  太平天國內空發生天經事變
[00:06:40.600 --> 00:06:42.600]  商軍開始反敗為勝
