
[00:00:00.000 --> 00:00:06.200]  感謝主來到培靈會第三堂聚會
[00:00:06.200 --> 00:00:11.400]  再次為上帝給我機會和平安方堂弟兄姊妹分享
[00:00:11.400 --> 00:00:13.600]  我獻上衷心的感恩
[00:00:13.600 --> 00:00:17.600]  為你們有這麼好的傳統看重上帝的說話
[00:00:17.600 --> 00:00:21.400]  並且每年都有培靈會的時間
[00:00:21.400 --> 00:00:22.400]  我獻上感恩
[00:00:22.400 --> 00:00:26.200]  也為你們有這麼好的弟兄姊妹與秘師班
[00:00:26.200 --> 00:00:29.200]  帶領我們一起敬拜上帝
[00:00:29.200 --> 00:00:35.000]  以及很難得的機會能夠聯合這麼多堂會
[00:00:35.000 --> 00:00:37.200]  一起在這裡學習 一起敬拜
[00:00:37.200 --> 00:00:39.600]  我為著你們獻上衷心的感恩
[00:00:39.600 --> 00:00:49.200]  我們再次將博路神學院的文案帶給大家
[00:00:49.200 --> 00:00:56.000]  我再提一提博路神學院在過去大約五年的時間
[00:00:56.000 --> 00:01:00.800]  從很久很久的校舍九龍塘在五十年代開始
[00:01:00.800 --> 00:01:04.200]  搬到美孚新邨給我們更好的發展獻上感恩
[00:01:04.200 --> 00:01:06.400]  如果大家想收到我們的資訊
[00:01:06.400 --> 00:01:09.400]  可以看這個QR code或上我們的網頁
[00:01:09.400 --> 00:01:13.200]  我再提一提有一個行在社區福音的課程
[00:01:13.200 --> 00:01:17.600]  是一個證書課程 是一個普及的信徒課程
[00:01:17.600 --> 00:01:21.200]  我希望平安方堂有這麼好的傳統
[00:01:21.200 --> 00:01:28.000]  能夠將你們的信仰和教會所身處的社區結合
[00:01:28.000 --> 00:01:31.000]  在那裡做一個更好的明亮的燈台
[00:01:31.000 --> 00:01:34.600]  如果你有興趣 無論是你一個人或一群人一起來參加
[00:01:34.600 --> 00:01:35.800]  我們都歡迎的
[00:01:35.800 --> 00:01:39.200]  這段時間我不容許我太多介紹
[00:01:39.200 --> 00:01:42.800]  今天和大家看第三個題目
[00:01:42.800 --> 00:01:46.400]  就是洪爐下的盼望
[00:01:46.400 --> 00:01:49.400]  我們看了信心 愛心 盼望
[00:01:49.400 --> 00:01:54.200]  這三個都是基督徒很核心的信仰元素
[00:01:54.200 --> 00:01:57.200]  信心 愛心 盼望
[00:01:57.200 --> 00:01:59.200]  我先問大家兩個問題
[00:01:59.200 --> 00:02:01.200]  你不用舉手回答我
[00:02:01.200 --> 00:02:02.800]  你在心裡回答就好
[00:02:02.800 --> 00:02:05.800]  誠實地回答我以下兩個問題
[00:02:05.800 --> 00:02:09.400]  然後散會後可以問問旁邊的人
[00:02:09.400 --> 00:02:11.000]  你怎樣回答這兩個問題
[00:02:11.000 --> 00:02:13.000]  散會之後
[00:02:13.000 --> 00:02:18.000]  然後你又猜一下對方猜你的答案
[00:02:18.000 --> 00:02:22.000]  是否和你自己想的答案是一樣的
[00:02:22.000 --> 00:02:24.000]  你會發現很有趣的現象
[00:02:24.000 --> 00:02:26.000]  你是這樣想自己
[00:02:26.000 --> 00:02:29.000]  但可能周圍的人不是這樣去吸收
[00:02:29.000 --> 00:02:31.000]  你是這樣的人也不一定
[00:02:31.000 --> 00:02:33.000]  這兩個問題是什麼呢
[00:02:33.000 --> 00:02:35.000]  請你在心裡回答
[00:02:35.000 --> 00:02:37.000]  請問整體上來說
[00:02:37.000 --> 00:02:46.000]  你覺得你自己基本上是一個較多放出正能量的人
[00:02:46.000 --> 00:02:53.000]  還是很容易有負能量散發到你周圍的人呢
[00:02:53.000 --> 00:02:55.000]  一般來說
[00:02:55.000 --> 00:02:57.000]  你整體上解剖
[00:02:57.000 --> 00:03:03.000]  你是放出正能量多還是負能量多呢
[00:03:03.000 --> 00:03:12.000]  想到了吧
[00:03:12.000 --> 00:03:14.000]  要不要找一些示範的答案
[00:03:14.000 --> 00:03:16.000]  不用了
[00:03:16.000 --> 00:03:18.000]  第二條問題
