
[00:00:00.000 --> 00:00:09.180]  昨天上午我終於明白為什麼簡牧師找了我
[00:00:09.180 --> 00:00:15.140]  星期天今天在聯合崇拜港獨之後
[00:00:15.140 --> 00:00:21.180]  他又告訴我 施敬 我們想開多個陪寧會
[00:00:21.180 --> 00:00:26.860]  簡牧師記得 早一個禮拜開 你行不行?
[00:00:26.860 --> 00:00:33.420]  我媽媽本來今天早上要來的 李師母88歲
[00:00:33.420 --> 00:00:41.920]  希唐60週年的聯合崇拜 結果她來不了
[00:00:41.920 --> 00:00:49.180]  因為昨天早上她院舍隔離房確診
[00:00:49.180 --> 00:00:54.300]  他們需要有10天的隔離時間
[00:00:54.300 --> 00:00:59.420]  在自己的房間不准出來 我媽媽很開心
[00:00:59.420 --> 00:01:02.360]  她說我終於可以聽到你說了
[00:01:02.360 --> 00:01:07.360]  不僅是今天 還有未來港九陪寧會
[00:01:07.360 --> 00:01:10.480]  11點是院舍吃飯的時候
[00:01:10.480 --> 00:01:13.680]  現在好了 不用出去吃飯
[00:01:13.680 --> 00:01:15.980]  但是我更加感謝神
[00:01:15.980 --> 00:01:21.160]  如果不是上個星期六 是昨天陪寧會
[00:01:21.160 --> 00:01:24.340]  她也來不了
[00:01:24.340 --> 00:01:31.240]  錯過了60週年的感恩聚會
[00:01:31.240 --> 00:01:36.900]  天父早就知道了 感謝主
[00:01:36.900 --> 00:01:42.240]  簡牧師跟我解釋 又有直播 又有實體
[00:01:42.240 --> 00:01:45.540]  我明白他的意思 當然沒有這麼多人來
[00:01:45.540 --> 00:01:49.080]  感謝主 又有直播 又有實體
[00:01:49.080 --> 00:01:52.360]  感謝主 又有直播 又有實體
[00:01:52.360 --> 00:01:55.040]  我媽媽現在可以參加
[00:01:55.040 --> 00:01:59.840]  跟我們一起歸榮耀給天父
[00:01:59.840 --> 00:02:09.080]  感謝主 所以今天容許我先跟大家一起去掃墓
[00:02:09.080 --> 00:02:16.720]  這是何爾斯教士在美國加利福尼亞州
[00:02:16.720 --> 00:02:20.280]  聖塔巴伯的墓園
[00:02:20.280 --> 00:02:27.800]  很簡單的一個石碑在草地上
[00:02:27.800 --> 00:02:37.360]  記載了主的侍女生出的年份
[00:02:37.360 --> 00:02:40.320]  這是2018年11月
[00:02:40.320 --> 00:02:45.480]  我有機會去到洛杉磯主令陪寧會
[00:02:45.480 --> 00:02:49.800]  參加中晨美國董事會的年會
[00:02:49.800 --> 00:02:55.700]  中間有星期一到星期三的空檔
[00:02:55.700 --> 00:02:58.780]  我上網發現原來是很好的
[00:02:58.780 --> 00:03:04.120]  你將人名輸入那個記錄
[00:03:04.120 --> 00:03:11.540]  它就會告訴你安葬的墓園和位置
[00:03:11.540 --> 00:03:15.420]  還有地圖 所以我們開車去到
[00:03:15.420 --> 00:03:26.180]  按住指示真的找到何教士安葬很簡單的墓碑的地方
[00:03:26.180 --> 00:03:28.980]  如果不知道是找不到的
[00:03:28.980 --> 00:03:34.480]  在地上根本看不到 但是它就在路邊
[00:03:34.480 --> 00:03:41.500]  我們的車停在路邊第一個墓碑
[00:03:41.500 --> 00:03:44.300]  何爾斯教士的一生
[00:03:44.300 --> 00:03:50.980]  其實感謝神 蒙神使用
[00:03:50.980 --> 00:03:59.260]  成為我們今天坐在這裏每一位弟兄姊妹的祝福
[00:03:59.260 --> 00:04:02.900]  何教士的墓園
[00:04:02.900 --> 00:04:07.640]  你可以看到其實很美麗的
[00:04:07.640 --> 00:04:12.100]  在聖塔維拉的城外
[00:04:12.100 --> 00:04:17.300]  再看遠一點看不看到
[00:04:17.300 --> 00:04:22.280]  在樹木中間其實是太平洋的了
[00:04:22.280 --> 00:04:30.160]  這邊是聖塔維拉的城市的海邊
[00:04:30.160 --> 00:04:37.340]  另外一邊其實就是望過去中國
[00:04:37.340 --> 00:04:42.760]  我們既然去到何教士的故鄉
[00:04:42.760 --> 00:04:44.880]  我們就去找
