
[00:00:00.000 --> 00:00:06.640]  在兩千年教會的歷史當中
[00:00:06.640 --> 00:00:14.760]  最出名的母親一定是瑪利亞
[00:00:14.760 --> 00:00:21.440]  甚至羅馬天主教會稱她為聖母
[00:00:21.440 --> 00:00:24.520]  我們在中國人的傳統
[00:00:24.520 --> 00:00:30.600]  說聖人就不得了 最厲害
[00:00:30.600 --> 00:00:37.120]  但其實教會稱呼瑪利亞
[00:00:37.120 --> 00:00:42.600]  最早的不是說聖母
[00:00:42.600 --> 00:00:48.360]  而是說上帝的母親
[00:00:48.360 --> 00:00:51.560]  希臘文Theotokos
[00:00:51.560 --> 00:00:57.000]  你知道Theos是神 Tokos是母親
[00:00:57.000 --> 00:01:01.640]  這當然是討論耶穌基督的身份
[00:01:01.640 --> 00:01:05.440]  祂不僅是人 祂不僅是聖人
[00:01:05.440 --> 00:01:10.120]  所以瑪利亞不僅是聖人的母親
[00:01:10.120 --> 00:01:13.960]  她自己也很神聖的 叫聖母
[00:01:13.960 --> 00:01:19.080]  教會認定耶穌基督是神的兒子
[00:01:19.080 --> 00:01:25.040]  教會認定耶穌基督是三一真神
[00:01:25.040 --> 00:01:27.760]  聖子耶穌
[00:01:27.760 --> 00:01:31.960]  所以瑪利亞是耶穌的母親
[00:01:31.960 --> 00:01:34.080]  耶穌是神
[00:01:34.080 --> 00:01:39.960]  瑪利亞就是神的母親
[00:01:39.960 --> 00:01:41.720]  聖經有沒有這樣說?
[00:01:41.720 --> 00:01:43.480]  剛才你聽的時候
[00:01:43.480 --> 00:01:47.520]  有沒有留意到路加福音第一章的記載?
[00:01:47.520 --> 00:01:52.840]  伊麗莎白怎樣稱呼瑪利亞?
[00:01:52.840 --> 00:01:57.640]  她說:我主的母親
[00:01:57.640 --> 00:02:07.560]  「我主」這是猶太人稱呼上帝的名字
[00:02:07.560 --> 00:02:09.840]  當然我們會問
[00:02:09.840 --> 00:02:15.880]  「同類懷孕真還是假?」
[00:02:15.880 --> 00:02:17.640]  如果是真的
