
[00:00:00.000 --> 00:00:09.000]  上一次我們講了使徒行傳的第三章、第四章
[00:00:09.000 --> 00:00:12.000]  今天要講第五章和第六章
[00:00:12.000 --> 00:00:14.500]  講到第三、第四章的時候
[00:00:14.500 --> 00:00:18.500]  我們講到撒旦開始攻擊教會
[00:00:18.500 --> 00:00:20.500]  開始攻擊使徒
[00:00:20.500 --> 00:00:23.500]  但是當撒旦越是攻擊的時候
[00:00:23.500 --> 00:00:26.500]  使徒就越加落力來傳福音
[00:00:26.500 --> 00:00:30.500]  所以撒旦說我要改變我的戰略
[00:00:30.500 --> 00:00:33.000]  外在的這些攻擊不成功
[00:00:33.000 --> 00:00:37.500]  我就要向教會裡面的人來買手
[00:00:37.500 --> 00:00:41.500]  撒旦的計劃是非常狡猾
[00:00:41.500 --> 00:00:46.000]  他有時候好像咆哮的獅子在外面來攻擊
[00:00:46.000 --> 00:00:49.000]  基督徒也好、教會也好
[00:00:49.000 --> 00:00:52.500]  但是有時候他會在裡面來攻擊
[00:00:52.500 --> 00:00:55.500]  攻擊教會裡面的人
[00:00:55.500 --> 00:00:58.500]  所以他的攻擊有時候就好像聖經所說
[00:00:58.500 --> 00:01:02.000]  好像咆哮的獅子外在的攻擊
[00:01:02.000 --> 00:01:05.500]  但是有時候也會好像鬼咋的蛇
[00:01:05.500 --> 00:01:11.500]  甚至好像光明的天使來誘惑信徒來犯罪
[00:01:11.500 --> 00:01:16.000]  早期教會撒旦的攻擊
[00:01:16.000 --> 00:01:19.000]  就好像梅花間竹的手法
[00:01:19.000 --> 00:01:24.000]  軟硬兼施使教會內憂外患
[00:01:24.500 --> 00:01:26.500]  有一樣很有趣的東西
[00:01:26.500 --> 00:01:30.500]  在第五第六章你會發覺有很多的對比
[00:01:30.500 --> 00:01:33.500]  外在的攻擊、內在的攻擊
[00:01:33.500 --> 00:01:37.500]  等一下我們會看到有更多的對比
[00:01:37.500 --> 00:01:41.500]  其實撒旦對早期教會的攻擊
[00:01:41.500 --> 00:01:46.500]  和現在對教會基督徒的攻擊都很相似
[00:01:46.500 --> 00:01:53.500]  很多人說這個世界上一半的苦難都是從哪裡來的
[00:01:53.500 --> 00:01:57.500]  都是由人希望變成另外一個人
[00:01:57.500 --> 00:01:59.500]  但是他做不到
[00:01:59.500 --> 00:02:02.500]  耶穌叫這些做假冒為善
[00:02:02.500 --> 00:02:07.500]  就是戴著假面具扮演另外的一個角色
[00:02:07.500 --> 00:02:11.500]  我這裡不是說有一個人不夠屬靈
[00:02:11.500 --> 00:02:13.500]  一個基督徒不夠屬靈
[00:02:13.500 --> 00:02:16.500]  他是希望自己變得更加屬靈
[00:02:16.500 --> 00:02:18.500]  而不能夠這麼快做得到
[00:02:18.500 --> 00:02:20.500]  每一個人每一個基督徒
[00:02:20.500 --> 00:02:23.500]  我們都應該越來越像耶穌基督
[00:02:23.500 --> 00:02:25.500]  但是這個過程是很慢
[00:02:25.500 --> 00:02:27.500]  不是這麼容易做到
[00:02:27.500 --> 00:02:29.500]  我不是說這些
[00:02:29.500 --> 00:02:32.500]  我是說扮演另外一個角色
[00:02:32.500 --> 00:02:35.500]  就是扮演到自己好像很屬靈一樣
[00:02:35.500 --> 00:02:40.500]  這個就是亞拿尼亞薩菲拉他們的問題
[00:02:40.500 --> 00:02:42.500]  他們變賣了自己的家財
[00:02:42.500 --> 00:02:44.500]  但是拿起一部分
[00:02:44.500 --> 00:02:49.500]  然後就說將所有的財產已經拿出來給教會
[00:02:49.500 --> 00:02:52.500]  有人會覺得很驚訝
[00:02:52.500 --> 00:02:57.500]  為什麼神會處罰亞拿尼亞薩菲拉
[00:02:57.500 --> 00:03:00.500]  甚至將他們當場擊殺
[00:03:00.500 --> 00:03:03.500]  有人覺得他們捐錢而已
[00:03:03.500 --> 00:03:05.500]  雖然沒有捐出來
[00:03:05.500 --> 00:03:07.500]  但是都捐了很多
[00:03:07.500 --> 00:03:09.500]  為什麼要擊殺他們
[00:03:09.500 --> 00:03:12.500]  其實這裡我們看到問題是什麼
[00:03:12.500 --> 00:03:16.500]  他們與其應該被聖靈來充滿
[00:03:16.500 --> 00:03:18.500]  就好像其他的使徒一樣
[00:03:18.500 --> 00:03:22.500]  但是他們被撒旦充滿了他們的心
[00:03:22.500 --> 00:03:26.500]  在使徒行傳的五章三節告訴我們
[00:03:26.500 --> 00:03:29.500]  撒旦充滿了他們的心
[00:03:29.500 --> 00:03:33.500]  你說撒旦可以充滿基督徒的心嗎
[00:03:33.500 --> 00:03:38.500]  基督徒是不能被鬼上身
[00:03:38.500 --> 00:03:40.500]  為什麼
[00:03:40.500 --> 00:03:43.500]  因為當鬼魔來敲門的時候
[00:03:43.500 --> 00:03:45.500]  是誰來應門
[00:03:45.500 --> 00:03:47.500]  是聖靈來應門
[00:03:47.500 --> 00:03:49.500]  一個真正的基督徒
[00:03:49.500 --> 00:03:51.500]  我們的身上是有聖靈
[00:03:51.500 --> 00:03:54.500]  所以基督徒不可能被鬼上身
[00:03:54.500 --> 00:03:58.500]  但是絕對基督徒能夠被撒旦影響
[00:03:58.500 --> 00:04:02.500]  所以在《說爾忽所書》的第六章
[00:04:02.500 --> 00:04:06.500]  保羅叫我們要穿上全套軍裝
