
[00:00:00.000 --> 00:00:16.060]  以佛所書我們已經去到第五講,今天的題目很有趣,叫做拆牆廢規遺要合一
[00:00:16.060 --> 00:00:23.100]  怎樣拆牆,怎樣廢規法,等陣會和大家仔細地解釋
[00:00:23.100 --> 00:00:29.420]  我們先看一看第一和第二張以佛所書的分別在哪裏
[00:00:29.420 --> 00:00:36.420]  我們講了第一張是講個人的立場,我們講到保羅告訴他們
[00:00:36.420 --> 00:00:46.060]  我們每一個基督徒都是很有福分,神是滿滿地給我們每一個基督徒有從他而來的福氣
[00:00:46.060 --> 00:00:53.520]  這是個人的立場,但是在第二張開始就是講集體的立場
[00:00:53.520 --> 00:00:59.380]  如果你記得我上次和大家講以佛所書的二章一至十節
[00:00:59.380 --> 00:01:06.360]  我們所有基督徒都是寧靈死亡的人以前未接受耶穌基督的時候
[00:01:06.360 --> 00:01:13.860]  我們都是死在罪惡禍犯當中,是耶穌基督使我們復活
[00:01:13.860 --> 00:01:25.860]  一講起復活,相信大家就會想到我們將來在天上有復活的身體,有榮耀的身體,永遠和神同在
[00:01:25.860 --> 00:01:34.360]  但是這第二章不是講個人,不是講天上復活的身體
[00:01:34.360 --> 00:01:41.360]  是講地上原來有復活的身體,而這個身體就是耶穌基督的身體
[00:01:41.360 --> 00:01:51.860]  我們在主內合一成為耶穌基督的身體,這就是今天的信息,以佛所書的二章十一至二十二節
[00:01:51.860 --> 00:02:00.860]  其實在主內我們有合一的身體,在聖經裡面有很多經文都告訴我們
[00:02:00.860 --> 00:02:06.360]  例如在哥倫多前書的十二章十二至十三節
[00:02:06.360 --> 00:02:15.360]  經文說:就如身子是一個,卻有許多肢體,而且肢體雖多,仍是一個身子
[00:02:15.360 --> 00:02:23.360]  基督也是這樣,我們不屈是猶太人,是希利利人,是為奴的,是自主的
[00:02:23.360 --> 00:02:30.360]  都從一位聖靈受洗,成了一個身體,飲於一位聖靈
[00:02:30.360 --> 00:02:37.360]  我們看到這個合一的身體,正是以佛所書其中一個很重要的主題
[00:02:37.360 --> 00:02:48.360]  我以前都和大家講過,以佛所書的二章七節,說神要將我們基督徒還要給後來世代的人看
[00:02:48.360 --> 00:02:56.360]  我也講過,在三章十節,神要將我們還要給天士看
[00:02:56.360 --> 00:03:05.360]  看什麼?是要看我們在耶穌基督裡面有一個合一的肢體,將耶穌基督的愛活出來
[00:03:05.360 --> 00:03:11.360]  讓世人看到神的智慧,將榮耀還讚歸給神
[00:03:11.360 --> 00:03:22.360]  這個也是原因,為什麼我在疫情當中這麼著緊,這麼肉緊,要快點實體回來敬拜
[00:03:22.360 --> 00:03:28.360]  你說我在網上,透過zoom我都可以敬拜神
[00:03:28.360 --> 00:03:33.360]  但是你想想,世人能不能看到我們?見不到我們
[00:03:33.360 --> 00:03:38.360]  我們要一個合一的身體回來敬拜世人才能夠看得到
[00:03:38.360 --> 00:03:46.360]  這個也是希伯來書十章二十五節告訴我們,要我們不可停止聚會
[00:03:46.360 --> 00:03:53.360]  如果夠熟得救,只不過是個人的事,很多基督徒都是這樣說
[00:03:53.360 --> 00:03:59.360]  如果真的這樣,我們根本就不需要有以忽所書這一本書
[00:03:59.360 --> 00:04:08.360]  經文告訴我們,基督徒都是耶穌基督的肢體
[00:04:08.360 --> 00:04:17.360]  我們每一個基督徒都有神的靈在我們身上,帶領我們成為一個身體
[00:04:17.360 --> 00:04:22.360]  耶穌基督是我們的頭,我們是耶穌基督的肢體
[00:04:22.360 --> 00:04:30.360]  神是帶領不同的人來到教會,有不同的種族,不同的背景,不同的文化
[00:04:30.360 --> 00:04:38.360]  但是很可惜,也是因為有不同的文化,不同的背景,甚至人與人之間的分歧
[00:04:38.360 --> 00:04:45.360]  以致帶來教會有很多的不和,很多時候我們都看到教會是會分裂
[00:04:45.360 --> 00:04:51.360]  猶太人和外邦人的不和,就是一個典型的例子
[00:04:51.360 --> 00:05:01.360]  其實如果我們看聖經的話,我們見到真是無可否認以色列人是被神揀選的民族
[00:05:01.360 --> 00:05:08.360]  在《庶爾佛》所書的二章十一至十二節,說從前外邦人是與基督無關
[00:05:08.360 --> 00:05:18.360]  在以色列國民以外,在所允許的約上是局外人,並且活在世上沒有指望,沒有神
