
[00:00:00.000 --> 00:00:03.000]  (音)
[00:00:03.000 --> 00:00:07.600]  天父,我們懷著一個歡喜快樂的心來到你面前,來讀你的話語
[00:00:07.600 --> 00:00:11.840]  我們感謝你透過中心的先知,好像以西傑
[00:00:11.840 --> 00:00:15.000]  將你所吩咐他的話全部寫下來
[00:00:15.000 --> 00:00:20.920]  不單只是為了當代的以色列人,亦都是今天來向我們說話
[00:00:20.920 --> 00:00:25.720]  所以當我們查考的時候,求主你向我們每一個人說話
[00:00:25.720 --> 00:00:28.800]  讓聖靈在這裡做教導的工作
[00:00:28.800 --> 00:00:33.280]  讓我們一起都在你的話語裏面能夠得到力量
[00:00:33.280 --> 00:00:36.800]  我們將以下的時間功益交給你手中,求主你帶領
[00:00:36.800 --> 00:00:40.400]  基督共處,耶穌基督明求,阿門
[00:00:40.400 --> 00:00:45.240]  我們今天去到以西傑書最後一段
[00:00:45.240 --> 00:00:52.160]  第40章至到第48章全部是指向將來的
[00:00:52.160 --> 00:00:57.400]  即是40章到48章裏面所說的東西是全部未發生的
[00:00:57.400 --> 00:01:02.520]  裏面沒有一件事在歷史上已經出現了
[00:01:02.520 --> 00:01:07.640]  所以40章到48章全部是預言,而且很明顯
[00:01:07.640 --> 00:01:11.800]  這些預言是指向將來千禧年
[00:01:11.800 --> 00:01:17.800]  我們用一兩堂的時間,我們就覆蓋了這九章
[00:01:17.800 --> 00:01:24.680]  但是其實我去過一些特會,它說這九章
[00:01:24.680 --> 00:01:26.840]  可以說整個月的
[00:01:26.840 --> 00:01:30.600]  因為裏面每一樣東西,如果你用靈異解釋
[00:01:30.600 --> 00:01:34.200]  你都可以說這件代表什麼,那件代表什麼
[00:01:34.200 --> 00:01:36.920]  這裏這樣說就是怎樣
[00:01:36.920 --> 00:01:39.160]  那我不能夠說它錯的
[00:01:39.160 --> 00:01:43.160]  但是你問它是怎樣根據的
[00:01:43.160 --> 00:01:45.640]  沒人法可以告訴你
[00:01:45.640 --> 00:01:49.000]  但如果我們照字面解釋的時候
[00:01:49.000 --> 00:01:52.600]  它這樣說,我們就是這樣解釋
[00:01:52.600 --> 00:01:56.760]  那就比較是沒那麼容易錯
[00:01:56.760 --> 00:01:59.240]  也不需要花那麼多時間
[00:01:59.240 --> 00:02:03.080]  特別是裏面說到很多只是跟猶太人有關
[00:02:03.080 --> 00:02:08.120]  譬如梁朵聖殿,譬如他獻祭的時候那些禮儀
[00:02:08.120 --> 00:02:11.880]  那些對我們來說,如果你真的要研究的話
[00:02:11.880 --> 00:02:14.360]  你是可以用很多很多時間去研究的
[00:02:14.360 --> 00:02:17.480]  但是for我們的purpose,我們就不需要了
[00:02:17.480 --> 00:02:19.880]  我們就照字面解釋
[00:02:19.880 --> 00:02:23.240]  我在努斯的第一段那裏
[00:02:23.240 --> 00:02:27.320]  我先把這40張到48張
[00:02:27.320 --> 00:02:30.760]  裏面主要是講8樣東西的
[00:02:30.760 --> 00:02:36.200]  我們很快出來看一看,全部是指向千禧年的時候
[00:02:36.200 --> 00:02:38.760]  所以如果沒有千禧年
[00:02:38.760 --> 00:02:41.720]  這9張的聖經是全部不make sense的
[00:02:41.720 --> 00:02:45.160]  我們連啟示錄第20章
[00:02:45.160 --> 00:02:48.680]  神講了6次1000年
