
[00:00:00.000 --> 00:00:07.700]  謝謝黃牧師 《泰出有道》是一個系列來的
[00:00:07.700 --> 00:00:11.000]  都有幾堂 我今早很早起床
[00:00:11.000 --> 00:00:15.000]  因為昨晚香港回來 今早我4點鐘就起床
[00:00:15.000 --> 00:00:16.840]  因為有感動
[00:00:16.840 --> 00:00:20.340]  我上次的表題無錯 忘記了是父親節
[00:00:20.340 --> 00:00:24.400]  我一篇很舊的道就講過「針研中父親」
[00:00:24.400 --> 00:00:26.240]  我今早起床就有時間
[00:00:26.240 --> 00:00:30.040]  提供了一些東西 做了一個PowerPoint
[00:00:30.040 --> 00:00:34.040]  很有感動 不過我不知道教會會不會定了就不准改
[00:00:34.040 --> 00:00:36.440]  所以我不敢說一定
[00:00:36.440 --> 00:00:38.140]  所以我打了兩篇講章來
[00:00:38.140 --> 00:00:41.540]  問黃牧師 黃牧師說沒問題 行的
[00:00:41.540 --> 00:00:46.440]  很配合今天的崇拜 嘗試
[00:00:46.440 --> 00:00:50.740]  更配合黃牧師的分享
[00:00:50.740 --> 00:00:52.160]  不知道大家有沒有看到
[00:00:52.160 --> 00:00:57.160]  「爸爸真愛你」很短很有意思 很真誠
[00:00:57.160 --> 00:01:03.760]  做父親 父親節其實不多講的
[00:01:03.760 --> 00:01:07.960]  以前在我小時候的教會是沒有父親節的
[00:01:07.960 --> 00:01:11.260]  最近不知道是否外國流行多了父親節
[00:01:11.260 --> 00:01:12.960]  母親節是有的
[00:01:12.960 --> 00:01:17.560]  事實上父親節不是那麼被重視的
[00:01:17.560 --> 00:01:20.360]  母親節是很受重視的
[00:01:20.360 --> 00:01:22.960]  如果我們看母親節的歷史
[00:01:22.960 --> 00:01:25.860]  最早的母親節是在希臘人的時候
[00:01:25.860 --> 00:01:28.260]  早在2000多年
[00:01:28.260 --> 00:01:31.260]  美國母親節是1907年的時候
[00:01:31.260 --> 00:01:34.760]  有一位叫安娜·賈維斯提出來的
[00:01:34.760 --> 00:01:41.160]  很快的 她提出成為法律不夠五年
[00:01:41.160 --> 00:01:44.660]  就成為了法定的母親節
[00:01:44.660 --> 00:01:48.160]  但父親節都是這個時候
[00:01:48.160 --> 00:01:50.460]  因為剛剛提出母親節
[00:01:50.460 --> 00:01:54.160]  就有一個道德夫人
[00:01:54.160 --> 00:01:57.160]  她在美國華盛頓州的西邊
[00:01:57.160 --> 00:02:01.360]  她的媽媽很早就去世了
[00:02:01.360 --> 00:02:05.860]  六兄弟姐妹由她爸爸一手養大
[00:02:05.860 --> 00:02:07.560]  於是她就說
[00:02:07.560 --> 00:02:10.560]  為什麼有母親節而沒有父親節呢?
[00:02:10.560 --> 00:02:12.160]  於是就跟她教會的牧師講
[00:02:12.160 --> 00:02:14.360]  牧師就說 都有意思
[00:02:14.560 --> 00:02:17.160]  那會不會像母親節那樣
[00:02:17.160 --> 00:02:19.760]  成為一個法定的日子呢?
[00:02:19.760 --> 00:02:23.160]  提出來是由1909年提出來的
[00:02:23.160 --> 00:02:24.360]  剛剛我講過
[00:02:24.360 --> 00:02:26.760]  母親節提出來全國人都贊成
[00:02:26.760 --> 00:02:28.560]  好啊 有母親節好啊
[00:02:28.560 --> 00:02:29.560]  媽媽偉大啊
[00:02:29.560 --> 00:02:34.160]  媽媽是應該是媽媽帶大的
[00:02:34.160 --> 00:02:37.160]  但提出父親節呢
[00:02:37.160 --> 00:02:38.560]  很多人都懷疑
[00:02:38.560 --> 00:02:40.060]  為什麼父親節呢?
[00:02:40.060 --> 00:02:41.760]  爸爸都不像樣的
[00:02:41.760 --> 00:02:44.060]  又喝酒的
[00:02:44.060 --> 00:02:45.760]  很多爭議
[00:02:45.760 --> 00:02:48.560]  由1909年提出來
[00:02:48.560 --> 00:02:49.960]  就在美國裡面
[00:02:49.960 --> 00:02:51.360]  就有些州贊成
[00:02:51.360 --> 00:02:52.260]  有些州反對
[00:02:52.260 --> 00:02:53.860]  有些又要不要
[00:02:53.860 --> 00:02:58.960]  到什麼時候才正式成為父親節呢?
[00:02:58.960 --> 00:03:01.360]  是1972年
[00:03:01.360 --> 00:03:04.360]  爭持了60年了
[00:03:04.360 --> 00:03:07.660]  母親節和父親節差多遠呢?
[00:03:07.660 --> 00:03:08.760]  差很遠吧
[00:03:08.760 --> 00:03:10.760]  我們這些做爸爸的
[00:03:10.760 --> 00:03:13.160]  家裡沒什麼地位的
[00:03:13.160 --> 00:03:15.060]  你看回家的子女
[00:03:15.060 --> 00:03:16.760]  全部都跟媽媽的
[00:03:16.760 --> 00:03:18.460]  爸爸就沒什麼地位
[00:03:18.460 --> 00:03:20.660]  很淒涼的 是不是?
[00:03:20.660 --> 00:03:23.260]  今天講父親節這樣講不就挺好
[00:03:23.260 --> 00:03:24.460]  我們做父親的
[00:03:24.460 --> 00:03:27.760]  都要有一些革命性的
[00:03:27.760 --> 00:03:29.060]  所以呢
[00:03:29.060 --> 00:03:31.060]  實際上父親節是很遲
[00:03:31.060 --> 00:03:32.060]  不僅很遲
[00:03:32.060 --> 00:03:35.060]  而且還是一片的爭議之聲
[00:03:35.060 --> 00:03:37.460]  經過很長的時間
[00:03:37.460 --> 00:03:39.260]  到了1972年
[00:03:39.260 --> 00:03:41.660]  才正式成為了父親節
[00:03:41.660 --> 00:03:42.960]  為什麼?
[00:03:42.960 --> 00:03:44.360]  小時候
[00:03:44.360 --> 00:03:47.560]  為什麼我的電話一直關掉?
[00:03:47.560 --> 00:03:49.760]  小時候是沒有父親節的原因
[00:03:49.760 --> 00:03:50.460]  好了
[00:03:50.460 --> 00:03:53.360]  事實上呢
[00:03:53.360 --> 00:03:55.860]  父親節對很多人來說
[00:03:55.860 --> 00:04:00.160]  其實不是一個這麼快樂的日子
[00:04:00.160 --> 00:04:03.260]  因為事實上在今天做男人
[00:04:03.260 --> 00:04:04.960]  或者做父親
[00:04:04.960 --> 00:04:06.060]  其實都是不容易的
[00:04:06.060 --> 00:04:07.160]  很多壓力
[00:04:07.160 --> 00:04:10.160]  還有男人和女人不同
[00:04:10.160 --> 00:04:12.560]  男人含蓄的
[00:04:12.560 --> 00:04:14.960]  很多說話的
[00:04:14.960 --> 00:04:16.960]  和子女不是不想說
[00:04:16.960 --> 00:04:18.760]  你做爸爸知道的
[00:04:18.760 --> 00:04:21.560]  有時候不知道說什麼
[00:04:21.560 --> 00:04:23.660]  媽媽是容易說話的
[00:04:23.660 --> 00:04:27.860]  爸爸因為是被賦予了形象
[00:04:27.860 --> 00:04:30.560]  所以爸爸是教導的
[00:04:30.560 --> 00:04:32.060]  威嚴的
[00:04:32.060 --> 00:04:33.860]  所以子女是害怕的
[00:04:33.860 --> 00:04:35.560]  你知道家裡有小白臉
[00:04:35.560 --> 00:04:36.960]  有小黑臉
[00:04:36.960 --> 00:04:39.760]  通常媽媽就是慈母
[00:04:39.760 --> 00:04:41.560]  爸爸就是炎父
[00:04:41.560 --> 00:04:42.360]  你死不死
[00:04:42.360 --> 00:04:45.160]  這樣的角色就搞到父親在家裡
[00:04:45.160 --> 00:04:47.860]  就是很怕的
[00:04:47.860 --> 00:04:50.760]  還有工作壓力很大
[00:04:50.760 --> 00:04:52.860]  你知道現在又要出去工作
[00:04:52.860 --> 00:04:54.660]  又要去養妻活兒
[00:04:54.660 --> 00:04:56.360]  工作回來很累
[00:04:56.360 --> 00:05:03.260]  很累又很難和妻子、兒女溝通等等
[00:05:03.260 --> 00:05:05.060]  所以我們發現
[00:05:05.060 --> 00:05:07.160]  男人是不容易做的
[00:05:07.160 --> 00:05:09.160]  父親也不容易做
[00:05:09.160 --> 00:05:11.060]  家庭角色是一個問題
[00:05:11.060 --> 00:05:13.460]  怎麼做一個好的父親呢?
[00:05:13.460 --> 00:05:16.060]  實在不容易
[00:05:16.060 --> 00:05:20.260]  在性格上不容易
[00:05:20.260 --> 00:05:27.260]  我在香港的大埔音樂會教授
[00:05:27.260 --> 00:05:29.260]  有一個家庭
[00:05:29.260 --> 00:05:30.360]  有一個爸爸
[00:05:30.360 --> 00:05:31.760]  這個家庭其實
[00:05:31.760 --> 00:05:35.460]  我就問這樣的男人好不好?
[00:05:35.460 --> 00:05:36.860]  他教會信主的
[00:05:36.860 --> 00:05:38.160]  有一次他聽到信主的信
[00:05:38.160 --> 00:05:39.460]  信主接了他
[00:05:39.460 --> 00:05:42.860]  他說這個男人很愛家人
[00:05:42.860 --> 00:05:45.860]  大埔中心他買了一個單位
[00:05:45.860 --> 00:05:47.160]  他不寫自己名字
[00:05:47.160 --> 00:05:49.360]  寫了老婆的名字
[00:05:49.360 --> 00:05:51.160]  我是不是老婆?
[00:05:51.160 --> 00:05:53.860]  這間屋是他供的
[00:05:53.860 --> 00:05:56.060]  但是他說是屬於你的
[00:05:56.060 --> 00:05:57.460]  這間屋寫老婆的名字
[00:05:57.460 --> 00:05:59.460]  不寫自己名字
[00:05:59.460 --> 00:06:01.060]  兒女讀書
