
[00:00:00.000 --> 00:00:06.640]  大家好,聽不聽到?聽到很溫柔的聲音
[00:00:06.640 --> 00:00:12.080]  好,如何得輕鬆,挺好聽的
[00:00:12.080 --> 00:00:14.680]  我中了兩個字,一個魚字,一個得字
[00:00:14.680 --> 00:00:21.800]  今天很長的,弄到九點半的
[00:00:21.800 --> 00:00:23.800]  也不是很輕鬆,九點半
[00:00:23.800 --> 00:00:28.240]  可能你聽完之後,我知道有些很小年紀的坐在這裡的
[00:00:28.240 --> 00:00:32.960]  有沒有十歲以下的?
[00:00:32.960 --> 00:00:34.360]  有沒有?
[00:00:34.360 --> 00:00:39.160]  嘩,這麼快聽完,好,我會就著說
[00:00:39.160 --> 00:00:43.360]  一定不會令到你家裡有分裂的
[00:00:43.360 --> 00:00:46.680]  但是一說這些,有個危險的
[00:00:46.680 --> 00:00:50.440]  就是爸爸做錯什麼,媽媽做錯什麼,這些很危險的
[00:00:50.440 --> 00:00:54.320]  首先我要想一個廣告的時候
[00:00:54.320 --> 00:00:59.840]  我在想壓力的字,壓力是一個很特別的法文
[00:00:59.840 --> 00:01:06.520]  其實解釋就是,窄了的機會,當一些東西是少了
[00:01:06.520 --> 00:01:12.160]  比如假設,你看到香港最大的壓力就是找學校
[00:01:12.160 --> 00:01:16.240]  特別是心儀的學校,你第一選
[00:01:16.240 --> 00:01:17.880]  其實真的機會不是很大
[00:01:17.880 --> 00:01:21.400]  所以很多時候排到二十多三十多入學都不奇怪
[00:01:21.400 --> 00:01:23.440]  所以你那時候覺得壓力大
[00:01:23.440 --> 00:01:25.680]  其實不是說沒有機會讀書
[00:01:25.680 --> 00:01:28.560]  而是你想最好最好最好的時候
[00:01:28.560 --> 00:01:30.920]  香港是最好的地方
[00:01:30.920 --> 00:01:34.520]  跟我們以前小時候不同,以前有書讀就好了
[00:01:34.520 --> 00:01:38.600]  或者你讀水拔還是什麼,不要理的
[00:01:38.600 --> 00:01:40.280]  但是現在就不是了
[00:01:40.280 --> 00:01:44.080]  現在你發現到,如果不倒轉那一間就不好
[00:01:44.080 --> 00:01:48.880]  那感覺就是壓力了,就是說當你不隨便的時候
[00:01:48.880 --> 00:01:50.640]  你可能已經有壓力了
[00:01:50.640 --> 00:01:53.920]  比如你現在坐在這裡,你喜不喜歡這個位置都要坐的了
[00:01:53.920 --> 00:01:55.920]  沒得換的
[00:01:55.920 --> 00:01:59.080]  但問題就是,壓力最難解決的問題是什麼呢?
[00:01:59.080 --> 00:02:02.840]  就是壓力是不覺的東西來的
[00:02:02.840 --> 00:02:05.920]  到你覺已經是發生了
[00:02:05.920 --> 00:02:07.840]  所以有時候你說為什麼我這麼不開心
[00:02:07.840 --> 00:02:11.520]  或者為什麼我回到家裡心情這麼沉重
[00:02:11.520 --> 00:02:16.840]  其實你覺沉重,其實之前的因素已經出現了
[00:02:16.840 --> 00:02:18.800]  你是遲了知道的
[00:02:18.800 --> 00:02:21.400]  所以很多人覺得結了婚有壓力
[00:02:21.400 --> 00:02:23.560]  其實你拍拖應該知道的
[00:02:23.560 --> 00:02:27.600]  但有時候你是遲了知道的
[00:02:27.600 --> 00:02:30.600]  所以有時候你說,我現在覺得做爸爸很難
[00:02:30.600 --> 00:02:32.840]  其實你生孩子的時候應該知道的
[00:02:32.840 --> 00:02:34.680]  但有時候你是不知道的
[00:02:34.680 --> 00:02:36.320]  所以說怎麼應付壓力呢?
[00:02:36.320 --> 00:02:38.680]  說到底就是早一點知道
[00:02:38.680 --> 00:02:41.240]  早一點有些預備,要預備
[00:02:41.240 --> 00:02:45.560]  那你可以說,你不可以抵抗發生的事情
[00:02:45.560 --> 00:02:48.720]  但起碼你可以減低那個程度
[00:02:48.720 --> 00:02:50.720]  沒有變成這麼可怕
