
[00:00:00.000 --> 00:00:15.000]  我希望用三次崇拜跟大家一起去研讀新約的雅各書
[00:00:15.000 --> 00:00:21.000]  新約的雅各書可以說是最有舊約味道
[00:00:21.000 --> 00:00:28.000]  譬如好像《針研》、甚至《傳道書》那種特色
[00:00:28.000 --> 00:00:35.000]  雅各書充滿了智慧和實質的提醒
[00:00:35.000 --> 00:00:41.000]  這也會成為我們這幾次在講道中特別強調的地方
[00:00:41.000 --> 00:00:49.000]  我看雅各書裡面有三個經常重複出現的主題
[00:00:49.000 --> 00:00:56.000]  一開頭就這麼共鳴了
[00:00:56.000 --> 00:00:59.000]  我們會想到如果這麼艱難的時刻
[00:00:59.000 --> 00:01:01.000]  怎樣才能渡過呢?
[00:01:01.000 --> 00:01:05.000]  怎樣可以不被打倒呢?
[00:01:05.000 --> 00:01:07.000]  我們正在想這件事
[00:01:07.000 --> 00:01:13.000]  但接著看下去,下半節你會發現很令人震撼
[00:01:13.000 --> 00:01:16.000]  在我們很艱難的時刻
[00:01:16.000 --> 00:01:19.000]  雅各有一個很特別的第二句
[00:01:19.000 --> 00:01:22.000]  他說我們要捍衛喜樂
[00:01:22.000 --> 00:01:25.000]  這樣也可以?
[00:01:25.000 --> 00:01:28.000]  不難過已經很好了
[00:01:28.000 --> 00:01:32.000]  怎會還要捍衛喜樂呢?
[00:01:32.000 --> 00:01:36.000]  這個喜樂這個字原來是很強的
[00:01:36.000 --> 00:01:39.000]  希臘文就是Pasakaran
[00:01:39.000 --> 00:01:43.000]  就是說非常之非常之興奮
[00:01:43.000 --> 00:01:50.000]  這麼艱難,怎可以興奮呢?
[00:01:50.000 --> 00:01:55.000]  我們也說過,聖經是真是很賀神的說話
[00:01:55.000 --> 00:02:00.000]  從來沒有在唱高調,興奮就自己想辦法去吧
[00:02:00.000 --> 00:02:03.000]  不是的,聖經一定會解釋給我們聽
[00:02:03.000 --> 00:02:05.000]  並且是做得到的
[00:02:05.000 --> 00:02:11.000]  接著那幾節教我們怎樣在艱難的時刻
[00:02:11.000 --> 00:02:16.000]  竟然可以得到成為我們的興奮和喜樂
[00:02:16.000 --> 00:02:20.000]  他說有兩個很重要的階段
[00:02:20.000 --> 00:02:23.000]  如果你在艱難的時刻
[00:02:23.000 --> 00:02:26.000]  不是單單看見艱難是怎樣怎樣
[00:02:26.000 --> 00:02:31.000]  或者是誰人害你,或者是世界有什麼不幸的事情的意義
[00:02:31.000 --> 00:02:38.000]  而是看到這些艱難可以成為你的信心的考驗
[00:02:38.000 --> 00:02:39.000]  這是第一個
[00:02:39.000 --> 00:02:42.000]  你將它看成為一個信心的考驗
[00:02:42.000 --> 00:02:43.000]  還不夠
[00:02:43.000 --> 00:02:48.000]  這個考驗令你要忍耐接受
[00:02:48.000 --> 00:02:51.000]  並且要忍耐到底
[00:02:51.000 --> 00:02:53.000]  還要堅持到底
[00:02:53.000 --> 00:02:58.000]  這樣的時候,你就開始發覺你越來越成熟
[00:02:58.000 --> 00:03:03.000]  用聖經的話,聖經說會變得完全毫無缺陷
[00:03:03.000 --> 00:03:06.000]  就是說還有賺,不會虧蝕
[00:03:06.000 --> 00:03:08.000]  你的生命人生有賺
[00:03:08.000 --> 00:03:12.000]  有賺的時候,你是不是還多了一些東西
[00:03:12.000 --> 00:03:16.000]  有了這個困難,最後令你的人生成熟有賺
[00:03:16.000 --> 00:03:20.000]  成為一個很興奮的收穫
[00:03:20.000 --> 00:03:23.000]  這就是聖經所說的
[00:03:23.000 --> 00:03:29.000]  那種路竟然可以讓你有興奮
[00:03:29.000 --> 00:03:31.000]  當然,你和我心裏想想
[00:03:31.000 --> 00:03:33.000]  也不是每個人都可以
[00:03:33.000 --> 00:03:34.000]  有人可以,有人不行
[00:03:34.000 --> 00:03:39.000]  有人在艱難的時刻,百官試煉的時候
[00:03:39.000 --> 00:03:41.000]  就會打倒
[00:03:41.000 --> 00:03:46.000]  有人竟然可以成為喜樂的
[00:03:46.000 --> 00:03:47.000]  成熟的
[00:03:47.000 --> 00:03:50.000]  剛才我講了兩樣東西
[00:03:50.000 --> 00:03:53.000]  第一,你如何將這個艱難
[00:03:53.000 --> 00:03:57.000]  看成為信心的考驗
[00:03:57.000 --> 00:04:04.000]  這個題目將會成為我們另一次港道的主題
[00:04:04.000 --> 00:04:11.000]  試探和試煉,這是亞國書裏的一個很重要的主題
[00:04:11.000 --> 00:04:12.000]  我們今天先不講
[00:04:12.000 --> 00:04:16.000]  你能夠看到這件事,還能夠堅持
[00:04:16.000 --> 00:04:25.000]  那你就可以得到和其他人很不同的結果
[00:04:25.000 --> 00:04:31.000]  在這一切的發展裏,你如何得到呢?
[00:04:31.000 --> 00:04:36.000]  亞國就出了一個更加是我們今天的主題
[00:04:36.000 --> 00:04:40.000]  如果你能夠做到那些有些人做不到的
[00:04:40.000 --> 00:04:44.000]  你就需要有從神而來給你的智慧
[00:04:44.000 --> 00:04:48.000]  然後就說要向神求智慧
[00:04:48.000 --> 00:04:51.000]  出了智慧這個字
[00:04:51.000 --> 00:04:53.000]  神得到這種智慧的話
