
[00:00:00.000 --> 00:00:06.640]  今天我們進入彈爾里書第七章
[00:00:06.640 --> 00:00:10.640]  第七至十二章就是最後這六章
[00:00:10.640 --> 00:00:15.040]  當中上帝給彈爾里看到四個異象
[00:00:15.040 --> 00:00:18.320]  第七章就是我們今晚的異象
[00:00:18.320 --> 00:00:21.920]  就是海裡面上來的四隻獸
[00:00:21.920 --> 00:00:28.480]  然後下星期第八章就是公山羊和公綿羊的異象
[00:00:28.480 --> 00:00:36.000]  第九章就是天使加伯列將來會發生的事告訴彈爾里
[00:00:36.000 --> 00:00:40.000]  然後第十章開始到第十二章最後那章
[00:00:40.000 --> 00:00:46.240]  就是彈爾里在Tigris River底格里斯河旁邊
[00:00:46.240 --> 00:00:50.880]  有天使和他說將來會發生的事
[00:00:50.880 --> 00:00:57.360]  所以下面這六章都是有關於末世的預言
[00:00:57.360 --> 00:01:00.880]  由彈爾里的時代一直到末世
[00:01:00.880 --> 00:01:03.760]  今晚我們就會進入第一個異象
[00:01:03.760 --> 00:01:08.880]  今晚我們一個小時的時間會過得很快
[00:01:08.880 --> 00:01:13.360]  我們首先會看海中這四個獸
[00:01:13.360 --> 00:01:16.320]  就是我們會看第一節到第七節
[00:01:16.320 --> 00:01:20.800]  然後我就會講關於狄基督
[00:01:20.800 --> 00:01:29.760]  因為這一章應該是第一次有講到關於小國
[00:01:29.760 --> 00:01:34.240]  第四個獸那十個國之外有一個小國
[00:01:34.240 --> 00:01:40.800]  這個小國其實大家都公認是指將來出現的狄基督
[00:01:40.800 --> 00:01:47.280]  這個狄基督我講完之後會和大家分享一下
[00:01:47.280 --> 00:01:54.960]  傳統的看法就是傳統看這個異象的解釋
[00:01:54.960 --> 00:01:58.800]  還有近年有比較新的解釋
[00:01:58.800 --> 00:02:02.640]  這個新的解釋我一會兒會和大家講
[00:02:02.640 --> 00:02:06.480]  會看到幾章在啓示錄那裡
[00:02:06.480 --> 00:02:13.120]  最後我們就會看這個所謂耿古常傳者
[00:02:13.120 --> 00:02:15.440]  到底是誰呢
[00:02:15.440 --> 00:02:19.920]  今晚我們就會這樣
[00:02:19.920 --> 00:02:24.160]  我們首先先看我給大家講完的第一部分
[00:02:24.160 --> 00:02:26.640]  就是海中那四個獸
[00:02:26.640 --> 00:02:29.200]  我們先看開頭那七節
[00:02:29.200 --> 00:02:31.440]  先看開頭那七節
[00:02:31.440 --> 00:02:36.240]  第一節是說巴比倫王白沙撒
[00:02:36.240 --> 00:02:37.520]  你會覺得很奇怪
[00:02:37.520 --> 00:02:41.040]  上一次我們不是已經查到波斯了嗎
[00:02:41.040 --> 00:02:45.520]  白沙撒王就是尼泊爾的後代
[00:02:45.520 --> 00:02:47.840]  就是巴比倫最後的王
[00:02:47.840 --> 00:02:51.280]  不是在第五章的時候已經滅亡了嗎
[00:02:51.280 --> 00:02:58.000]  第六章當達爾里被扔到獅子洞里的時候
[00:02:58.000 --> 00:03:00.000]  已經是波斯了
[00:03:00.000 --> 00:03:02.800]  第七章他是回到上去的
[00:03:02.800 --> 00:03:07.200]  在時間上他回到上去
[00:03:07.200 --> 00:03:11.280]  還是巴比倫的時代
[00:03:11.280 --> 00:03:13.840]  他是白沙撒王的元年
[00:03:13.840 --> 00:03:20.800]  按公元計算就是主前的552年
[00:03:20.800 --> 00:03:24.240]  達爾里那個時候已經是七十多歲了
[00:03:24.240 --> 00:03:27.200]  沒有第六章的時候八十多歲那麼老
[00:03:27.200 --> 00:03:31.840]  因為現在是回到白沙撒王的年代
[00:03:31.840 --> 00:03:34.240]  達爾里就在床上做夢
[00:03:34.240 --> 00:03:38.080]  他在夢裡面見到這個異象
[00:03:38.080 --> 00:03:43.840]  然後第三節有四個大獸從海上來
[00:03:43.840 --> 00:03:46.640]  四個大獸從海上來
