
[00:00:00.000 --> 00:00:05.380]  各位電視觀眾各位朋友你們好
[00:00:05.380 --> 00:00:08.320]  歡迎大家參加我們三藩市報道會
[00:00:08.320 --> 00:00:10.320]  網上五浪崇拜
[00:00:10.320 --> 00:00:13.760]  我們今天繼續思想約翰福音的信息
[00:00:13.760 --> 00:00:16.320]  我們來到約翰福音第十二章
[00:00:16.320 --> 00:00:18.320]  一節至十一節
[00:00:18.320 --> 00:00:21.760]  題目是愛是不計
[00:00:21.760 --> 00:00:25.820]  開始思想這段聖經之前請大家同心協力
[00:00:25.820 --> 00:00:27.820]  我們一起禱告
[00:00:27.820 --> 00:00:31.820]  慈悲行為 先奉我們本心多謝你
[00:00:31.820 --> 00:00:34.820]  多謝你因為你愛我們
[00:00:34.820 --> 00:00:41.820]  甚至將自己的獨生兒子犧牲在十字架上
[00:00:41.820 --> 00:00:44.820]  遮蓋我們的罪
[00:00:44.820 --> 00:00:47.820]  叫我們能夠得著罪得赦免
[00:00:47.820 --> 00:00:51.820]  又得到永生的盼望
[00:00:51.820 --> 00:00:58.820]  這個大愛是鼓勵了我們改變了我們
[00:00:58.820 --> 00:01:02.820]  求你教導我們懂得如何去愛你
[00:01:02.820 --> 00:01:05.820]  又愛倫西和愛自己
[00:01:05.820 --> 00:01:11.820]  主席祢的話語提醒斷面教導安慰督責我們
[00:01:11.820 --> 00:01:15.820]  我們今天祈禱 奉耶穌基督名求 阿們
[00:01:15.820 --> 00:01:19.820]  台灣作家張曉峰女士
[00:01:19.820 --> 00:01:25.820]  寫過一篇文章叫做《老男子的求婚信》
[00:01:25.820 --> 00:01:32.820]  我想東街的姐妹聽了這位老男子所說的求婚信
[00:01:32.820 --> 00:01:36.820]  想一想你是否各位的心上人
[00:01:36.820 --> 00:01:42.820]  你收到這封求婚信的時候會有什麼回應呢?
[00:01:42.820 --> 00:01:47.820]  她說:小姐 我想娶你為妻
[00:01:47.820 --> 00:01:52.820]  天下男人各有其把老婆騙到手的秘訣
[00:01:52.820 --> 00:01:56.820]  我曾經聽過四人說誠實是最好的政策
[00:01:56.820 --> 00:02:00.820]  所以我這一封信就是用這個誠實法
[00:02:00.820 --> 00:02:05.820]  首先我要說明男女平等這一回事
[00:02:05.820 --> 00:02:10.820]  在你美麗的小腦袋裡只不過是一個幻覺
[00:02:10.820 --> 00:02:12.820]  請你放棄吧
[00:02:12.820 --> 00:02:17.820]  免得你遇上焦頭爛額 頭破血流
[00:02:17.820 --> 00:02:22.820]  你一結婚就知道男女平等其實是不會存在的
[00:02:22.820 --> 00:02:25.820]  以下所以句句屬真
[00:02:25.820 --> 00:02:28.820]  請你嫁給我 做老太太
[00:02:28.820 --> 00:02:32.820]  至於為什麼你要跟我姓而不是我跟你姓呢?
[00:02:32.820 --> 00:02:35.820]  反正又不是我發明的 我就不理了
[00:02:35.820 --> 00:02:37.820]  請你嫁給我
[00:02:37.820 --> 00:02:41.820]  你雖然十月懷胎 生產痛楚 又要帶孩子
[00:02:41.820 --> 00:02:45.820]  雖然在醫院裡BB掛著媽媽的名字
[00:02:45.820 --> 00:02:49.820]  但一出院就要跟我姓 跟爸爸姓了
[00:02:49.820 --> 00:02:51.820]  她是屬於我的家族
[00:02:51.820 --> 00:02:53.820]  請你嫁給我吧
[00:02:53.820 --> 00:02:57.820]  最好你的肚皮生氣 多生幾個男孩子
[00:02:57.820 --> 00:02:59.820]  請你嫁給我吧
[00:02:59.820 --> 00:03:01.820]  但我提供一個貼士
[00:03:01.820 --> 00:03:03.820]  你一旦入門
[00:03:03.820 --> 00:03:07.820]  我媽媽就會全職做廚房主管
[00:03:07.820 --> 00:03:09.820]  你只會做助手
[00:03:09.820 --> 00:03:12.820]  媽媽最喜歡吃豆腐牛肉飯
[00:03:12.820 --> 00:03:16.820]  你稍為預備再入門的時候
[00:03:16.820 --> 00:03:18.820]  懂得怎麼做呢?
[00:03:18.820 --> 00:03:20.820]  請你嫁給我吧
[00:03:20.820 --> 00:03:23.820]  我家老男子十八代祖宗以來
[00:03:23.820 --> 00:03:26.820]  都是女人煮飯 男人吃飯
[00:03:26.820 --> 00:03:28.820]  太奶奶就煮給太爺吃
[00:03:28.820 --> 00:03:30.820]  媽媽就煮給爸爸吃
[00:03:30.820 --> 00:03:33.820]  當然你一樣煮給我吃
[00:03:33.820 --> 00:03:37.820]  我媽徐毅是全女不全子
[00:03:37.820 --> 00:03:39.820]  我今年三十五歲
[00:03:39.820 --> 00:03:44.820]  即三十五年不煮飯 不淘米 不洗菜 不洗碗的經驗
[00:03:44.820 --> 00:03:46.820]  愛情就是犧牲
[00:03:46.820 --> 00:03:50.820]  你為我有多少犧牲 值得了
[00:03:50.820 --> 00:03:52.820]  事實上你也要想一想
[00:03:52.820 --> 00:03:55.820]  根據我保守的估計
[00:03:55.820 --> 00:03:58.820]  我們還會有五十五年的婚姻生活
[00:03:58.820 --> 00:04:03.820]  每年有三百六十五天
[00:04:03.820 --> 00:04:07.820]  就算每天兩餐計
[00:04:07.820 --> 00:04:11.820]  每年要煮七百三十噸飯
[00:04:11.820 --> 00:04:16.820]  五十五年要煮四萬一百五十噸飯
[00:04:16.820 --> 00:04:19.820]  小姐請你仔細打算
[00:04:19.820 --> 00:04:21.820]  一旦簽約
[00:04:21.820 --> 00:04:26.820]  你就要好好煮四萬幾噸飯給我們吃
[00:04:26.820 --> 00:04:29.820]  還有你要知道
[00:04:29.820 --> 00:04:31.820]  我吃煙 但煙引不大
[00:04:31.820 --> 00:04:34.820]  我喝酒 但酒量不多
[00:04:34.820 --> 00:04:37.820]  我打麻將 輸贏平平
[00:04:37.820 --> 00:04:39.820]  我不時去打機
[00:04:39.820 --> 00:04:42.820]  不時流離忘返
[00:04:42.820 --> 00:04:44.820]  我喜歡看女人
[00:04:44.820 --> 00:04:46.820]  但收入有限
[00:04:46.820 --> 00:04:48.820]  不能夠包二奶
[00:04:48.820 --> 00:04:50.820]  如果是逢場作戲
[00:04:50.820 --> 00:04:53.820]  我倒不排斥這個可能性
[00:04:53.820 --> 00:04:55.820]  小姐請你嫁給我
[00:04:55.820 --> 00:04:57.820]  我等著你的回音
[00:04:57.820 --> 00:05:00.820]  如果我收到這封信
[00:05:00.820 --> 00:05:02.820]  我的回音很簡單
[00:05:02.820 --> 00:05:05.820]  有個字 混帳
[00:05:05.820 --> 00:05:08.820]  那麼自私自利的男人
[00:05:08.820 --> 00:05:10.820]  不嫁也算了
[00:05:10.820 --> 00:05:13.820]  可惜代表了很多男人的心聲
[00:05:13.820 --> 00:05:16.820]  代表了很多男人的問題
[00:05:16.820 --> 00:05:18.820]  愛情只是索取享受
[00:05:18.820 --> 00:05:20.820]  而不是說犧牲
[00:05:20.820 --> 00:05:22.820]  不是說體諒
[00:05:22.820 --> 00:05:26.820]  這點才是今天的人生哲學
[00:05:26.820 --> 00:05:28.820]  在美國男女平等
[00:05:28.820 --> 00:05:32.820]  不但男人自私 女人也一樣
[00:05:32.820 --> 00:05:35.820]  常常都是自己自己自己
[00:05:35.820 --> 00:05:37.820]  有個紀念牌
[00:05:37.820 --> 00:05:41.820]  從遠處看 嘩 宏偉非常
[00:05:41.820 --> 00:05:45.820]  近看發現原來有四個英文字組成
[00:05:45.820 --> 00:05:47.820]  最高的I
[00:05:47.820 --> 00:05:49.820]  後面的Me
[00:05:49.820 --> 00:05:52.820]  再後面的Mine
[00:05:52.820 --> 00:05:54.820]  最後的Myself
[00:05:54.820 --> 00:05:57.820]  在紀念碑下成千上萬的美國人
[00:05:57.820 --> 00:06:00.820]  在紀念碑下跪下在那裡拜
[00:06:00.820 --> 00:06:02.820]  然後拜這個神明
[00:06:02.820 --> 00:06:04.820]  這個神明叫什麼
[00:06:04.820 --> 00:06:08.820]  拜我教是今天美國流行的哲學
[00:06:08.820 --> 00:06:12.820]  可惜這個歪風吹到基督徒的圈子裡
[00:06:12.820 --> 00:06:14.820]  我們上帝的愛對主的愛
[00:06:14.820 --> 00:06:16.820]  也是老男子的愛
[00:06:16.820 --> 00:06:18.820]  只有自己沒有其他
[00:06:18.820 --> 00:06:20.820]  Believe
[00:06:20.820 --> 00:06:23.820]  這樣形容近代的基督徒
[00:06:23.820 --> 00:06:25.820]  為什麼我信耶穌
[00:06:25.820 --> 00:06:27.820]  我想買一個神
[00:06:27.820 --> 00:06:29.820]  但我只是預備三元
[00:06:29.820 --> 00:06:32.820]  我要這個神不要打擾我個人的私生活
[00:06:32.820 --> 00:06:34.820]  不要打擾我的大計
[00:06:34.820 --> 00:06:36.820]  祂只可以做一杯暖奶
[00:06:36.820 --> 00:06:39.820]  或者一道和煦的陽光
[00:06:39.820 --> 00:06:41.820]  不太熱不太冷
