
[00:00:00.000 --> 00:00:02.000]  第五頁是我們的大綱
[00:00:02.000 --> 00:00:04.000]  你看到的題目叫做
[00:00:04.000 --> 00:00:10.000]  抗衡戰爭文化堅持作貴重的戲名
[00:00:10.000 --> 00:00:13.000]  有些人說什麼戰爭文化是什麼呢?
[00:00:13.000 --> 00:00:16.000]  當然啦,你和香港脫節你又不知道
[00:00:16.000 --> 00:00:19.000]  幾年前有一部戲叫做戰爭先生
[00:00:19.000 --> 00:00:21.000]  男主角就是陳奕迅
[00:00:21.000 --> 00:00:23.000]  他在香港的戰爭文化
[00:00:23.000 --> 00:00:25.000]  他在香港的文化
[00:00:25.000 --> 00:00:27.000]  他在香港的文化
[00:00:27.000 --> 00:00:29.000]  叫做戰爭先生
[00:00:29.000 --> 00:00:31.000]  男主角就是陳奕迅
[00:00:31.000 --> 00:00:34.000]  女主角就是Trins的阿嬌
[00:00:34.000 --> 00:00:36.000]  如果你不知道,這兩個人都不知道
[00:00:36.000 --> 00:00:38.000]  那你真的離開了香港很久了
[00:00:38.000 --> 00:00:40.000]  戰爭先生是一齣戲
[00:00:40.000 --> 00:00:42.000]  用一個諷刺的手法
[00:00:42.000 --> 00:00:45.000]  講香港一個文化的主流
[00:00:45.000 --> 00:00:48.000]  文化的主流是一種戰爭的文化
[00:00:48.000 --> 00:00:50.000]  什麼叫戰爭呢?
[00:00:50.000 --> 00:00:52.000]  就是說你夠賤,你夠精
[00:00:52.000 --> 00:00:56.000]  你就可以在香港殺出一條血路
[00:00:56.000 --> 00:01:00.000]  賤也者,你就可以自私自利
[00:01:00.000 --> 00:01:06.000]  精也者,你就可以為求目的不擇手段
[00:01:06.000 --> 00:01:10.000]  這個就叫戰爭的文化
[00:01:10.000 --> 00:01:14.000]  我相信不單止在香港
[00:01:14.000 --> 00:01:17.000]  在我們加拿大,在全世界現在越來越多都是這樣
[00:01:17.000 --> 00:01:19.000]  聖經怎麼看呢?
[00:01:19.000 --> 00:01:21.000]  在聖經裡面
[00:01:21.000 --> 00:01:26.000]  普羅話我們面對這個又賤又精
[00:01:26.000 --> 00:01:28.000]  作為價值的社會的時候
[00:01:28.000 --> 00:01:31.000]  我們基督徒不是跟著它走
[00:01:31.000 --> 00:01:33.000]  不過我們會面對衝擊
[00:01:33.000 --> 00:01:35.000]  但我們可以站得穩
[00:01:35.000 --> 00:01:37.000]  所以看這段聖經
[00:01:37.000 --> 00:01:39.000]  你看到第十四至十八節
[00:01:39.000 --> 00:01:44.000]  特別指著走精面的文化衝擊底下
[00:01:44.000 --> 00:01:47.000]  我們怎麼可以作為一個仍然有堅持
[00:01:47.000 --> 00:01:52.000]  真誠的基督徒的生命
[00:01:52.000 --> 00:01:54.000]  十九至二十一節
[00:01:54.000 --> 00:01:59.000]  就說到我們面對一個卑賤的文化
[00:01:59.000 --> 00:02:06.000]  我們可以保持一種高貴的信仰和生命原則
[00:02:06.000 --> 00:02:10.000]  我們試試看深入一點究竟說什麼
[00:02:10.000 --> 00:02:12.000]  首先第十四至十五節
[00:02:12.000 --> 00:02:15.000]  普羅作一個對比
[00:02:15.000 --> 00:02:20.000]  第十四節說你不要為言語爭辯
[00:02:20.000 --> 00:02:22.000]  因為這是沒有意思的
[00:02:22.000 --> 00:02:24.000]  沒有益處的只能夠敗壞聽見的人
[00:02:24.000 --> 00:02:29.000]  第十五節說你要做一個在神面前蒙喜與做無愧的工人
[00:02:29.000 --> 00:02:33.000]  按照正義分解真理的道
[00:02:33.000 --> 00:02:36.000]  按照正義分解真理的道
[00:02:36.000 --> 00:02:39.000]  這個原來希臘文的意思
[00:02:39.000 --> 00:02:41.000]  特別指著一些工匠
[00:02:41.000 --> 00:02:44.000]  一些工人建屋的時候
[00:02:44.000 --> 00:02:47.000]  大家知道古代建屋是用石頭來砌的
[00:02:47.000 --> 00:02:49.000]  石頭多數是硬硬的
[00:02:49.000 --> 00:02:51.000]  不同的大小形狀
[00:02:51.000 --> 00:02:53.000]  工匠的工作就是要將它削平
[00:02:53.000 --> 00:02:59.000]  所以這個字的意思是準確地切割這塊石
[00:02:59.000 --> 00:03:01.000]  要很準確
[00:03:01.000 --> 00:03:04.000]  因為如果太大就等不下位置
[00:03:04.000 --> 00:03:07.000]  太小有空縫就會漏水
