
[00:00:00.000 --> 00:00:03.360]  多謝施班唱出這首闊路澤路的詩歌
[00:00:03.360 --> 00:00:07.440]  我們今天的經文是關於這一方面的教導
[00:00:07.440 --> 00:00:11.640]  我很想弟兄姊妹跟我一起打開剛才我們所讀的聖經
[00:00:11.640 --> 00:00:16.200]  我們看看主耶穌今早要對我們講什麼話
[00:00:16.200 --> 00:00:18.520]  《馬太福音》第七章
[00:00:18.520 --> 00:00:20.640]  如果你是用唐用的聖經的話
[00:00:20.640 --> 00:00:26.360]  是唐用聖經的1464頁
[00:00:26.360 --> 00:00:28.320]  我希望大家都能夠打開聖經
[00:00:28.320 --> 00:00:31.120]  因為我們是特別研究
[00:00:31.120 --> 00:00:36.160]  當然就是第七章的13節至20節《馬太福音》
[00:00:36.160 --> 00:00:40.360]  待會我會和大家看完21節至23節的
[00:00:40.360 --> 00:00:44.400]  所以你有聖經在手就更加好了
[00:00:44.400 --> 00:00:47.520]  剛才讀的那段聖經我相信大家都很熟的
[00:00:47.520 --> 00:00:49.360]  很多弟兄姊妹都會很熟悉
[00:00:49.360 --> 00:00:52.320]  耶穌用了兩個的比喻
[00:00:52.320 --> 00:00:57.200]  來講到我們的生命一個很重要的提醒
[00:00:57.200 --> 00:01:03.080]  一個是用路和門的比喻
[00:01:03.080 --> 00:01:08.440]  闊的路 窄的路 窄的門
[00:01:08.440 --> 00:01:13.200]  第二個比喻就是用樹木和所結的果子
[00:01:13.200 --> 00:01:15.720]  好的樹結好的果子
[00:01:15.720 --> 00:01:18.600]  壞的樹就結壞的果子
[00:01:18.600 --> 00:01:21.400]  我相信很多弟兄姊妹都很熟悉這兩個的比喻
[00:01:21.400 --> 00:01:24.280]  我也不需要在這裡再重複那個內容
[00:01:24.280 --> 00:01:26.120]  大家看著聖經就知道
[00:01:26.120 --> 00:01:29.400]  不過今天我想和大家一起再仔細的看
[00:01:29.400 --> 00:01:32.200]  主耶穌究竟在這兩個比喻裡面
[00:01:32.200 --> 00:01:36.920]  要我們知道和留意的地方和信息是什麼
[00:01:36.920 --> 00:01:39.000]  好嗎?我們一起看看聖經
[00:01:39.000 --> 00:01:42.400]  我們首先看看這個闊的門
[00:01:42.400 --> 00:01:46.600]  闊的路 窄的門 窄的路這個比喻
[00:01:46.600 --> 00:01:48.840]  我們主耶穌很清楚的
[00:01:48.840 --> 00:01:51.800]  來做一個對比
[00:01:51.800 --> 00:01:53.240]  闊的和窄的
[00:01:53.240 --> 00:01:55.920]  然後目的地也很清楚的
[00:01:55.920 --> 00:01:59.640]  這個窄的門 窄的路去的是生命
[00:01:59.640 --> 00:02:01.400]  豐盛的生命
[00:02:01.400 --> 00:02:06.360]  這個闊的門 闊的路去的是生命的凋謝和滅亡
[00:02:06.360 --> 00:02:08.200]  這個大家都很清楚
[00:02:08.200 --> 00:02:11.240]  今天我們特別留意什麼意思呢?
[00:02:11.240 --> 00:02:17.920]  主耶穌所說的窄路 窄門是指著什麼意思?
[00:02:17.920 --> 00:02:20.520]  我們知道這段聖經是在馬太福音
[00:02:20.520 --> 00:02:23.920]  但是其實路加福音也有同樣的記載
[00:02:23.920 --> 00:02:26.080]  大家不用翻來翻去了
[00:02:26.080 --> 00:02:28.080]  到時候我讀給大家聽
[00:02:28.080 --> 00:02:32.400]  關於這個路的闊窄和門
[00:02:32.400 --> 00:02:36.080]  在路加福音的十三章二十四節
[00:02:36.080 --> 00:02:39.640]  也有一節是講同樣的信息
[00:02:39.640 --> 00:02:42.400]  不過路加的記載裡面有一點不同
[00:02:42.400 --> 00:02:45.760]  我們配合就會更加清楚
[00:02:45.760 --> 00:02:47.800]  更加完備
[00:02:47.800 --> 00:02:50.640]  路加福音的十三章二十四節
[00:02:50.640 --> 00:02:51.840]  如果聽我讀的時候
[00:02:51.840 --> 00:02:53.760]  我告訴你 主耶穌在那裡說
[00:02:53.760 --> 00:02:57.160]  你們應當竭力進閘門
[00:02:57.160 --> 00:02:58.840]  我告訴你們
[00:02:58.840 --> 00:03:02.960]  許多人將來要進去 卻是不能
[00:03:02.960 --> 00:03:06.080]  好 我們試試用這兩段聖經
[00:03:06.080 --> 00:03:07.920]  作為一個比較
[00:03:07.920 --> 00:03:10.280]  來看見當中的情況
[00:03:10.280 --> 00:03:13.600]  我們要問一個問題
[00:03:13.600 --> 00:03:18.200]  究竟為什麼這條路這麼窄
[00:03:18.200 --> 00:03:20.720]  和它的門這麼小
[00:03:20.720 --> 00:03:22.720]  究竟是什麼意思?
[00:03:22.720 --> 00:03:24.480]  如果我們將這兩段聖經
[00:03:24.480 --> 00:03:27.200]  馬太和路加加在一起講的時候
[00:03:27.200 --> 00:03:29.440]  你就會發覺有兩個很重要的信息
[00:03:29.440 --> 00:03:31.720]  今早我想和大家分享一下
[00:03:31.720 --> 00:03:34.120]  這兩個信息包括了什麼呢?
[00:03:34.120 --> 00:03:38.560]  第一 這條路為什麼這麼少人進去
[00:03:38.560 --> 00:03:40.840]  你留意主耶穌在馬太福音
[00:03:40.840 --> 00:03:42.880]  第十四節最後那裡說
[00:03:42.880 --> 00:03:45.160]  因為找著的人也少
[00:03:45.160 --> 00:03:48.280]  不單那條路是小的
[00:03:48.280 --> 00:03:50.160]  不是很多人找得到
[00:03:50.160 --> 00:03:52.680]  走過它沒有留意
[00:03:52.680 --> 00:03:56.440]  就是說帶向生命的路
[00:03:56.440 --> 00:03:59.880]  很多時候那個起始點
[00:03:59.880 --> 00:04:02.040]  是不起眼的
[00:04:02.040 --> 00:04:03.840]  沒有吸引力的
