
[00:00:00.000 --> 00:00:09.400]  大家好 最開心的會場見到就是男士多於女士
[00:00:09.400 --> 00:00:15.760]  這個我希望將來教會很多這個情景都很好
[00:00:15.760 --> 00:00:21.440]  第二就是今天是公開 不但進來
[00:00:21.440 --> 00:00:23.440]  還在任何地方都可以看到
[00:00:23.440 --> 00:00:27.440]  這個我想是一個很好的開始 在教會的工作裏面
[00:00:27.440 --> 00:00:30.960]  今天其實我很遺憾的
[00:00:30.960 --> 00:00:33.600]  我答應了這個聚會之後
[00:00:33.600 --> 00:00:36.200]  我都很期待今早來
[00:00:36.200 --> 00:00:40.320]  誰知道呢 其實是很傷心的事
[00:00:40.320 --> 00:00:46.400]  我有一個學生 以前我在特殊學校做過社工
[00:00:46.400 --> 00:00:50.720]  很多很多年前 就是1986年
[00:00:50.720 --> 00:00:52.520]  很多很多年前
[00:00:52.520 --> 00:00:59.800]  他兩年前就患了血癌 血癌後來死了
[00:00:59.800 --> 00:01:05.320]  是今早同這個時間 安息禮拜
[00:01:05.320 --> 00:01:09.640]  他媽媽就問我 你來講一點點吧
[00:01:09.640 --> 00:01:12.120]  但我不行 我答應了這裡
[00:01:12.120 --> 00:01:14.520]  我感覺這裡又多了一個意義
[00:01:14.520 --> 00:01:18.760]  這裡是講癌症 是講重病 講危疾
[00:01:18.760 --> 00:01:23.960]  是講給很多有生命 現在繼續活下去的
[00:01:23.960 --> 00:01:27.240]  我相信這個學生給很大的鼓勵給每個人
[00:01:27.240 --> 00:01:29.240]  為什麼呢 為什麼呢
[00:01:29.240 --> 00:01:31.240]  他是弱智的
[00:01:31.240 --> 00:01:34.200]  但他是我們學校裏面
[00:01:34.200 --> 00:01:38.520]  差不多數一數二從來都是公開就業的
[00:01:38.520 --> 00:01:40.520]  從來都是 即是畢業
[00:01:40.520 --> 00:01:45.960]  即是18歲到現在30年以上公開就業
[00:01:45.960 --> 00:01:47.960]  成功的 成功的
[00:01:47.960 --> 00:01:49.960]  他患了癌症
[00:01:49.960 --> 00:01:52.600]  他自己都不知道是這麼重的
[00:01:52.600 --> 00:01:54.600]  到現在 即使死了那一下
[00:01:54.600 --> 00:01:57.880]  他都以為還可以和我吃飯的
[00:01:57.880 --> 00:02:01.720]  他過了一個很樂觀的生命
[00:02:01.720 --> 00:02:03.720]  他是一個基督徒
[00:02:03.720 --> 00:02:07.480]  他在讀學校 基督教學校的時候洗禮
[00:02:07.480 --> 00:02:11.640]  他每個星期日 包括患癌症的時候
[00:02:11.640 --> 00:02:14.840]  如果不是睡醫院 他都會上崇拜
[00:02:14.840 --> 00:02:17.560]  他都上崇拜 而且準時的
[00:02:17.560 --> 00:02:19.560]  我這個學生
[00:02:19.560 --> 00:02:21.560]  死了之後
[00:02:21.560 --> 00:02:23.560]  他哥哥打電話給我
[00:02:23.560 --> 00:02:27.560]  他說我們一起看他放在家裏的照片
[00:02:27.560 --> 00:02:30.360]  我才發現這個秘密
[00:02:30.360 --> 00:02:33.400]  原來他在外面是這麼開心的
[00:02:33.400 --> 00:02:35.400]  即是原來他家裏
[00:02:35.400 --> 00:02:39.080]  他的爸爸 媽媽 哥哥 弟弟
[00:02:39.080 --> 00:02:41.080]  不懂和他聊天
[00:02:41.080 --> 00:02:43.080]  以為他是一個吱吱呆呆
[00:02:43.080 --> 00:02:45.080]  不出聲 自閉的人
[00:02:45.080 --> 00:02:47.080]  誰知道死了之後
[00:02:47.080 --> 00:02:50.040]  回到抽屜裏面 一疊一疊的照片
[00:02:50.040 --> 00:02:54.040]  原來我們這個弟弟 這個哥哥 這個兒子
[00:02:54.040 --> 00:02:56.760]  是這麼多人喜歡的
[00:02:56.760 --> 00:02:58.760]  他是笑的 和人家拍照
[00:02:58.760 --> 00:03:01.480]  他說我們最可惜的就是這件事
[00:03:01.480 --> 00:03:03.480]  我們從來都不知道
[00:03:03.480 --> 00:03:07.240]  我們家裏有一個這麼心靈 這麼健康的人
[00:03:07.240 --> 00:03:09.240]  從來都不知道
[00:03:09.240 --> 00:03:11.240]  我想今天這個開始很重要
[00:03:11.240 --> 00:03:13.240]  似乎是病
[00:03:13.240 --> 00:03:15.240]  但誰是病呢
