
[00:00:00.000 --> 00:00:04.000]  在基督教裡面經常都流傳著很多
[00:00:04.000 --> 00:00:08.000]  似是而非的一些歪理
[00:00:08.000 --> 00:00:13.000]  有時候這些歪理聽起來好像很合情理
[00:00:13.000 --> 00:00:20.000]  但是卻是表現出基督徒有一種暗底裡的迷信
[00:00:20.000 --> 00:00:24.000]  我自己在做基督徒這幾十年裡面
[00:00:24.000 --> 00:00:28.000]  我曾經見過有一次真的挺無稽的一個
[00:00:28.000 --> 00:00:32.000]  就是當時我還在讀書的時候
[00:00:32.000 --> 00:00:34.000]  因為我有輛車
[00:00:34.000 --> 00:00:36.000]  很多時候有些同學
[00:00:36.000 --> 00:00:40.000]  大家都是讀一間基督教的中學
[00:00:40.000 --> 00:00:43.000]  他就說Alan可不可以搭你的順風車
[00:00:43.000 --> 00:00:46.000]  我沒問題反正我也是回家而已
[00:00:46.000 --> 00:00:50.000]  順路可以接你們去哪裡
[00:00:50.000 --> 00:00:52.000]  我可以放下你們
[00:00:52.000 --> 00:00:55.000]  怎知道有一次當上車的時候
[00:00:55.000 --> 00:00:58.000]  因為很多時候我的車裡面沒什麼特別的東西
[00:00:58.000 --> 00:01:03.000]  多數都是放我自己的書和聖經
[00:01:03.000 --> 00:01:05.000]  可能是翻完崇拜
[00:01:05.000 --> 00:01:08.000]  放了一本聖經在車的後座裡面
[00:01:08.000 --> 00:01:10.000]  有個同學就二話不說
[00:01:10.000 --> 00:01:13.000]  說好啦今天有順風車坐了
[00:01:13.000 --> 00:01:17.000]  一開車門就馬上跳上去後座
[00:01:17.000 --> 00:01:19.000]  然後一坐下去就糟了
[00:01:19.000 --> 00:01:21.000]  我說什麼來的
[00:01:21.000 --> 00:01:25.000]  怎知道一坐下去發現原來就是我的聖經
[00:01:25.000 --> 00:01:28.000]  當他一看到是聖經的時候
[00:01:28.000 --> 00:01:30.000]  又坐上去
[00:01:30.000 --> 00:01:33.000]  哇他的面容立刻變了
[00:01:33.000 --> 00:01:35.000]  我說什麼事
[00:01:35.000 --> 00:01:37.000]  他說死了死了死了
[00:01:37.000 --> 00:01:39.000]  我說什麼這麼大的事
[00:01:39.000 --> 00:01:42.000]  然後他又拜又祈禱很懇切
[00:01:42.000 --> 00:01:44.000]  上主啊對不起啊
[00:01:44.000 --> 00:01:47.000]  我錯了你的話語
[00:01:47.000 --> 00:01:49.000]  求主赦免我啊
[00:01:49.000 --> 00:01:51.000]  這些罪很大
[00:01:51.000 --> 00:01:55.000]  聽起來就好像很好笑的一個表現
[00:01:55.000 --> 00:01:59.000]  但是其實這種思想思維
[00:01:59.000 --> 00:02:03.000]  很多時候基督徒真的暗暗地
[00:02:03.000 --> 00:02:05.000]  其實藏在自己心裡面
[00:02:05.000 --> 00:02:09.000]  當然我沒叫你找一本聖經來當
[00:02:09.000 --> 00:02:12.000]  好像電話簿那樣墊底
[00:02:12.000 --> 00:02:13.000]  不是
[00:02:13.000 --> 00:02:15.000]  我們要用心去想
[00:02:15.000 --> 00:02:16.000]  墊底
[00:02:16.000 --> 00:02:17.000]  不是
[00:02:17.000 --> 00:02:20.000]  我們要對聖經有尊重
[00:02:20.000 --> 00:02:23.000]  但那種尊重不是尊重他只是一本書
[00:02:23.000 --> 00:02:25.000]  或者一本印刷品
[00:02:25.000 --> 00:02:32.000]  而是尊重裡面所說的內容所啟示那位主
[00:02:32.000 --> 00:02:37.000]  這種思維其實很多時候我們是沒有清楚
[00:02:37.000 --> 00:02:40.000]  在教會裡面去訂定清楚
[00:02:40.000 --> 00:02:42.000]  反而有些時候
[00:02:42.000 --> 00:02:45.000]  我們教會裡面的教會
[00:02:45.000 --> 00:02:47.000]  其實是有很多的教會
[00:02:47.000 --> 00:02:49.000]  教會裡面的教會
[00:02:49.000 --> 00:02:51.000]  其實是有很多的教會
[00:02:51.000 --> 00:02:53.000]  但是教會裡面的教會
[00:02:53.000 --> 00:02:55.000]  其實是沒有清楚的
[00:02:55.000 --> 00:02:57.000]  我們教會裡面的教會
[00:02:57.000 --> 00:02:59.000]  其實是沒有清楚的
[00:02:59.000 --> 00:03:01.000]  我們教會裡面的教會
[00:03:01.000 --> 00:03:03.000]  其實是沒有清楚的
[00:03:03.000 --> 00:03:05.000]  我們教會裡面的教會
[00:03:05.000 --> 00:03:07.000]  其實是沒有清楚的
[00:03:07.000 --> 00:03:09.000]  我們教會裡面的教會
[00:03:09.000 --> 00:03:11.000]  其實是沒有清楚的
[00:03:11.000 --> 00:03:13.000]  我們教會裡面的教會
[00:03:13.000 --> 00:03:15.000]  其實是沒有清楚的
[00:03:15.000 --> 00:03:17.000]  我們教會裡面的教會
[00:03:17.000 --> 00:03:19.000]  其實是沒有清楚的
[00:03:19.000 --> 00:03:21.000]  我們教會裡面的教會
[00:03:21.000 --> 00:03:23.000]  其實是沒有清楚的
[00:03:23.000 --> 00:03:25.000]  我們教會裡面的教會
[00:03:25.000 --> 00:03:27.000]  其實是沒有清楚的
[00:03:27.000 --> 00:03:29.000]  我們教會裡面的教會
[00:03:29.000 --> 00:03:31.000]  其實是沒有清楚的
[00:03:31.000 --> 00:03:33.000]  我們教會裡面的教會
[00:03:33.000 --> 00:03:35.000]  其實是沒有清楚的
[00:03:35.000 --> 00:03:37.000]  我們教會裡面的教會
[00:03:37.000 --> 00:03:39.000]  其實是沒有清楚的
