
[00:00:00.000 --> 00:00:04.000]  有些人我想問一下
[00:00:04.000 --> 00:00:08.000]  你們是很喜歡讀舊約的
[00:00:08.000 --> 00:00:12.000]  應該這樣問,反過來問,有多少人不是很喜歡讀舊約的?
[00:00:12.000 --> 00:00:16.000]  你們懂不懂我的廣東話?
[00:00:16.000 --> 00:00:20.000]  不是很喜歡讀,或者有些人是讀舊約,不過是selective study
[00:00:20.000 --> 00:00:24.000]  譬如說詩篇,有時候久不久就讀一下《針研》
[00:00:24.000 --> 00:00:28.000]  有時候虛空的時候就讀一下《傳道書》
[00:00:28.000 --> 00:00:32.000]  拍拖的時候就讀一下《雅歌》
[00:00:32.000 --> 00:00:36.000]  有沒有人是selective,有沒有人是sustenative讀過舊約的?
[00:00:36.000 --> 00:00:40.000]  讀的時候覺得很精彩,其實舊約真的不容易讀
[00:00:40.000 --> 00:00:44.000]  真的不容易讀,但是很有意思
[00:00:44.000 --> 00:00:48.000]  我先講講古今金庸,古今金庸的意思
[00:00:48.000 --> 00:00:52.000]  絕對不是古今金庸,不是好像Millie所說的古今金庸
[00:00:52.000 --> 00:00:56.000]  古今金庸的意思就是古今金人可以用
[00:00:56.000 --> 00:01:00.000]  雖然是古老的聖經,但是今天是可以用的
[00:01:00.000 --> 00:01:04.000]  舊約聖經,我以前初信主,坦白說我真的不是怎麼讀舊約的
[00:01:04.000 --> 00:01:08.000]  我讀的是新約,因為我在新約時代
[00:01:08.000 --> 00:01:12.000]  我覺得舊約已經過氣了,或者已經過夜了,已經不新鮮了
[00:01:12.000 --> 00:01:16.000]  我就讀一些新鮮一點的東西,我想提一提
[00:01:16.000 --> 00:01:21.000]  舊約不是不用,舊約不是沒有用,舊約也不是不能用
[00:01:21.000 --> 00:01:25.000]  而是舊約是需要用,有時候想想
[00:01:25.000 --> 00:01:30.000]  神給你東西是希望你去用的
[00:01:30.000 --> 00:01:34.000]  不是希望你去擺放的
[00:01:34.000 --> 00:01:38.000]  正如剛才我們所說,有人送東西給我
[00:01:38.000 --> 00:01:42.000]  今天有人買了一個叫喇叭牌
[00:01:42.000 --> 00:01:46.000]  正路遠,我立刻拍三粒
[00:01:46.000 --> 00:01:49.000]  不是給你擺放,而是給你吃的
[00:01:49.000 --> 00:01:53.000]  如果給你是有用的,你就不要拿回來擺放
[00:01:53.000 --> 00:01:56.000]  什麼事?沒什麼吧?
[00:01:56.000 --> 00:02:00.000]  吃了三粒,剛才我好像忘記吃了,我會盡快吃完才離開香港
[00:02:00.000 --> 00:02:06.000]  不要啊,我會正路遠令我壽終正寢
[00:02:06.000 --> 00:02:10.000]  他說每天吃三次,每次三粒,那就走了
[00:02:10.000 --> 00:02:14.000]  沒事不用吃的?不是養眼的?
