
[00:00:00.000 --> 00:00:10.000]  今天和大家去看一篇詩篇 今晚沒有powerpoint
[00:00:10.000 --> 00:00:17.000]  所以我們看聖經 我和大家去看看這篇詩篇
[00:00:17.000 --> 00:00:21.000]  這篇詩篇是73篇
[00:00:21.000 --> 00:00:30.000]  我之所以說是因為最近我很多次重覆讀這篇詩篇
[00:00:30.000 --> 00:00:36.000]  所以想和大家分享我在裏面的一些靈受
[00:00:36.000 --> 00:00:44.000]  大家手上都有聖經 用的是和合本 修定本
[00:00:44.000 --> 00:00:47.000]  我們怎樣看呢?
[00:00:47.000 --> 00:00:53.000]  因為沒有powerpoint 所以我會把它分一段
[00:00:53.000 --> 00:00:58.000]  我們一段一段來讀 然後我一段一段去解釋
[00:00:58.000 --> 00:01:05.000]  這篇詩篇我們讀起來 初初是很不舒服的
[00:01:05.000 --> 00:01:09.000]  但當我們再看多幾次 因為看下去的時候
[00:01:09.000 --> 00:01:12.000]  我慢慢將靈受和大家講
[00:01:12.000 --> 00:01:18.000]  這篇詩篇的意思是很豐富 而且很美麗
[00:01:18.000 --> 00:01:21.000]  這篇詩篇是阿薩的詩
[00:01:21.000 --> 00:01:25.000]  我們先讀頭三節 一起讀
[00:01:25.000 --> 00:01:29.000]  在聖經裏面 我們很少讀在聖經 今天真是很好
[00:01:29.000 --> 00:01:33.000]  我們一起讀一到三節
[00:01:33.000 --> 00:01:51.000]  (阿薩: 神實在因意識滅那些清心的人,至於我,我的腳幾乎失閃,我的步伐險些走偏,因為我疾到狂怒的人,我看見各人享平安。)
[00:01:51.000 --> 00:01:58.000]  詩篇一開始 阿薩是講什麼呢?
[00:01:58.000 --> 00:02:07.000]  我們就這樣看 神實在因意識滅那些清心的人
[00:02:07.000 --> 00:02:13.000]  第二節你會發現語氣是矛盾的
[00:02:13.000 --> 00:02:16.000]  神實在因意識滅那些清心的人
[00:02:16.000 --> 00:02:18.000]  然後他就說自己 他說自己什麼呢?
[00:02:18.000 --> 00:02:25.000]  他說至於我 我的腳幾乎失閃 跌倒 失閃即是滑
[00:02:25.000 --> 00:02:32.000]  上帝因意識滅那些清心的人 很正面的 是不是
[00:02:32.000 --> 00:02:38.000]  上帝因代教會 因代很多人 但我不是 我幾乎跌倒 我跌死
[00:02:38.000 --> 00:02:42.000]  我的步伐險些走偏
[00:02:42.000 --> 00:02:50.000]  這個所謂走偏 即是滑倒 是講什麼呢?
[00:02:50.000 --> 00:02:56.000]  就是你控制不了的 今天下大雨 你出去 你滑倒 踩到蕉皮
[00:02:56.000 --> 00:03:04.000]  那些不是你想的 也不是你計劃當中的 是意外
[00:03:04.000 --> 00:03:07.000]  你會覺得這個詩人想講什麼呢?
[00:03:07.000 --> 00:03:11.000]  一開始他就很正面 上帝因代那些清心的人
[00:03:11.000 --> 00:03:15.000]  但我就不可以因代 而且我還是會跌倒
[00:03:15.000 --> 00:03:23.000]  我會有意外 會踩到蕉皮 或者我會滑倒 或者走錯路
[00:03:23.000 --> 00:03:30.000]  第三節 因為我窒道狂傲的人 我看見惡人享平安
[00:03:30.000 --> 00:03:36.000]  這樣就有些關係了 我為什麼會有意外呢?
[00:03:36.000 --> 00:03:41.000]  我為什麼會走錯路呢? 我為什麼會失敗呢?
[00:03:41.000 --> 00:03:49.000]  因為我不抵得那些人 有些惡人 窒道狂傲 驕傲的人
[00:03:49.000 --> 00:03:53.000]  我看見他們享平安 因為心懷不忿
[00:03:53.000 --> 00:03:56.000]  如果你經常想事情 被車撞死都不知道
[00:03:56.000 --> 00:04:01.000]  很激氣 很委屈 心裏經常想著一些事情
[00:04:01.000 --> 00:04:06.000]  我幾乎回不了香港 你知道為什麼嗎?
[00:04:06.000 --> 00:04:12.000]  我在加拿大開車 加拿大的交通燈和香港不同
[00:04:12.000 --> 00:04:18.000]  這裡紅燈就一定要停了 加拿大不是紅燈可以走的
[00:04:18.000 --> 00:04:25.000]  可以轉右的 因為那邊大家要看清楚路
[00:04:25.000 --> 00:04:36.000]  轉左轉右 綠燈可以直去 如果沒有車來可以轉左
[00:04:36.000 --> 00:04:43.000]  危險在這裡 因為有雙讓 通常有車來會讓他
[00:04:43.000 --> 00:04:47.000]  不讓就會撞車 如果不讓就會撞車
[00:04:47.000 --> 00:04:51.000]  因為紅燈對方可以轉 沒有車他可以轉
[00:04:51.000 --> 00:04:56.000]  有車他要讓你過 通常就不會有意外
[00:04:56.000 --> 00:05:00.000]  那天我太太和我談了一些事情
[00:05:00.000 --> 00:05:05.000]  那些事情我很不開心 很氣憤的
[00:05:05.000 --> 00:05:13.000]  按照那個priority 我去到那裡
[00:05:13.000 --> 00:05:21.000]  在轉紅燈之前對面應該要煞車的
[00:05:21.000 --> 00:05:29.000]  但他沒有煞車 我就轉左 轉左的時候他不煞車會撞我
[00:05:29.000 --> 00:05:32.000]  對不對 到時不知道 其實我也不對
[00:05:32.000 --> 00:05:37.000]  因為我是應該要讓車完全過了 就算紅燈也好
[00:05:37.000 --> 00:05:41.000]  他是有權這樣走的 我要讓他全部過了
[00:05:41.000 --> 00:05:45.000]  我才可以轉 他沒有停 我就想他會停
[00:05:45.000 --> 00:05:48.000]  於是我就轉左 我想他應該停
[00:05:48.000 --> 00:05:52.000]  他沒有停 衝過來 差很少
[00:05:52.000 --> 00:05:56.000]  而且他開得很快 他還踩油 衝紅燈
[00:05:56.000 --> 00:06:01.000]  這樣就差一點 差很少 我太太嚇到臉色青
[00:06:01.000 --> 00:06:07.000]  不要心懷不平 不要想那麼多 專心開車
[00:06:07.000 --> 00:06:15.000]  一個人怎麼會影響你呢 如果你在工作上被人戳背
[00:06:15.000 --> 00:06:22.000]  你嘗試罵 那個壞人升職 你這樣的氣氛會很影響你的工作
[00:06:22.000 --> 00:06:27.000]  你不會做得好 阿薩他現在面對一個情況
[00:06:27.000 --> 00:06:34.000]  這個情況就是他有意外 他腳步失禪 他走錯
[00:06:34.000 --> 00:06:39.000]  因為他心裏一直不平 他為了事不平
[00:06:39.000 --> 00:06:46.000]  待會我們會解釋惡人是什麼呢 惡人不是別人 是自己
[00:06:46.000 --> 00:06:52.000]  所以你看阿薩德斯 他一直在罵外面的人
[00:06:52.000 --> 00:07:01.000]  第二段就是第四到第九節 第四到第九節他就解釋了
[00:07:01.000 --> 00:07:06.000]  解釋為什麼會有這樣的意外 為什麼他會那麼生氣那些人
[00:07:06.000 --> 00:07:11.000]  他解釋你看合不合理 其實都很合理
[00:07:11.000 --> 00:07:16.000]  你試一齊讀 第四到第九節 我們一起讀
[00:07:16.000 --> 00:07:22.000]  他們的力氣強壯 他們死的時候也沒有疼痛
[00:07:22.000 --> 00:07:27.000]  他們不像別人受苦 也不像別人遭災
[00:07:27.000 --> 00:07:32.000]  所以驕傲與憐憫 帶在他們的項上
[00:07:32.000 --> 00:07:36.000]  殘暴像異常 覆蓋在他們身上
[00:07:36.000 --> 00:07:43.000]  他們的眼睛因體判而突出 他們的內心放任不羈
[00:07:43.000 --> 00:07:47.000]  他們譏笑人 憑惡意說欺壓人的話
[00:07:47.000 --> 00:07:52.000]  他們說話自高 他們的手攝毒上天
[00:07:52.000 --> 00:07:59.000]  他們誹謗全地 他們他們他們
[00:07:59.000 --> 00:08:07.000]  這個就是解釋第三節 什麼是窮傲人 什麼是惡人
[00:08:07.000 --> 00:08:11.000]  怎樣惡呢 你很仔細說 不是很抽象
[00:08:11.000 --> 00:08:15.000]  什麼是壞人呢 怎樣壞呢
[00:08:15.000 --> 00:08:20.000]  這班人不單是壞 而且是享福
[00:08:20.000 --> 00:08:28.000]  所以私人的憤怒不是憤怒惡人 是憤怒誰呢
[00:08:28.000 --> 00:08:34.000]  是憤怒上帝 是憤怒上帝 不是憤怒惡人
[00:08:34.000 --> 00:08:40.000]  在城市裏面 我說你外面的人怎樣惡
[00:08:40.000 --> 00:08:46.000]  有好的警察 有好的司法制度 你怕不怕
[00:08:46.000 --> 00:08:49.000]  你看我多久 兩下警察就抓你了
[00:08:49.000 --> 00:08:53.000]  你偷東西 我打個電話就立刻抓你了
[00:08:53.000 --> 00:08:59.000]  但這些惡人打電話警察來不單止不抓他 還和我一起喝茶
[00:08:59.000 --> 00:09:03.000]  你生氣不生氣 你這個城市的法律
[00:09:03.000 --> 00:09:07.000]  根本不是保護好人 是保護壞人的
[00:09:07.000 --> 00:09:14.000]  你生氣不生氣 私人表面是生氣惡人
[00:09:14.000 --> 00:09:19.000]  但你看清楚 其實不是的
[00:09:19.000 --> 00:09:24.000]  那些人力氣強壯的惡人
[00:09:24.000 --> 00:09:29.000]  很健碩 他們沒有病沒有痛
[00:09:29.000 --> 00:09:34.000]  他們死的時候都沒有疼痛
[00:09:34.000 --> 00:09:39.000]  中國人就座的人
[00:09:39.000 --> 00:09:46.000]  你現在年輕沒那麼得意 現在有風就洗盡你
[00:09:46.000 --> 00:09:48.000]  你現在年輕沒那麼得意 現在有風就洗盡你
[00:09:48.000 --> 00:09:53.000]  一個相信因果報應 臨死之前不病你大餐
[00:09:53.000 --> 00:09:59.000]  刪癌痛你幾百天 然後被車撞到你不死
[00:09:59.000 --> 00:10:04.000]  在床上又捱苦 你這條東西很順了
[00:10:04.000 --> 00:10:09.000]  但現在不是 私人的話 到死都那麼快樂
[00:10:09.000 --> 00:10:13.000]  但這個壞人 當時你生氣是甚麼
[00:10:13.000 --> 00:10:20.000]  你已經不是生氣惡人了 你生氣天無眼
[00:10:20.000 --> 00:10:23.000]  上帝好像不理你一樣
[00:10:23.000 --> 00:10:26.000]  所以我讀到這個時候 我就覺得
[00:10:26.000 --> 00:10:33.000]  其實這個亞撒尼亞當時他生氣的不是好人和壞人的分別
[00:10:33.000 --> 00:10:39.000]  他生氣的是為甚麼如果有一個上帝管理著這個世界
[00:10:39.000 --> 00:10:43.000]  上帝可以容許這些事情發生
[00:10:43.000 --> 00:10:49.000]  第四第五節 他說他們不著別人受苦
[00:10:49.000 --> 00:10:56.000]  有不著別人遭災 這些人
[00:10:56.000 --> 00:11:00.000]  他沒有說是誰 總之他很氣憤那些人
[00:11:00.000 --> 00:11:03.000]  但這些人是沒有報應的
[00:11:03.000 --> 00:11:10.000]  第六節他說所以驕傲完 鏈子帶在他們的項上
[00:11:10.000 --> 00:11:14.000]  所以他們很焦跡 驕傲 張演出來
[00:11:14.000 --> 00:11:19.000]  哇 真是厲害 殘暴像衣服覆蓋在他們身上
[00:11:19.000 --> 00:11:26.000]  這是文學的描述 橫行霸道 不可一世
[00:11:26.000 --> 00:11:32.000]  還有第七節 他們眼睛因體叛而突出
[00:11:32.000 --> 00:11:36.000]  我也不太懂得解釋
[00:11:36.000 --> 00:11:41.000]  你說肚腩很大 眼睛突出
[00:11:41.000 --> 00:11:46.000]  可能他們的人肥頭鱷耳
[00:11:46.000 --> 00:11:51.000]  以前的人肥就福氣 今天肥就不太好
[00:11:51.000 --> 00:11:54.000]  衣服高 都是報應 今天都肥
[00:11:54.000 --> 00:11:57.000]  所以要小心 以前是福氣
[00:11:57.000 --> 00:12:01.000]  所以人很肥 眼睛突出 內心放任不羈
[00:12:01.000 --> 00:12:04.000]  這個我明白了 亂說話
