
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹,新年蒙恩!
[00:00:05.000 --> 00:00:11.000]  我們所熟悉的日曆,你一定已經換了
[00:00:11.000 --> 00:00:17.000]  在家裏新的一年開始,就要隨舊更新
[00:00:17.000 --> 00:00:23.000]  不過我們中國人呢,有時來到這個一月份就開始有點尷尬
[00:00:23.000 --> 00:00:26.000]  究竟新年到了沒有呢?
[00:00:26.000 --> 00:00:32.000]  今年我們中國人的新年,二月才是
[00:00:32.000 --> 00:00:34.000]  所以我們有兩個新年
[00:00:34.000 --> 00:00:39.000]  所以我們就不難明白,其實一月一號呢
[00:00:39.000 --> 00:00:44.000]  不是一定是唯一的新年
[00:00:44.000 --> 00:00:47.000]  以前我們都提過,如果你有印象
[00:00:47.000 --> 00:00:56.000]  我們說教會的一年開始是在一月一號
[00:00:56.000 --> 00:01:02.000]  教會計算它每一年的開始
[00:01:02.000 --> 00:01:09.000]  是從耶穌基督的降生,聖誕開始計算
[00:01:09.000 --> 00:01:16.000]  就不是用聖誕十二月二十五日作為新年的頭一日
[00:01:16.000 --> 00:01:23.000]  而是在耶穌降生之前的四個星期
[00:01:23.000 --> 00:01:26.000]  那個叫做「將臨期」
[00:01:26.000 --> 00:01:29.000]  這個我們以前說過了
[00:01:29.000 --> 00:01:37.000]  聖誕之後呢,教會的年曆的計算
[00:01:37.000 --> 00:01:40.000]  又進入一個新的日子了
[00:01:40.000 --> 00:01:51.000]  今天一月六號,就是教會的年曆稱為「顯然節」
[00:01:51.000 --> 00:01:55.000]  今天是正日,不一定剛好是星期日
[00:01:55.000 --> 00:02:01.000]  不過一月六日,如果你有世人出的日記簿
[00:02:01.000 --> 00:02:03.000]  你打開看看,很小的字
[00:02:03.000 --> 00:02:10.000]  在一月六日旁邊寫著「Epiphany」「顯然節」
[00:02:10.000 --> 00:02:12.000]  我們不熟悉這些了
[00:02:12.000 --> 00:02:15.000]  你說記兩個月,新年已經是頭一日了
[00:02:15.000 --> 00:02:19.000]  現在又開始為情人節準備了
[00:02:19.000 --> 00:02:24.000]  這個商業世界真的壟斷了我們的生命
[00:02:24.000 --> 00:02:26.000]  其實我們有點認識的
[00:02:26.000 --> 00:02:30.000]  你有沒有聽過,會不會唱一首聖誕歌
[00:02:30.000 --> 00:02:36.000]  在辦公室的派對時,一定會播放的
[00:02:36.000 --> 00:02:39.000]  「12 Days of Christmas」
[00:02:39.000 --> 00:02:43.000]  只記得一個聖誕節和一棵樹
[00:02:43.000 --> 00:02:47.000]  為什麼聖誕節有12天呢?
[00:02:47.000 --> 00:02:52.000]  或者問,聖誕節的12天是怎麼數的?
[00:02:52.000 --> 00:02:57.000]  如果你從12月25日開始數12天
[00:02:57.000 --> 00:02:59.000]  心算很快
[00:02:59.000 --> 00:03:03.000]  數到昨天,就是12天了
[00:03:03.000 --> 00:03:07.000]  所以聖誕節的12天
[00:03:07.000 --> 00:03:09.000]  「The 12 Days of Christmas」
[00:03:09.000 --> 00:03:17.000]  其實就是由聖誕到顯然節之前的12天
[00:03:17.000 --> 00:03:20.000]  這一首的聖誕歌
[00:03:20.000 --> 00:03:25.000]  其實就是西方教會慶祝聖誕
[00:03:25.000 --> 00:03:30.000]  由12月25日到1月1日
[00:03:30.000 --> 00:03:33.000]  我們中國人農曆新年慶祝多少天?
[00:03:33.000 --> 00:03:35.000]  起碼到年宵
[00:03:35.000 --> 00:03:37.000]  忙一點的都人日
[00:03:37.000 --> 00:03:41.000]  黃金周假期10天
[00:03:41.000 --> 00:03:44.000]  我們都有一段日子是新年,拜年
[00:03:44.000 --> 00:03:46.000]  過了10天你還去不去拜年?
[00:03:46.000 --> 00:03:48.000]  去都不好意思,就利是多
[00:03:48.000 --> 00:03:52.000]  聖誕節慶祝的期間
[00:03:52.000 --> 00:03:56.000]  就是由耶穌降生的12月25日
[00:03:56.000 --> 00:04:00.000]  到顯然節1月6日之前
[00:04:00.000 --> 00:04:02.000]  所以我們懂的
[00:04:02.000 --> 00:04:05.000]  不過,忘記了出處的典故
[00:04:05.000 --> 00:04:08.000]  每次聽起「The 12 Days of Christmas」就很興奮
[00:04:08.000 --> 00:04:11.000]  在辦公室裡經常都在說笑
[00:04:11.000 --> 00:04:15.000]  有很多笑話都是圍繞著這首聖誕歌說的
[00:04:15.000 --> 00:04:19.000]  這是一個很古老的傳統
[00:04:19.000 --> 00:04:25.000]  教會準備基督的再來
[00:04:25.000 --> 00:04:30.000]  所以張臨期不是預備聖誕節的創新
[00:04:30.000 --> 00:04:32.000]  我們說過了
[00:04:32.000 --> 00:04:37.000]  張臨期是在我們的生命當中
[00:04:37.000 --> 00:04:42.000]  預備迎接我們的主
[00:04:42.000 --> 00:04:43.000]  耶穌基督
[00:04:43.000 --> 00:04:47.000]  每一年的聖誕其實就是提醒我們
[00:04:47.000 --> 00:04:50.000]  我們的一生就是預備
[00:04:50.000 --> 00:04:52.000]  為什麼預備?
[00:04:52.000 --> 00:04:55.000]  不是為每年聖誕節的忙碌盡
[00:04:55.000 --> 00:04:58.000]  是為永恆的生命盡
[00:04:58.000 --> 00:05:03.000]  是為活在主耶穌基督的恩典
[00:05:03.000 --> 00:05:07.000]  和祂的愛和祂的拯救當中
[00:05:07.000 --> 00:05:13.000]  我們的生命如何預備去面對
[00:05:13.000 --> 00:05:17.000]  去迎接主耶穌的再生
[00:05:17.000 --> 00:05:20.000]  聖誕只有12天
[00:05:20.000 --> 00:05:22.000]  不是玩到瘋了
[00:05:22.000 --> 00:05:27.000]  不是「哦,聖誕結束了,明天要上學了」
[00:05:27.000 --> 00:05:31.000]  不是,聖誕節結束了12天之後
[00:05:31.000 --> 00:05:39.000]  教主就提議我們去思想一個新的主題
[00:05:39.000 --> 00:05:42.000]  「顯現節」
[00:05:42.000 --> 00:05:45.000]  「顯現節」是說什麼?
[00:05:45.000 --> 00:05:48.000]  「顯現節」epiphany這個字
[00:05:48.000 --> 00:05:53.000]  在希臘文本來的意思是說「光」的意思
