
[00:00:00.000 --> 00:00:07.000]  我們在聚會開始之前,我們都一起低頭祈禱
[00:00:07.000 --> 00:00:13.000]  神下我們多謝你,給我們教會,讓我們有一個舒適的環境去敬拜你
[00:00:13.000 --> 00:00:21.000]  主啊多謝你帶到蕭壽華牧師來到悉尼,在過去的四日三夜在青年裏面去分享你的信息,令到營友都很有得著
[00:00:21.000 --> 00:00:31.000]  主啊求你安靜我們的心,將一切的煩惱憂慮都交上,求你打開我們的耳,去聽你的話語,教導我們做一個夢神的穴立的人
[00:00:31.000 --> 00:00:38.000]  多謝你今晚做我們的主席,將到以上簡短的討好很多恭敬的交上,和主要是蘇德勝的明智祈求
[00:00:38.000 --> 00:00:45.000]  我想大家都等了很久,不如我們請今晚的港元蕭壽華牧師上來
[00:00:45.000 --> 00:00:51.000]  蕭牧師,剛剛出鏡頭,累不累?
[00:00:51.000 --> 00:00:53.000]  都幾累
[00:00:53.000 --> 00:00:55.000]  我很累
[00:00:55.000 --> 00:01:03.000]  好,可以問你一個問題嗎?你跟我們過了四日三夜,你覺得我們一班營友怎樣?
[00:01:03.000 --> 00:01:13.000]  非常聰明,很有追求的心,是真的,還有他們好像不用睡覺一樣
[00:01:13.000 --> 00:01:16.000]  我都覺得他們很厲害
[00:01:16.000 --> 00:01:24.000]  我想我們多數有人都不太認識蕭牧師,不如牧師你介紹一下自己,我們都將今晚的時間交給你
[00:01:24.000 --> 00:01:26.000]  多謝
[00:01:26.000 --> 00:01:28.000]  哪個咪可以?
[00:01:28.000 --> 00:01:30.000]  咪都可以,我就要咪
[00:01:30.000 --> 00:01:42.000]  的確在幾天的營會裏面,我感覺自己被他們感染,好像我都年輕了一點
[00:01:42.000 --> 00:01:54.000]  在營會裏面,我看到他們一班弟兄姊妹是很認真地學習,他們一起祈禱,一起分享訊息,一起討論有關的內容的時候
[00:01:54.000 --> 00:01:57.000]  我看到他們是很投入地去分享的
[00:01:57.000 --> 00:02:04.000]  所以我心裏很感謝神,預備一群很願意追求學習的青年弟兄姊妹在澳洲的華人教會裏面
[00:02:04.000 --> 00:02:12.000]  而我心裏也很充實地祝福他們在將來在豬爺秀裏面是更好的成長,將來可以給神更大的使用
[00:02:12.000 --> 00:02:21.000]  在會場當中,當日我們應該是前日,昨日就是當他們表達出他們願意侍奉的心的時候,有很多弟兄姊妹有舉手
[00:02:21.000 --> 00:02:29.000]  有不同形式想表達出他們願意侍奉的心和方向,所以大家支持他們繼續在前面的追求和成長
[00:02:29.000 --> 00:02:34.000]  剛才問我介紹自己,我也不知道介紹多少好
[00:02:34.000 --> 00:02:38.000]  或者我簡單說我自己在香港成長
[00:02:38.000 --> 00:02:46.000]  我在14歲的時候開始在一間教會順著之後成長
[00:02:46.000 --> 00:02:55.000]  想不到神給我的機會在很多年之後回到自己的母會當中侍奉,在當中一路母會差不多23、24年的時間
[00:02:55.000 --> 00:03:03.000]  我自己有兩個小朋友,應該說是大朋友,我的大兒子23歲,我的女兒20歲
[00:03:03.000 --> 00:03:11.000]  所以這次在營會裏面見到差不多年齡的弟兄姊妹,我很開心,好像和很多子女一起相處生活
