
[00:00:00.000 --> 00:00:04.480]  各位兄弟姐妹平安
[00:00:04.480 --> 00:00:06.640]  各位新朋友
[00:00:06.640 --> 00:00:08.880]  代表教會歡迎大家
[00:00:08.880 --> 00:00:13.440]  今日的題目是被判死刑的耶穌
[00:00:13.440 --> 00:00:17.120]  釘十字架相信我們沒有那麼多人
[00:00:17.120 --> 00:00:20.000]  就算不是基督徒也會知道這個事跡
[00:00:20.000 --> 00:00:24.640]  釘十字架我們之後會看到荊棘的冠冕
[00:00:24.640 --> 00:00:26.640]  會看到釘
[00:00:26.640 --> 00:00:28.160]  我想問問大家
[00:00:28.160 --> 00:00:33.200]  你所理解的釘十字架是釘在哪個位置
[00:00:33.200 --> 00:00:35.200]  手在哪個位置
[00:00:35.200 --> 00:00:38.480]  手在哪個位置
[00:00:38.480 --> 00:00:42.160]  手掌
[00:00:42.160 --> 00:00:43.520]  不是
[00:00:43.520 --> 00:00:45.520]  手腕
[00:00:45.520 --> 00:00:50.000]  這幅圖畫應該是不對的
[00:00:50.000 --> 00:00:52.320]  我們看到很多畫
[00:00:52.320 --> 00:00:54.800]  或者你買的十字架
[00:00:54.800 --> 00:00:57.360]  都是會釘在手掌
[00:00:57.360 --> 00:00:58.560]  像現在這個
[00:00:58.560 --> 00:01:02.160]  那你的腳是怎樣釘的
[00:01:02.160 --> 00:01:03.120]  腳是怎樣釘的
[00:01:03.120 --> 00:01:07.120]  釘在哪個位置
[00:01:07.120 --> 00:01:08.240]  不是這樣
[00:01:08.240 --> 00:01:10.960]  那這裡釘在哪個位置
[00:01:10.960 --> 00:01:16.480]  釘在這裡
[00:01:16.480 --> 00:01:18.800]  那這個畫對不對呢
[00:01:18.800 --> 00:01:20.160]  這個還很好
[00:01:20.160 --> 00:01:22.400]  有個左的
[00:01:22.400 --> 00:01:24.400]  有個左在這裏
[00:01:24.400 --> 00:01:27.600]  另外當耶穌被判死刑
[00:01:27.600 --> 00:01:31.120]  然後要去刑場釘十字架的時候
[00:01:31.120 --> 00:01:32.080]  要走一段路
[00:01:32.080 --> 00:01:34.000]  那他要背著十字架
[00:01:34.000 --> 00:01:36.560]  那我想問你怎樣背法
[00:01:36.560 --> 00:01:38.560]  想像一下
[00:01:38.560 --> 00:01:40.560]  怎樣背法
[00:01:40.560 --> 00:01:42.560]  是不是這樣背
[00:01:42.560 --> 00:01:44.560]  是不是這樣背
[00:01:44.560 --> 00:01:46.560]  是不是這樣背
[00:01:46.560 --> 00:01:48.560]  我知道你們開始不會回答我問題
[00:01:48.560 --> 00:01:54.080]  因為只要我問得不是你一般以前所學的
[00:01:54.080 --> 00:01:56.080]  那究竟是不是這樣
[00:01:56.080 --> 00:01:58.080]  你可以想像一下
[00:01:58.080 --> 00:02:03.040]  一個如果被人鞭打虐待了一整晚
[00:02:03.040 --> 00:02:06.080]  其實會不會真的背得起
[00:02:06.080 --> 00:02:08.880]  這一條這麼大的木
[00:02:08.880 --> 00:02:10.400]  還有兩條
[00:02:10.400 --> 00:02:11.360]  背得起嗎
[00:02:11.360 --> 00:02:13.360]  這裡應該只有一個人背得起
[00:02:13.360 --> 00:02:15.360]  就是我大隻仔Kaleb
[00:02:15.360 --> 00:02:18.240]  最大隻來的黑傳教會
[00:02:18.240 --> 00:02:20.240]  那究竟他背不背得起
[00:02:20.240 --> 00:02:22.240]  一個受了重傷的人
[00:02:22.240 --> 00:02:23.760]  是不是真的可以
[00:02:23.760 --> 00:02:25.760]  我們一起思考一下
[00:02:25.760 --> 00:02:27.760]  究竟耶穌怎樣釘十字架
[00:02:27.760 --> 00:02:29.760]  究竟耶穌釘十字架和我們
[00:02:29.760 --> 00:02:33.360]  今天在座每一個有什麼關係
[00:02:33.360 --> 00:02:36.880]  上一次當我說在雞鳴堂
[00:02:36.880 --> 00:02:39.440]  我們去到這個洞下面
[00:02:39.440 --> 00:02:42.960]  耶穌極有可能在審訊那一晚
[00:02:42.960 --> 00:02:45.760]  然後要留在這個地方
