
[00:00:00.000 --> 00:00:03.000]  今天我們來說一處聖經
[00:00:03.000 --> 00:00:05.000]  請大家來看聖經
[00:00:05.000 --> 00:00:12.000]  約翰福音14章16和17兩節
[00:00:12.000 --> 00:00:15.000]  如果大家找到的話我們一起讀
[00:00:15.000 --> 00:00:16.000]  請讀
[00:00:16.000 --> 00:00:22.000]  我要求父就另外賜給你們一位保衛師
[00:00:22.000 --> 00:00:25.000]  叫他永遠與你們同在
[00:00:25.000 --> 00:00:27.000]  就是真理的聖靈
[00:00:27.000 --> 00:00:29.000]  乃世人的聖靈
[00:00:29.000 --> 00:00:32.000]  乃世人不能接受的
[00:00:32.000 --> 00:00:35.000]  因為不能見他也不認識他
[00:00:35.000 --> 00:00:37.000]  你們卻認識他
[00:00:37.000 --> 00:00:40.000]  因他常與你們同在
[00:00:40.000 --> 00:00:42.000]  也要在你們裡面
[00:00:42.000 --> 00:00:44.000]  好,謝謝大家
[00:00:44.000 --> 00:00:48.000]  聖靈降臨是聖經裡
[00:00:48.000 --> 00:00:54.000]  七千幾個上帝給屬他的人的應許的其中一個
[00:00:54.000 --> 00:00:56.000]  換句話說
[00:00:56.000 --> 00:01:00.000]  如果你想找聖經裡上帝答應了我們什麼呢
[00:01:00.000 --> 00:01:03.000]  有七千幾個
[00:01:03.000 --> 00:01:07.000]  大家要花相當的時間去發掘
[00:01:07.000 --> 00:01:12.000]  近幾年上帝感動這個人
[00:01:12.000 --> 00:01:15.000]  逐個去發掘
[00:01:15.000 --> 00:01:17.000]  感謝主
[00:01:17.000 --> 00:01:20.000]  因為如果我每一個主日都有機會
[00:01:20.000 --> 00:01:22.000]  和大家分享一個
[00:01:22.000 --> 00:01:24.000]  一年也不過是講52個
[00:01:24.000 --> 00:01:27.000]  如果我有這麼長命講了七千個
[00:01:27.000 --> 00:01:29.000]  那我也不知道幾多百歲了
[00:01:29.000 --> 00:01:32.000]  所以如果大家有興趣
[00:01:32.000 --> 00:01:34.000]  是很值得去找找
[00:01:34.000 --> 00:01:36.000]  究竟上帝答應了我們什麼
