
[00:00:00.000 --> 00:00:10.560]  我希望用三次崇拜的時刻和大家一起分享提摩太后書的信息
[00:00:10.560 --> 00:00:16.640]  提摩太后書雖然很短,但我們說是非常寶貴和精彩
[00:00:16.640 --> 00:00:19.520]  有兩個原因,我一直都提到
[00:00:19.520 --> 00:00:23.440]  第一個原因是因為這是保羅的臨終遺言
[00:00:23.440 --> 00:00:26.240]  一個這麼偉大的信徒快要死了
[00:00:26.240 --> 00:00:30.800]  他留下什麼說話告訴提摩太后,當然也告訴你和我
[00:00:30.800 --> 00:00:36.160]  我覺得一定是很寶貴,所以我特別和大家一起去找找這本書裏面
[00:00:36.160 --> 00:00:39.280]  保羅給我們最重要的祝福是什麼
[00:00:39.280 --> 00:00:46.080]  第二個就是因為提摩太后書我們從內容和我們當時歷史的情況
[00:00:46.080 --> 00:00:50.400]  都看到雖然是2000年前寫的東西,但其實很現代
[00:00:50.400 --> 00:00:56.800]  因為提摩太后書所面對的社會差不多像我們每天看新聞一樣
[00:00:56.800 --> 00:01:02.560]  在一個什麼樣的社會,按照提摩太后書描述的世界就是一個失控的世界
[00:01:02.560 --> 00:01:08.320]  很共鳴,失控的世界,令人越來越失望的世界
[00:01:08.320 --> 00:01:12.160]  甚至到一個地步是玻璃裏的世界
[00:01:12.160 --> 00:01:17.440]  這就是提摩太后書所面對的世界,也是今天你和我所面對的世界
[00:01:17.440 --> 00:01:22.080]  所以我們要留心看提摩太后書,保羅怎麼告訴我們
[00:01:22.080 --> 00:01:29.280]  神透過他怎麼提醒我們仍然可以裝備自己作為基督徒在這樣的世界裏繼續向前行
[00:01:29.280 --> 00:01:31.680]  這就是我們的心意
[00:01:31.680 --> 00:01:35.440]  今天我們來到最後一次,第三個主題的時候
[00:01:35.440 --> 00:01:43.920]  我想和大家一起思想整卷提摩太后書一個很重要的秘訣
[00:01:43.920 --> 00:01:49.600]  保羅一路寫的時候,他表現出一種秘訣
[00:01:49.600 --> 00:01:52.000]  這是一種做人的秘訣
[00:01:52.000 --> 00:01:58.160]  這個做人的秘訣就是保羅看到每一個人,包括他自己在內
[00:01:58.160 --> 00:02:02.800]  都好像你和我一樣,在人世間有高有低,有得有失
[00:02:02.800 --> 00:02:07.600]  有時平順些,有時困難些,人人都會這樣
[00:02:07.600 --> 00:02:15.280]  不過作為一個基督徒,有一樣東西是不信的人沒有的,就是有神
[00:02:15.280 --> 00:02:16.880]  為什麼有神有什麼特別?
[00:02:16.880 --> 00:02:24.480]  因為如果是這樣的話,保羅說我們可以除了從一個人的體會和角度去理解我們人生之外
[00:02:24.480 --> 00:02:29.600]  我們還可以不斷從一個不同的角度,不同的層面去看
[00:02:29.600 --> 00:02:34.480]  就是說有神的時候,我們可以有一種不同的看法
[00:02:34.480 --> 00:02:41.840]  而保羅經常借用這種看法,雖然人生如此,但是他可以不同看法
[00:02:41.840 --> 00:02:45.360]  他可以看到不同的東西,得到不同的結果
[00:02:45.360 --> 00:02:50.320]  這個真是一個很重要的秘訣和祝福
[00:02:50.320 --> 00:02:53.760]  如果作為一個基督徒,像保羅一樣,我們有神
[00:02:53.760 --> 00:02:56.560]  我們可以這樣看人生,但是我們沒有用到
[00:02:56.560 --> 00:03:00.800]  這是一個很大的損失,你枉信耶穌
[00:03:00.800 --> 00:03:07.840]  因為神已經給了這麼大的機會,這些是世界上最聰明的人都未必能夠看到的
[00:03:07.840 --> 00:03:12.880]  因為最聰明的人如果沒有神的話,他只不過是一個在平面裡面看
[00:03:12.880 --> 00:03:17.520]  他可以看事情看得很精彩,但是他看不到另外一個層面
[00:03:17.520 --> 00:03:22.560]  保羅說我看到另外一個層面的時候,看到一幅完全不同的圖畫
[00:03:22.560 --> 00:03:25.440]  一個完全不同的人生的體會
[00:03:25.440 --> 00:03:31.040]  說完這個大方向,我們當然要落實,看看保羅說了什麼
[00:03:31.040 --> 00:03:35.520]  所以第一個部分,我想用一個很簡單的主題和大家說
[00:03:35.520 --> 00:03:39.360]  就是漢奸,保羅看到什麼呢?
[00:03:39.360 --> 00:03:44.640]  我們試一下從幾個角度去理解保羅告訴我們他看到什麼
[00:03:44.640 --> 00:03:46.320]  怎樣不同法
[00:03:46.320 --> 00:03:53.280]  首先我們說,正如每一個人一樣,我們每一天的生活都被人看
[00:03:53.280 --> 00:03:58.400]  不是我們看,是別人看我們,評價我們,他們怎樣看我們
[00:03:58.400 --> 00:04:02.240]  這當然影響了我們怎樣看自己
[00:04:02.240 --> 00:04:06.080]  這是不可逃避的,當然會這樣
[00:04:06.080 --> 00:04:11.840]  保羅一樣,保羅說人怎樣看我,其實都會影響的
[00:04:11.840 --> 00:04:16.960]  每一個人都是人,保羅說人家怎樣看他呢?
[00:04:16.960 --> 00:04:23.040]  我曾經和大家提過一下,今天我想和大家再深入看一點
[00:04:23.040 --> 00:04:27.200]  保羅說人家覺得我是羞恥的
[00:04:27.200 --> 00:04:32.000]  哇,保羅也有被人看不起的時間嗎?有
[00:04:32.000 --> 00:04:37.120]  我們看過在提摩太后書的第一章,只有一章裡面
[00:04:37.120 --> 00:04:42.880]  保羅重複了四次用羞恥這個字在描述他自己
[00:04:42.880 --> 00:04:46.560]  就是說人家覺得我是羞恥的
[00:04:46.560 --> 00:04:51.840]  一章八節,一章十二節,一章十六節,四次
[00:04:51.840 --> 00:04:55.680]  保羅其實很入心的,這個傷害
