
[00:00:00.000 --> 00:00:03.000]  多謝主席的介紹 也不敢多說
[00:00:03.000 --> 00:00:05.000]  其實我很喜歡回來港島的
[00:00:05.000 --> 00:00:08.000]  上個星期我在附近有一間教會的港島
[00:00:08.000 --> 00:00:11.000]  說完之後就沒有人請我喝茶
[00:00:11.000 --> 00:00:14.000]  孤孤單單離開 但回到這裡就有點不同
[00:00:14.000 --> 00:00:17.000]  見到弟兄姊妹很親切的 幾次的文安
[00:00:17.000 --> 00:00:19.000]  因為這裡我們是大家庭
[00:00:19.000 --> 00:00:23.000]  也多謝我們的教會弟兄姊妹我們執事
[00:00:23.000 --> 00:00:25.000]  也預備了 預備我們心
[00:00:25.000 --> 00:00:28.000]  準備迎接這個慶祝的聖誕節
[00:00:28.000 --> 00:00:33.000]  大家見到報紙 也見到我們每個星期典型的蠟燭
[00:00:33.000 --> 00:00:38.000]  希望慢慢提醒我們將近迎接主席叔叔的抗生日子
[00:00:38.000 --> 00:00:43.000]  雖然我很喜歡回來港島 但我也有一個信念
[00:00:43.000 --> 00:00:48.000]  信念就是弟兄姊妹會經常忘記了我說什麼
[00:00:48.000 --> 00:00:51.000]  我想問問大家 你見不見我提過一本書
[00:00:51.000 --> 00:00:54.000]  那本書英文叫High and Seat
[00:00:54.000 --> 00:00:56.000]  有本中文翻譯叫朵與沉
[00:00:56.000 --> 00:01:00.000]  是一個心理學家寫的 有沒有印象呢
[00:01:00.000 --> 00:01:02.000]  沒有 正如我所料
[00:01:02.000 --> 00:01:04.000]  這本書提到兩個問題
[00:01:04.000 --> 00:01:11.000]  他說人類價值觀念有兩個很重要的因素
[00:01:11.000 --> 00:01:12.000]  大家記不記得
[00:01:12.000 --> 00:01:19.000]  他形容它是人類價值觀念裏面的金幣和銀幣
[00:01:19.000 --> 00:01:22.000]  有沒有人記得呢
[00:01:22.000 --> 00:01:26.000]  沒有 大家在我預料之內 非常好
[00:01:26.000 --> 00:01:30.000]  所以我們過幾年再重複講的道理差不多都無所謂
[00:01:30.000 --> 00:01:32.000]  那本書是這麼說的
[00:01:32.000 --> 00:01:42.000]  那本書說人類價值觀念裏面最重要的因素和金幣就是美貌
[00:01:42.000 --> 00:01:46.000]  你有沒有搞錯 美貌 真的
[00:01:46.000 --> 00:01:49.000]  原因是你看看那些新人出生的時間
[00:01:49.000 --> 00:01:52.000]  如果他生得正好 生得很趣致的
[00:01:52.000 --> 00:01:55.000]  他怎樣呢 萬千寵愛在身
[00:01:55.000 --> 00:01:58.000]  很多人很樂意抱他 抱他
[00:01:58.000 --> 00:02:01.000]  如果他生得五官有些問題的
[00:02:01.000 --> 00:02:03.000]  可能需要慢慢做手術的
[00:02:03.000 --> 00:02:05.000]  那原來怎樣呢
[00:02:05.000 --> 00:02:07.000]  可以了可以了 抱著可以了 可以了可以了
[00:02:07.000 --> 00:02:09.000]  抵到啦抵到啦
[00:02:09.000 --> 00:02:12.000]  我記得我小女兒出生的時候
[00:02:12.000 --> 00:02:14.000]  我第一個女兒出生的時候
[00:02:14.000 --> 00:02:17.000]  後來我父母才跟我說
[00:02:17.000 --> 00:02:22.000]  生到這樣的 黑黑的 像叉燒一樣
[00:02:22.000 --> 00:02:27.000]  原來他們有這樣的觀念 有這樣的看法
[00:02:27.000 --> 00:02:30.000]  如果生得趣致 很多人疼愛
[00:02:30.000 --> 00:02:34.000]  那就是我不知道 如果生得漂亮 自然便宜很多
[00:02:34.000 --> 00:02:38.000]  那人類呢 他說這本書說人類第二個價值觀念的銀幣
[00:02:38.000 --> 00:02:41.000]  的因素是什麼呢 猜猜到吧
[00:02:41.000 --> 00:02:45.000]  和我們香港小姐選美一樣的
[00:02:45.000 --> 00:02:47.000]  自慰
[00:02:47.000 --> 00:02:49.000]  為什麼這樣說呢
[00:02:49.000 --> 00:02:51.000]  當你長大了一點的時間
[00:02:51.000 --> 00:02:53.000]  生小孩 哇好厲害
[00:02:53.000 --> 00:02:57.000]  他九歲已經懂得說話了 叫爸爸了
[00:02:57.000 --> 00:03:01.000]  九個月我想說
[00:03:01.000 --> 00:03:04.000]  我想說九個月 對不起 對不起
[00:03:04.000 --> 00:03:07.000]  有些問題 現在九歲就有些問題
[00:03:07.000 --> 00:03:09.000]  好了
[00:03:09.000 --> 00:03:13.000]  或者他未夠一個月大
[00:03:13.000 --> 00:03:17.000]  一歲 未夠一歲他就已經走得很好
[00:03:17.000 --> 00:03:19.000]  然後就
[00:03:19.000 --> 00:03:21.000]  我在網上也看到很多這樣的
[00:03:21.000 --> 00:03:23.000]  他們不用
[00:03:23.000 --> 00:03:27.000]  歲半就懂得背幾句成語
[00:03:27.000 --> 00:03:30.000]  自然就覺得被人重視了
[00:03:30.000 --> 00:03:34.000]  然後再大一點就是他讀某某名校的
[00:03:34.000 --> 00:03:37.000]  自然覺得父母說出來也有光彩
[00:03:37.000 --> 00:03:38.000]  你讀哪間學校
[00:03:38.000 --> 00:03:40.000]  沒什麼拔萃
[00:03:40.000 --> 00:03:42.000]  大家很有光彩
[00:03:42.000 --> 00:03:44.000]  然後你講完你講那間學校
[00:03:44.000 --> 00:03:46.000]  是哪兒來的
[00:03:46.000 --> 00:03:47.000]  大國水啊
[00:03:47.000 --> 00:03:50.000]  大家就好像覺得好像沒什麼光彩
[00:03:50.000 --> 00:03:53.000]  因為那個身體真是夠正
[00:03:53.000 --> 00:03:56.000]  美貌和自慰
[00:03:56.000 --> 00:03:58.000]  很容易在人類之間
[00:03:58.000 --> 00:03:59.000]  你不需要說的
[00:03:59.000 --> 00:04:01.000]  你的動作 你的表情
[00:04:01.000 --> 00:04:03.000]  就表達了這件事你很重視的
[00:04:03.000 --> 00:04:06.000]  而這些東西會存在你下一代
[00:04:06.000 --> 00:04:08.000]  存在周圍當中的
