
[00:00:00.000 --> 00:00:07.000]  今日會一齊重新看一段聖經
[00:00:07.000 --> 00:00:11.000]  馬太福音第22章第34至40節
[00:00:11.000 --> 00:00:14.000]  如果大家有聖經的話可以打開這段經文
[00:00:14.000 --> 00:00:16.000]  在聆聽主導耳先
[00:00:16.000 --> 00:00:19.000]  一起同心低頭禱告若望愛著我們的神
[00:00:19.000 --> 00:00:27.000]  菩薩多謝你讓我們在四季當中體會到上帝的創造
[00:00:27.000 --> 00:00:34.000]  在過去的日子裡讓我們體會到有陰天有雨天
[00:00:34.000 --> 00:00:40.000]  也讓我們在今天體會到有晴天放晴的日子
[00:00:40.000 --> 00:00:48.000]  上主讓我們在無論或陰或晴都帶著感恩的心來到你的面前
[00:00:48.000 --> 00:00:59.000]  若望求你的幫助和帶領讓我們在聆聽主導的過程中一起學習認識你
[00:00:59.000 --> 00:01:06.000]  無論聽說的或聽說的都在當中同夢恩福得到主你的詛咒
[00:01:06.000 --> 00:01:09.000]  我們在這時候懇求聖靈的幫助
[00:01:09.000 --> 00:01:14.000]  讓我們看得通上主耶穌基督的啟示
[00:01:14.000 --> 00:01:18.000]  我們同心低頭禱告奉靠主耶穌基督得聖的名字
[00:01:18.000 --> 00:01:19.000]  阿們
[00:01:19.000 --> 00:01:28.000]  人在信一個宗教上有很多種原因和不同的動機
[00:01:28.000 --> 00:01:32.000]  甚至有很多不同的信法
[00:01:32.000 --> 00:01:39.000]  這個我相信不需要我去詳細描述
[00:01:39.000 --> 00:01:44.000]  不過在我留意到不同宗教裏面
[00:01:44.000 --> 00:01:50.000]  不同的人都有類似的狀態
[00:01:50.000 --> 00:01:53.000]  這個狀態也是很普及的
[00:01:53.000 --> 00:01:57.000]  很多時候信一個宗教的人
[00:01:57.000 --> 00:02:02.000]  他們其實沒有認真地去對那個宗教的教義
[00:02:02.000 --> 00:02:11.000]  甚至他們的典故或文獻是有一個詳細的掌握
[00:02:11.000 --> 00:02:18.000]  大部份他們的信仰都是希望盡量以最基本的方式去信
[00:02:18.000 --> 00:02:23.000]  然後獲得宗教帶來最大的益處
[00:02:23.000 --> 00:02:25.000]  不要說甚麼
[00:02:25.000 --> 00:02:36.000]  例如我曾經參與一個宗教
[00:02:36.000 --> 00:02:43.000]  宗教裏面的人基本上是去吃齋
[00:02:43.000 --> 00:02:47.000]  逢大時大節去吃齋
[00:02:47.000 --> 00:02:50.000]  吃完齋之後就去簽一些香油
[00:02:50.000 --> 00:02:56.000]  然後拿一些祝福給神
[00:02:56.000 --> 00:02:58.000]  然後就離開了
[00:02:58.000 --> 00:03:01.000]  至於那個宗教信甚麼呢
[00:03:01.000 --> 00:03:03.000]  從來沒有考究過
[00:03:03.000 --> 00:03:07.000]  我因為種種緣故
[00:03:07.000 --> 00:03:13.000]  後來去完這個廟宇
[00:03:13.000 --> 00:03:17.000]  去完之後就回去研究
[00:03:17.000 --> 00:03:19.000]  究竟他們信甚麼呢
