
[00:00:00.000 --> 00:00:08.000]  我們今天又可以回來一起查考整個話語
[00:00:08.000 --> 00:00:13.000]  我們從《雅歌書》裏面來到思想
[00:00:13.000 --> 00:00:19.000]  思想裏面的經文不單可以應用在屬靈方面
[00:00:19.000 --> 00:00:22.000]  用在培靈會、培靈方面
[00:00:22.000 --> 00:00:27.000]  同時也可以應用在人際關係、人際關係
[00:00:27.000 --> 00:00:31.000]  包括我們的夫妻、包括同工的關係
[00:00:31.000 --> 00:00:34.000]  所以我們今天從這個角度裏面
[00:00:34.000 --> 00:00:37.000]  我們一起來思想一下
[00:00:37.000 --> 00:00:41.000]  思想一下它是怎樣從《雅歌書》裏面
[00:00:41.000 --> 00:00:46.000]  我們來學習 特別是我們開始看
[00:00:46.000 --> 00:00:50.000]  學習怎樣來將關係的重組
[00:00:50.000 --> 00:00:55.000]  我們怎樣能夠建立一個和好的
[00:00:55.000 --> 00:00:58.000]  無論是夫妻的關係
[00:00:58.000 --> 00:01:02.000]  或者是我們同工之間的關係
[00:01:02.000 --> 00:01:08.000]  我們說到查考《雅歌書》的時候
[00:01:08.000 --> 00:01:12.000]  我們可以從靈異的解釋
[00:01:12.000 --> 00:01:14.000]  即屬靈方面的
[00:01:14.000 --> 00:01:17.000]  也可以從實異方面來解釋
[00:01:17.000 --> 00:01:23.000]  上星期我們從屬靈方面的解釋來看
[00:01:23.000 --> 00:01:26.000]  《雅歌書》裏面包含了
[00:01:26.000 --> 00:01:30.000]  它自己的體裁方面有一定的格式
[00:01:30.000 --> 00:01:35.000]  一些古代當時的宗教的一種體裁
[00:01:35.000 --> 00:01:37.000]  來表達出來
[00:01:37.000 --> 00:01:48.000]  說到喀姆斯這個神和女神之間的關係
[00:01:48.000 --> 00:01:51.000]  這個體裁來的
[00:01:51.000 --> 00:01:54.000]  因為聖經不是在真空裏面
[00:01:54.000 --> 00:01:56.000]  是一個文化體裁裏面
[00:01:56.000 --> 00:01:58.000]  用這種表達的方式
[00:01:58.000 --> 00:02:01.000]  它在屬靈方面來理解
[00:02:01.000 --> 00:02:03.000]  就是一個寓意方面
[00:02:03.000 --> 00:02:05.000]  或者一個寓表方面
[00:02:05.000 --> 00:02:11.000]  來解釋到它和耶和華和以色列之間的關係
[00:02:11.000 --> 00:02:14.000]  或者是教會和基督的關係
[00:02:14.000 --> 00:02:17.000]  這個是寓意方面來表達的
[00:02:17.000 --> 00:02:21.000]  如果用實異方面來解釋的話
[00:02:21.000 --> 00:02:24.000]  實異即是它的字面意思是甚麼?
[00:02:24.000 --> 00:02:31.000]  它先是用一個男女所羅門和書拉密女子之間的愛情
[00:02:31.000 --> 00:02:37.000]  來描述一個故事、情節在裏面
[00:02:37.000 --> 00:02:42.000]  然後說到人與人之間的關係
[00:02:42.000 --> 00:02:45.000]  這是一個所謂實異方面的解釋
[00:02:45.000 --> 00:02:48.000]  而個人是一種綜合的解釋
[00:02:48.000 --> 00:02:55.000]  因為這個體裁可以用當地一個宗教的體裁
[00:02:55.000 --> 00:02:58.000]  但它也可以用一種寓意的方式
[00:02:58.000 --> 00:03:02.000]  在舊約裏面表達到耶和華和以色列的關係
[00:03:02.000 --> 00:03:06.000]  在新約裏面講及到基督和教會的關係
[00:03:06.000 --> 00:03:12.000]  但同時它是有一個男女之間的感情在裏面
[00:03:12.000 --> 00:03:15.000]  講及到人與人之間的關係
[00:03:15.000 --> 00:03:18.000]  你可以應用在不同層次的裏面
[00:03:18.000 --> 00:03:21.000]  我們說到應用的時候
[00:03:21.000 --> 00:03:24.000]  就需要建立一條應用橋
[00:03:24.000 --> 00:03:27.000]  應用橋包括甚麼呢?
[00:03:27.000 --> 00:03:33.000]  包括講及到當時那時那地所發生的一些事情
[00:03:33.000 --> 00:03:36.000]  你把它按正義來分解
[00:03:36.000 --> 00:03:43.000]  即是那段經文作者在神面前所領受的訊息是甚麼
[00:03:43.000 --> 00:03:45.000]  然後抽出一個原則
[00:03:45.000 --> 00:03:50.000]  這個原則已經不是再注重那時那地了
[00:03:50.000 --> 00:03:54.000]  亦不是說到我們今時今地、此時此地
[00:03:54.000 --> 00:03:58.000]  而是一個超越時空的原則
[00:03:58.000 --> 00:04:03.000]  然後你把它落實落地、降落在此時此地裏
[00:04:03.000 --> 00:04:05.000]  這個叫應用橋
[00:04:05.000 --> 00:04:10.000]  這個應用橋可以幫助我們很多方面的理解
[00:04:10.000 --> 00:04:13.000]  我們可以抽出原則之後
[00:04:13.000 --> 00:04:16.000]  應用在我們和神之間的關係
[00:04:16.000 --> 00:04:20.000]  我們將原則應用在夫妻的關係
[00:04:20.000 --> 00:04:24.000]  可以應用在人與人之間的同工的關係裏面
[00:04:24.000 --> 00:04:27.000]  所以我們從這個方法來思想
[00:04:27.000 --> 00:04:31.000]  現在我們開始來思想到關係
[00:04:31.000 --> 00:04:38.000]  思想到我們彼此之間那種男女的關係
[00:04:38.000 --> 00:04:39.000]  是甚麼呢?
[00:04:39.000 --> 00:04:42.000]  夫妻的關係是甚麼呢?
[00:04:42.000 --> 00:04:49.000]  這個我們從《雅歌書》裏面來看關係學
[00:04:49.000 --> 00:04:52.000]  一個愛的關係
[00:04:52.000 --> 00:04:58.000]  我們從這方面來思想一個愛的關係
[00:04:58.000 --> 00:05:05.000]  我們今天從一個人際的關係來探討
