
[00:00:00.000 --> 00:00:05.000]  創世記裏面的人物 大家很熟悉的
[00:00:05.000 --> 00:00:09.000]  如果你是從小開始 就在教會主要學校長大
[00:00:09.000 --> 00:00:12.000]  你應該很深印象
[00:00:12.000 --> 00:00:18.000]  由做話劇也好 演講比賽也好 聖經文答也好
[00:00:18.000 --> 00:00:23.000]  這些人物都是我們耳熟能詳的
[00:00:23.000 --> 00:00:34.000]  亞伯拉罕 以撒 瓦國 約瑟 柯西 約書亞 撒姆爾 大衛 素羅 一路數下去
[00:00:34.000 --> 00:00:36.000]  很多我們都很熟悉
[00:00:36.000 --> 00:00:40.000]  不過我們熟悉他們的時候 很容易我們的印象記得
[00:00:40.000 --> 00:00:45.000]  就是他們要不就是我們的榜樣 要不就是我們的尷尬
[00:00:45.000 --> 00:00:49.000]  我們是從一個道德 善惡
[00:00:49.000 --> 00:00:55.000]  要不就是幫我們做好 要不就是警告我們不要跟他學壞
[00:00:55.000 --> 00:00:58.000]  這樣的角度來看這些人物
[00:00:58.000 --> 00:01:02.000]  以致每一個人物的故事都有教訓
[00:01:02.000 --> 00:01:04.000]  這個故事教我們有信心
[00:01:04.000 --> 00:01:08.000]  這個故事教訓我們不要陷入色情的陷阱
[00:01:08.000 --> 00:01:11.000]  這個故事教訓我們要承殺
[00:01:11.000 --> 00:01:17.000]  這樣讀聖經 其實會有一個反效果
[00:01:17.000 --> 00:01:24.000]  就是你慢慢會發覺聖經的故事是有一套框框
[00:01:24.000 --> 00:01:28.000]  聖經的人物很遙不可及
[00:01:28.000 --> 00:01:36.000]  總是跟我們長大了 離開了主日學的課室
[00:01:36.000 --> 00:01:40.000]  不再是每個星期回去拿張公仔紙就滿足了
[00:01:40.000 --> 00:01:42.000]  現在我發工資了
[00:01:42.000 --> 00:01:48.000]  我的世界比起主日學課室的世界要複雜得多的時候
[00:01:48.000 --> 00:01:53.000]  這些人物很壞 榜樣尷尬
[00:01:53.000 --> 00:01:56.000]  對我越來越沒什麼幫助
[00:01:56.000 --> 00:02:00.000]  有時候說話都是要這樣說 叫我回去教主日學
[00:02:00.000 --> 00:02:03.000]  於是我就放下星期一到星期六
[00:02:03.000 --> 00:02:06.000]  在江湖裡面打滾的那些味道
[00:02:06.000 --> 00:02:09.000]  洗個澡穿件白恤衫
[00:02:09.000 --> 00:02:13.000]  回到教會裡面教兒童級主日學
[00:02:13.000 --> 00:02:18.000]  若失小時候穿著一件彩衣
[00:02:18.000 --> 00:02:20.000]  如果我一直都是這樣讀聖經的話
[00:02:20.000 --> 00:02:23.000]  很快這些很熟悉的人物 很熟悉的故事
[00:02:23.000 --> 00:02:28.000]  就在我們現實的生活當中慢慢掉色
[00:02:28.000 --> 00:02:30.000]  慢慢就退去
[00:02:30.000 --> 00:02:33.000]  更加現實的人物就是
[00:02:33.000 --> 00:02:35.000]  我也不知道說了 誰
[00:02:35.000 --> 00:02:38.000]  最近流行說梁詠琦 說誰說的
[00:02:38.000 --> 00:02:41.000]  「筆袋」出這樣那樣
[00:02:41.000 --> 00:02:47.000]  周圍這些影藝界的人物 財經界的人物
[00:02:47.000 --> 00:02:50.000]  或者政府裡面的高官
[00:02:50.000 --> 00:02:52.000]  或者在我們身邊的人物
[00:02:52.000 --> 00:02:56.000]  真實過我們讀聖經的人物很多倍
[00:02:56.000 --> 00:03:00.000]  於是我們的榜樣就轉了
[00:03:00.000 --> 00:03:04.000]  很多年輕的弟兄姊妹說可以做李嘉誠
[00:03:04.000 --> 00:03:08.000]  給我十年上帝下 讓我炒興了
[00:03:08.000 --> 00:03:10.000]  賺夠了
[00:03:10.000 --> 00:03:13.000]  我就入神學院讀書
[00:03:13.000 --> 00:03:15.000]  姐妹我不知道學誰了
[00:03:15.000 --> 00:03:18.000]  是香港小姐還是什麼呢?
[00:03:18.000 --> 00:03:22.000]  聖經的人物是不是這樣給我們讀的呢?
[00:03:22.000 --> 00:03:25.000]  如果我們再看回聖經的記載
[00:03:25.000 --> 00:03:27.000]  我們發覺其實可能出問題的是
[00:03:27.000 --> 00:03:30.000]  出在解聖經的人身上
[00:03:30.000 --> 00:03:32.000]  而不是出在聖經身上
[00:03:32.000 --> 00:03:34.000]  聖經的人物很複雜的
[00:03:34.000 --> 00:03:39.000]  聖經的人物絕對沒有樣板的
[00:03:39.000 --> 00:03:44.000]  亞伯拉罕是一個生出來的領袖
[00:03:44.000 --> 00:03:47.000]  我們身邊有這樣的人 很有charisma的
[00:03:47.000 --> 00:03:49.000]  你說的話沒有人跟
[00:03:49.000 --> 00:03:52.000]  但是他說的話人人都跟 有這樣的人
[00:03:52.000 --> 00:03:54.000]  亞伯拉罕的軟弱
[00:03:54.000 --> 00:03:56.000]  聖經又很清楚記載下來
[00:03:56.000 --> 00:03:58.000]  他是一個公眾人物
[00:03:58.000 --> 00:04:01.000]  站出來說話頭頭是道
[00:04:01.000 --> 00:04:03.000]  回到家裡他不懂得跟太太聊天的
[00:04:03.000 --> 00:04:06.000]  你試一下跟亞伯拉罕和撒拉的對話
[00:04:06.000 --> 00:04:08.000]  他不懂得跟太太聊天的
[00:04:08.000 --> 00:04:09.000]  他避開的
[00:04:09.000 --> 00:04:11.000]  所以他的軟弱
