
[00:00:00.000 --> 00:00:06.000]  今天我們有機會去想一個很實際的問題
[00:00:06.000 --> 00:00:07.000]  就是如何用聖經
[00:00:07.000 --> 00:00:10.000]  所以我們今天看的經文其實是讀了一段
[00:00:10.000 --> 00:00:12.000]  是三段其中一段
[00:00:12.000 --> 00:00:15.000]  另外兩段是我們其他時候去討論過
[00:00:15.000 --> 00:00:18.000]  所以我們選下去那兩段就可以
[00:00:18.000 --> 00:00:20.000]  我們應用聖經的時候
[00:00:20.000 --> 00:00:23.000]  我們打開聖經看完之後應該如何去用
[00:00:23.000 --> 00:00:26.000]  這個問題你說這麼簡單的問題
[00:00:26.000 --> 00:00:28.000]  為甚麼還要去討論呢
[00:00:28.000 --> 00:00:31.000]  很多時候我們在不同的查經班
[00:00:31.000 --> 00:00:33.000]  不同的小組裏面
[00:00:33.000 --> 00:00:35.000]  如果你是要帶查經帶小組的時候
[00:00:35.000 --> 00:00:37.000]  很多時候你有個試探
[00:00:37.000 --> 00:00:39.000]  就是不如快點看完聖經
[00:00:39.000 --> 00:00:41.000]  不要想那麼多抽象東西
[00:00:41.000 --> 00:00:43.000]  合上聖經用了它就算了
[00:00:43.000 --> 00:00:47.000]  我們在北交有夫婦團體的查經班
[00:00:47.000 --> 00:00:48.000]  我們很多時候
[00:00:48.000 --> 00:00:49.000]  雖然五眼查經的時候
[00:00:49.000 --> 00:00:52.000]  都有這樣的挑戰或這樣的試探
[00:00:52.000 --> 00:00:54.000]  不要說那麼多抽象東西
[00:00:54.000 --> 00:00:55.000]  不如快點蓋上聖經
[00:00:55.000 --> 00:00:57.000]  用了就算了
[00:00:57.000 --> 00:01:00.000]  其實這樣的目標是很理想
[00:01:00.000 --> 00:01:02.000]  但問題是怎樣用聖經
[00:01:02.000 --> 00:01:04.000]  甚麼叫做用聖經
[00:01:04.000 --> 00:01:06.000]  何時叫做用聖經
[00:01:06.000 --> 00:01:08.000]  聖經究竟應該怎樣用
[00:01:08.000 --> 00:01:11.000]  你第一個感覺的時候
[00:01:11.000 --> 00:01:15.000]  就是說用聖經當然是要實際的
[00:01:15.000 --> 00:01:17.000]  聖經如果用到的時候
[00:01:17.000 --> 00:01:18.000]  應用到的時候
[00:01:18.000 --> 00:01:20.000]  應該在實際生活裏面應用到
[00:01:20.000 --> 00:01:25.000]  那怎樣最快的實際地用聖經呢
[00:01:25.000 --> 00:01:27.000]  很多時候我們跟著有假設
[00:01:27.000 --> 00:01:30.000]  就是聖經教我們做好人
[00:01:30.000 --> 00:01:32.000]  所以我們用聖經的時候
[00:01:32.000 --> 00:01:33.000]  就應該快點看完它
[00:01:33.000 --> 00:01:36.000]  能夠令我明天怎樣做一個更加好的人
[00:01:36.000 --> 00:01:39.000]  後天怎樣做一個更加好的人
[00:01:39.000 --> 00:01:41.000]  所以我對聖經的印象
[00:01:41.000 --> 00:01:43.000]  就是聖經教我們做好人
[00:01:43.000 --> 00:01:45.000]  很多時候我們未信的朋友
[00:01:45.000 --> 00:01:46.000]  來我們教會
[00:01:46.000 --> 00:01:48.000]  都有這樣的印象
[00:01:48.000 --> 00:01:49.000]  教會做甚麼
[00:01:49.000 --> 00:01:50.000]  教我們做好人
[00:01:50.000 --> 00:01:53.000]  教我們做一個事事正正的教徒
[00:01:53.000 --> 00:01:56.000]  所以我今天嘗試看三段聖經
[00:01:56.000 --> 00:01:58.000]  用盡快的方法看
[00:01:58.000 --> 00:02:00.000]  頭兩段我們有時看過
[00:02:00.000 --> 00:02:01.000]  所以很快可以看到
[00:02:01.000 --> 00:02:04.000]  究竟應該怎樣去應用聖經
[00:02:04.000 --> 00:02:06.000]  或者如果是這樣應用聖經的時候
[00:02:06.000 --> 00:02:08.000]  又有甚麼危機
[00:02:08.000 --> 00:02:10.000]  我們看以前簡單地這樣說
[00:02:10.000 --> 00:02:13.000]  如果聖經是教我們做好人的時候
[00:02:13.000 --> 00:02:16.000]  為甚麼要回教會聽聖經
[00:02:16.000 --> 00:02:19.000]  如果聖經只是教我們做好人的時候
[00:02:19.000 --> 00:02:21.000]  為甚麼要回教會聽聖經
[00:02:21.000 --> 00:02:24.000]  很多人說我們回教會查聖經的時候
[00:02:24.000 --> 00:02:27.000]  經常都是差不多的
[00:02:27.000 --> 00:02:31.000]  教人有信心、有派望、有忍耐、有愛心等等
[00:02:31.000 --> 00:02:33.000]  所以每次查經的時候
[00:02:33.000 --> 00:02:36.000]  我們都是明天有愛心多一點我們回家
[00:02:36.000 --> 00:02:38.000]  或者明天有信心多一點回家
[00:02:38.000 --> 00:02:39.000]  或者明天有派望多一點回家
[00:02:39.000 --> 00:02:41.000]  你查一年兩年三年查聖經的時候
[00:02:41.000 --> 00:02:43.000]  聖經沒甚麼特別的
[00:02:43.000 --> 00:02:44.000]  只是叫我們做一個
[00:02:44.000 --> 00:02:47.000]  事事正正、有愛心、有派望、有忍耐的教徒
[00:02:47.000 --> 00:02:50.000]  如果是這樣為甚麼要聽聖經
[00:02:50.000 --> 00:02:52.000]  為甚麼要查聖經
[00:02:52.000 --> 00:02:54.000]  聖經是說甚麼
[00:02:54.000 --> 00:02:59.000]  反過來問這樣應用聖經有甚麼危機
[00:02:59.000 --> 00:03:01.000]  很多時候我們說教會的弟兄姊妹
[00:03:01.000 --> 00:03:03.000]  最大的試探是不用聖經
[00:03:03.000 --> 00:03:05.000]  其實我覺得剛好調轉
[00:03:05.000 --> 00:03:08.000]  教會的弟兄姊妹的試探就是用了太多聖經
[00:03:08.000 --> 00:03:10.000]  用了太多聖經
[00:03:10.000 --> 00:03:12.000]  當然不是用了太多聖經
[00:03:12.000 --> 00:03:14.000]  而是濫用聖經
[00:03:14.000 --> 00:03:16.000]  用到的地步都不是聖經說的話
[00:03:16.000 --> 00:03:17.000]  我們都照用
[00:03:17.000 --> 00:03:19.000]  我們開始舉個例子
[00:03:19.000 --> 00:03:21.000]  在大分第五章的時候
[00:03:21.000 --> 00:03:23.000]  我有機會討論過是八福的經文
[00:03:23.000 --> 00:03:25.000]  為甚麼用這段經文開始呢
[00:03:25.000 --> 00:03:27.000]  因為這段經文對很多人來說
[00:03:27.000 --> 00:03:29.000]  都是福音的中心
[00:03:29.000 --> 00:03:31.000]  因為教會是做好人
[00:03:31.000 --> 00:03:33.000]  八福或者是登山寶訓
[00:03:33.000 --> 00:03:36.000]  如果你和一個弟兄姊妹或是弟兄姊妹的朋友
[00:03:36.000 --> 00:03:38.000]  去談聖經的時候
[00:03:38.000 --> 00:03:40.000]  他們可能很多聖經都沒聽過
[00:03:40.000 --> 00:03:42.000]  很多聖經都接受不了
[00:03:42.000 --> 00:03:44.000]  但他們是接受到登山寶訓
[00:03:44.000 --> 00:03:46.000]  或者接受到這個八福
[00:03:46.000 --> 00:03:48.000]  因為看起來的時候無傷大雅的八福
